Pathway	N	Up	Down	P.Up	P.Down
Kaposi's sarcoma-associated herpesvirus infecti...	151	3	14	0.662610288930778	7.68448491449266e-06
Complement and coagulation cascades	34	0	7	1	8.57818082140229e-06
Osteoclast differentiation	90	1	10	0.87119189119144	3.28807529943098e-05
Graft-versus-host disease	18	0	5	1	3.71768524649363e-05
Allograft rejection	19	0	5	1	4.95310772171325e-05
Jak-STAT signaling pathway	95	1	10	0.885098154663432	5.26154999447888e-05
Autoimmune thyroid disease	21	0	5	1	8.35386300862096e-05
Type I diabetes mellitus	25	1	5	0.433321329714602	0.000202617547008276
HTLV-I infection	214	2	14	0.955168010941281	0.000344755500276668
Epstein-Barr virus infection	173	4	12	0.546373639668733	0.000537123900989991
TNF signaling pathway	84	1	8	0.852273256793406	0.000584729970624352
Herpes simplex infection	137	2	10	0.816489708538272	0.00104440945179094
Viral carcinogenesis	166	4	11	0.513758604462001	0.0013177634642526
Phototransduction	22	4	0	0.00132282646611989	1
Viral myocarditis	43	0	5	1	0.00263999899099003
Antigen processing and presentation	48	1	5	0.664249234356782	0.00428771223327643
Proximal tubule bicarbonate reclamation	16	3	0	0.00504791228560951	1
Measles	88	2	6	0.591044828383251	0.0141942213389825
Cellular senescence	142	2	8	0.831775833848009	0.0148087671291307
Pyrimidine metabolism	89	1	6	0.868215508499889	0.0149425419835116
