genes	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	FC
ENSMUSG00000095463	Entpd4	67464	ectonucleoside triphosphate diphosphohydrolase 4	-1.16091171748243	5.86738550585478	446.560041602929	1.49359117651553e-22	2.11880844300493e-18	-2.23598687149669
ENSMUSG00000022066	Entpd4b	100862375	ectonucleoside triphosphate diphosphohydrolase 4B	-0.981442858435278	6.07088332163937	363.94256972457	5.1849359138945e-21	3.67767504372537e-17	-1.97443908457501
ENSMUSG00000002324	Rec8	56739	REC8 meiotic recombination protein	6.48516519844273	1.94270498650845	297.430061097097	3.82075677608806e-19	1.80670852085284e-15	89.5837527627916
ENSMUSG00000038539	Atf5	107503	activating transcription factor 5	-1.1983338812517	4.67848643583021	244.217419861272	4.28318736428561e-18	1.51903239874389e-14	-2.29474505721022
ENSMUSG00000025432	Avil	11567	advillin	-2.99304259823292	0.976979381654132	211.08107831277	4.60417755211268e-17	1.30629725508541e-13	-7.96151284944636
ENSMUSG00000087006	Gm13889	620695	predicted gene 13889	-1.17670784929641	4.69059464641438	154.944307192106	5.94933500545893e-15	1.40662110645734e-11	-2.26060330795665
ENSMUSG00000021327	Zkscan3	72739	zinc finger with KRAB and SCAN domains 3	-1.0358234025852	6.64904867619755	122.178065254301	4.01759959444727e-13	8.141952549547e-10	-2.05028348931443
ENSMUSG00000047963	Stbd1	52331	starch binding domain 1	-1.58216534076381	2.05322745541363	105.985983123576	1.58440618217839e-12	2.80954826254782e-09	-2.99418910441497
ENSMUSG00000035495	Tstd2	272027	thiosulfate sulfurtransferase (rhodanese)-like domain containing 2	-0.756030372660137	4.7759557020229	98.6073695174774	4.33153560336556e-12	6.82746267437154e-09	-1.68883732909904
ENSMUSG00000025408	Ddit3	13198	DNA-damage inducible transcript 3	-1.29948218754746	4.98946517348715	103.791968344809	4.97406536256004e-12	7.05620912332767e-09	-2.46140521997108
ENSMUSG00000037300	Ttc13	234875	tetratricopeptide repeat domain 13	-0.89524086231066	5.09243219804554	84.267028323971	3.80697351549197e-11	4.90961148097901e-08	-1.85992037865233
ENSMUSG00000042655	Fam159b	77803	family with sequence similarity 159, member B	5.00000475954086	1.0779883961197	85.8656691784055	6.83777969400145e-11	8.08339522825871e-08	32.0001055701687
ENSMUSG00000062040	Zfp27	22689	zinc finger protein 27	0.644494966290792	4.21844329510222	79.5604134151245	7.67813910090422e-11	8.37862163734056e-08	1.56319197527581
ENSMUSG00000030423	Pop4	66161	processing of precursor 4, ribonuclease P/MRP family, (S. cerevisiae)	0.951247268438679	3.63406919614713	74.3055980817129	1.84559433051804e-10	1.77278221312475e-07	1.93354356237799
ENSMUSG00000044906	4930503L19Rik	269033	RIKEN cDNA 4930503L19 gene	0.988422688731359	2.65515320509815	74.2146559662007	1.87450537127246e-10	1.77278221312475e-07	1.98401466386355
ENSMUSG00000020593	Lpin1	14245	lipin 1	0.480739434589562	5.79935271703501	73.1239049168111	2.26093649462953e-10	2.00460281955091e-07	1.39545870731309
ENSMUSG00000074358	Ccdc61	232933	coiled-coil domain containing 61	1.48793447094934	1.15000531954359	71.0993181503071	3.2178450464506e-10	2.65187080748024e-07	2.80487109756515
ENSMUSG00000019718	L3hypdh	67217	L-3-hydroxyproline dehydratase (trans-)	1.31472988249927	2.47111659303609	70.845769754205	3.36484382733994e-10	2.65187080748024e-07	2.48755751465405
ENSMUSG00000060177	Klk1b22	13646	kallikrein 1-related peptidase b22	-10.4718516515303	1.72331027593773	96.3794138567444	4.37231246110147e-10	3.26450655648345e-07	-1420.17367222458
ENSMUSG00000039954	Stk32a	269019	serine/threonine kinase 32A	-0.744417077812246	3.69514423335027	60.1589363906867	2.45268601512926e-09	1.73969019053118e-06	-1.67529722726165
ENSMUSG00000074037	Mc1r	17199	melanocortin 1 receptor	-1.07348998002709	2.79202724588416	55.2778891076623	6.54975298665736e-09	4.42451408898673e-06	-2.10451819092761
ENSMUSG00000036560	Lgi4	243914	leucine-rich repeat LGI family, member 4	-1.04384340460781	3.64506414210524	55.0746721182467	7.87032139100364e-09	5.07492632967171e-06	-2.06171283959756
ENSMUSG00000030342	Cd9	12527	CD9 antigen	-0.536087084988244	5.62061397637692	53.8853787231313	8.75262578107166e-09	5.2255766349143e-06	-1.45003435824655
ENSMUSG00000028788	Ptp4a2	19244	protein tyrosine phosphatase 4a2	0.57094442857405	7.32834030154791	53.9255176014499	8.84067666981131e-09	5.2255766349143e-06	1.48549569948668
ENSMUSG00000035299	Mid1	17318	midline 1	-1.01570237846696	7.00138604233655	57.6985457088303	9.85617425576132e-09	5.5927875196892e-06	-2.02188701243032
ENSMUSG00000074489	Bglap3	12095	bone gamma-carboxyglutamate protein 3	-1.96749297037072	1.62975374597183	52.9478228772967	1.16071158789002e-08	6.33302099454148e-06	-3.91087918877084
ENSMUSG00000020581	Agr2	23795	anterior gradient 2	-1.41728153125814	1.78795755660059	50.3768950450782	1.85483961213691e-08	9.74546471769416e-06	-2.67081774605518
ENSMUSG00000023159	Psg29	114872	pregnancy-specific glycoprotein 29	3.36594632081823	-1.42309195876596	52.8401243170804	2.09742337105109e-08	1.06264456934753e-05	10.3098134336025
ENSMUSG00000030905	Crym	12971	crystallin, mu	-1.06053891504788	5.47537590141804	52.3460591501139	2.74887958633604e-08	1.34467606247459e-05	-2.08571048800864
ENSMUSG00000021113	Snapc1	75627	small nuclear RNA activating complex, polypeptide 1	0.492822062500096	4.57668212387707	47.7708061062144	3.30637912064299e-08	1.54471973692458e-05	1.40719480561007
ENSMUSG00000026547	Tagln2	21346	transgelin 2	-1.58036063249985	2.75816637347868	49.3876651059423	3.55932382298574e-08	1.54471973692458e-05	-2.99044592980476
ENSMUSG00000022146	Osmr	18414	oncostatin M receptor	-1.06104292855927	3.44432654729356	48.2627605689471	3.57294527218034e-08	1.54471973692458e-05	-2.08643926982617
ENSMUSG00000029672	Fam3c	27999	family with sequence similarity 3, member C	0.436961186687395	8.42664637297122	47.4021225103021	3.59338441551608e-08	1.54471973692458e-05	1.35374985817227
ENSMUSG00000052031	Tagap1	380608	T cell activation GTPase activating protein 1	1.07641779012996	4.45652334924487	49.5351845518753	3.74474806089286e-08	1.56244105858312e-05	2.10879344376596
ENSMUSG00000050855	Zfp940	233057	zinc finger protein 940	-0.502736246783808	3.92117198156159	46.317632970649	4.60030409470117e-08	1.86456896821231e-05	-1.41689833576045
ENSMUSG00000053475	Tnfaip6	21930	tumor necrosis factor alpha induced protein 6	-1.57660059519723	0.295706847897211	44.789854907791	6.55197872686514e-08	2.58184361720302e-05	-2.98266220003814
ENSMUSG00000074457	S100a16	67860	S100 calcium binding protein A16	-0.716010470465591	4.1445470583519	44.4357724948598	7.11848514655862e-08	2.71733121700185e-05	-1.64263332299328
ENSMUSG00000035615	Frmpd1	666060	FERM and PDZ domain containing 1	0.375053292266157	8.02975479336502	44.3408852131393	7.27890781376499e-08	2.71733121700185e-05	1.29688745999014
ENSMUSG00000041168	Lonp1	74142	lon peptidase 1, mitochondrial	-0.283620053738953	5.96409349636319	43.6176039549834	8.63425195159777e-08	3.14065379962477e-05	-1.21724540430411
ENSMUSG00000032594	Ip6k1	27399	inositol hexaphosphate kinase 1	0.245832345294386	8.09144126903947	43.0493384734349	9.8848450062395e-08	3.50566028146284e-05	1.18577669302188
ENSMUSG00000073910	Mob3b	214944	MOB kinase activator 3B	0.667847254683857	3.32631785904401	42.0697970236748	1.25096093783358e-07	4.32832484490418e-05	1.58870058763637
ENSMUSG00000097842	9330104G04Rik	320950	RIKEN cDNA 9330104G04 gene	2.25355665623546	0.297504015082817	41.8432007113559	1.32156362136888e-07	4.46373846017594e-05	4.76856987079065
ENSMUSG00000030785	Cox6a2	12862	cytochrome c oxidase subunit VIa polypeptide 2	-3.3218161831887	-1.37699570778356	43.8201265663899	1.39503566982602e-07	4.60232000282603e-05	-9.99922431730172
ENSMUSG00000021895	Arhgef3	71704	Rho guanine nucleotide exchange factor (GEF) 3	0.560560799803743	3.34299375958758	40.5766281442123	1.80168544074278e-07	5.80879765054023e-05	1.47484240190377
ENSMUSG00000026289	Atg16l1	77040	autophagy related 16-like 1 (S. cerevisiae)	-0.413251792491926	6.16261492481365	39.9433952929024	2.10775127938968e-07	6.64456881098268e-05	-1.33168401077514
ENSMUSG00000021713	Ppwd1	238831	peptidylprolyl isomerase domain and WD repeat containing 1	-0.544477419472727	3.63058079306735	39.5644847071355	2.31669958583045e-07	7.14450007056322e-05	-1.45849194598168
ENSMUSG00000096696	Zfp960	449000	zinc finger protein 960	0.417370346326187	5.43061489713241	38.7092705448095	2.87274460480615e-07	8.53998038279218e-05	1.33549108588436
ENSMUSG00000031762	Mt2	17750	metallothionein 2	-1.17095577008876	3.85762897780753	40.5799498740538	2.88960283641636e-07	8.53998038279218e-05	-2.25160814177711
ENSMUSG00000004891	Nes	18008	nestin	-0.890964068606794	2.92740959787741	37.5690887783392	3.84206003049991e-07	0.000111231558352391	-1.85441490671304
ENSMUSG00000028807	Zbtb8a	73680	zinc finger and BTB domain containing 8a	1.59982041516079	1.5231344235089	37.1737841795709	4.44804595721193e-07	0.000126199959898017	3.03105580757455
ENSMUSG00000006057	Atp5g1	11951	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)	0.876517330157186	5.49874236455323	38.6767208641592	4.92123280393764e-07	0.000136887467758156	1.83593798814985
ENSMUSG00000004040	Stat3	20848	signal transducer and activator of transcription 3	-0.760521320869489	6.21742520362482	37.9697690268829	5.69353471637985e-07	0.000155324006704932	-1.69410268168051
ENSMUSG00000040690	Col16a1	107581	collagen, type XVI, alpha 1	-1.38732423624412	1.14912817755625	35.6849697645798	6.27564560760025e-07	0.000166821813326771	-2.61593054423889
ENSMUSG00000006007	Pdc	20028	phosducin	0.56030801403519	10.7925343211587	35.5955565148782	6.42558705916293e-07	0.000166821813326771	1.47458400598562
ENSMUSG00000046157	Tmem229b	268567	transmembrane protein 229B	-0.621961930314218	7.56194994829762	36.6611062596762	6.46778495204598e-07	0.000166821813326771	-1.53896660953519
ENSMUSG00000030341	Tnfrsf1a	21937	tumor necrosis factor receptor superfamily, member 1a	-0.835238919496841	3.0166882849479	35.4810508103917	6.62314247535726e-07	0.000167778391348961	-1.78415248140192
