genes	Symbol	Entrezid	Genename	logFC.a11_CONCvsDNT.DJ	logFC.a12_CONCvsDNT.J	logFC.a13_CONCvsDNT.D	logFC.a14_CONCvsDNT.C	logCPM	F	PValue	FDR
ENSMUSG00000020396	Nefh	380684	neurofilament, heavy polypeptide	-1.35710646800059	-1.5222435878223	-1.72765508274012	-1.5249536193693	6.17039877846345	491.914132296967	4.59427900959838e-32	6.51744420301626e-28
ENSMUSG00000030337	Vamp1	22317	vesicle-associated membrane protein 1	-0.799031013620939	-0.786091289480334	-1.12433440134557	-1.06140457854572	6.11915766308522	286.56843214394	9.70889986113842e-28	6.88652267150548e-24
ENSMUSG00000014846	Tppp3	67971	tubulin polymerization-promoting protein family member 3	-1.6183093028629	-1.71660752467996	-1.75184815162929	-1.32426827167076	5.2477461561654	260.144483998607	8.68341030013325e-27	4.10609528392301e-23
ENSMUSG00000046480	Scn4b	399548	sodium channel, type IV, beta	-2.67071829753265	-2.71389483959739	-3.27899461202708	-3.27306260683519	2.49607984691837	215.371573623399	1.75336771805977e-25	6.21831861209898e-22
ENSMUSG00000087006	Gm13889	620695	predicted gene 13889	0.346300530543866	1.31937243735729	1.17002100897268	2.2677851708819	4.69059464641438	211.837786861298	2.36477123138e-25	6.70932893767134e-22
ENSMUSG00000028926	Cdk14	18647	cyclin-dependent kinase 14	-0.758222509204757	-0.747941087049435	-0.801579087843533	-0.95138383551447	7.04529260497072	207.016333256809	3.58445868236676e-25	8.47485514467582e-22
ENSMUSG00000046607	Hrk	12123	harakiri, BCL2 interacting protein (contains only BH3 domain)	2.19670518542757	2.08109785213895	3.53801479173207	3.52945742891934	2.47960654052226	198.071768202841	7.95095652410059e-25	1.50875683636143e-21
ENSMUSG00000032802	Srxn1	76650	sulfiredoxin 1 homolog (S. cerevisiae)	0.243231240049558	0.392544927201451	1.05128586168444	1.12492975337233	6.58490207089338	197.32818839267	8.5084271048156e-25	1.50875683636143e-21
ENSMUSG00000046275	Tusc5	237858	tumor suppressor candidate 5	-1.14762086237007	-1.13269001158183	-1.70968712127467	-1.8165001614864	4.69968378451933	192.465110618432	1.5220783484377e-24	2.39913371677081e-21
ENSMUSG00000049511	Htr1b	15551	5-hydroxytryptamine (serotonin) receptor 1B	-1.33405936756985	-1.19321234310534	-2.20013074717885	-2.04118356362882	3.44041565855866	189.889005770956	1.69915213245701e-24	2.41041721510352e-21
ENSMUSG00000026247	Ecel1	13599	endothelin converting enzyme-like 1	3.45650605991033	3.62192816157323	5.54469717211114	6.1998506727294	3.95528212362007	258.570183400891	3.43985210813734e-24	4.43615836418512e-21
ENSMUSG00000023905	Tnfrsf12a	27279	tumor necrosis factor receptor superfamily, member 12a	1.65205764246408	1.48444673086115	2.6396650851805	2.4626663292098	3.37128347318976	183.705570408407	4.44224156250447e-24	5.25146990047403e-21
ENSMUSG00000063632	Sox11	20666	SRY (sex determining region Y)-box 11	1.30413644611534	2.11587052501003	3.30340323853039	3.5363408303833	1.53363957552201	178.625835060953	5.09327294749012e-24	5.55793615639191e-21
ENSMUSG00000031491	Chrna6	11440	cholinergic receptor, nicotinic, alpha polypeptide 6	-0.663018499770243	-0.82539533390098	-1.40828477103201	-1.52064121959404	6.25066827978203	181.193163579152	1.00929661987318e-23	1.02270584639435e-20
ENSMUSG00000062380	Tubb3	22152	tubulin, beta 3 class III	-1.09302239766822	-1.16157661318247	-0.824161439594839	-0.706846190822732	6.13127311916119	169.867552316492	1.25267786492368e-23	1.18469921278716e-20
ENSMUSG00000005716	Pvalb	19293	parvalbumin	-1.56276155715705	-1.49265196216411	-2.05721521656472	-1.69686721767016	3.10539858627754	149.801113963893	1.17559332786527e-22	1.04231043431854e-19
ENSMUSG00000037428	Vgf	381677	VGF nerve growth factor inducible	1.26672886682767	1.19584328600367	1.37598242244064	1.08724370547899	5.86032549841425	159.536494019175	1.74384440529351e-22	1.45518686667611e-19
