Pathway	N	Up	Down	P.Up	P.Down
Adrenergic signaling in cardiomyocytes	119	0	9	1	6.15481808711327e-05
Dopaminergic synapse	119	0	9	1	6.15481808711327e-05
MicroRNAs in cancer	125	6	1	6.86457471705835e-05	0.84241625758931
cAMP signaling pathway	159	0	9	1	0.000548012463755532
Glycine, serine and threonine metabolism	33	3	0	0.000806855477835822	1
Gap junction	79	0	6	1	0.00103616004266992
Ras signaling pathway	192	0	9	1	0.00206378075143171
Terpenoid backbone biosynthesis	21	0	3	1	0.003366062428727
Apelin signaling pathway	115	4	3	0.00387558464979506	0.236536797573305
Rap1 signaling pathway	173	1	8	0.622130098146348	0.00392541781086379
Biosynthesis of amino acids	58	3	1	0.00412943233061447	0.574856143377638
Acute myeloid leukemia	59	3	0	0.0043333592778137	1
Human papillomavirus infection	276	6	1	0.00438253673690069	0.983463126911053
Amyotrophic lateral sclerosis (ALS)	46	0	4	1	0.00447009808563678
Transcriptional misregulation in cancer	131	4	3	0.00614350002189824	0.299706890090276
Phagosome	114	3	6	0.02578567337865	0.00653486516425375
Fluid shear stress and atherosclerosis	117	2	6	0.138584928868408	0.00739433220910092
Serotonergic synapse	89	0	5	1	0.00977103885871218
Endocrine resistance	88	3	1	0.0130373285986385	0.72723080191877
Oxytocin signaling pathway	133	1	6	0.52627052556089	0.0134016893008286
