genes	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	FC
ENSMUSG00000020396	Nefh	380684	neurofilament, heavy polypeptide	-1.35710646800059	6.17039877846345	319.381219085919	4.82589604821829e-20	6.84601613400246e-16	-2.56170876465314
ENSMUSG00000014846	Tppp3	67971	tubulin polymerization-promoting protein family member 3	-1.6183093028629	5.2477461561654	216.85913946678	3.62143513844438e-17	2.5686839436986e-13	-3.07015033837047
ENSMUSG00000062380	Tubb3	22152	tubulin, beta 3 class III	-1.09302239766822	6.13127311916119	183.389974498052	4.33544686311422e-16	2.05008830667128e-12	-2.13320467915435
ENSMUSG00000030337	Vamp1	22317	vesicle-associated membrane protein 1	-0.799031013620939	6.11915766308522	167.053046681156	1.86596820016855e-15	6.61765622189776e-12	-1.73993210834262
ENSMUSG00000046480	Scn4b	399548	sodium channel, type IV, beta	-2.67071829753265	2.49607984691837	155.316450792967	5.73486334299339e-15	1.62709542767408e-11	-6.36746135024006
ENSMUSG00000028926	Cdk14	18647	cyclin-dependent kinase 14	-0.758222509204757	7.04529260497072	147.825291188135	1.21792263175378e-14	2.87957507567652e-11	-1.69140542285085
ENSMUSG00000037428	Vgf	381677	VGF nerve growth factor inducible	1.26672886682767	5.86032549841425	140.125383857765	5.12520648086367e-14	1.03865970196474e-10	2.40615380852141
ENSMUSG00000022594	Lynx1	23936	Ly6/neurotoxin 1	-0.691147566185199	7.57933467527661	123.136549618171	1.84689048197378e-13	3.27499854716001e-10	-1.61456728671633
ENSMUSG00000029304	Spp1	20750	secreted phosphoprotein 1	1.44062233847935	4.70847347458863	125.272765517896	2.11826574654096e-13	3.33885754227001e-10	2.71437931005549
ENSMUSG00000005716	Pvalb	19293	parvalbumin	-1.56276155715705	3.10539858627754	106.888394041698	1.40608494067383e-12	1.9946720968399e-09	-2.95418783051284
ENSMUSG00000046275	Tusc5	237858	tumor suppressor candidate 5	-1.14762086237007	4.69968378451933	96.0186189017416	6.47649789651405e-12	8.35232719635893e-09	-2.21548239447996
ENSMUSG00000049511	Htr1b	15551	5-hydroxytryptamine (serotonin) receptor 1B	-1.33405936756985	3.44041565855866	95.1421786544783	7.08085460267511e-12	8.37075028279576e-09	-2.52111052589849
ENSMUSG00000037242	Clic4	29876	chloride intracellular channel 4 (mitochondrial)	0.712527090646463	5.50970185908517	90.7707048472685	1.34134295180903e-11	1.46371470110484e-08	1.63867197746038
ENSMUSG00000029674	Limk1	16885	LIM-domain containing, protein kinase	-0.675893819767579	4.87694950726609	90.0561476031354	1.49210638597916e-11	1.51193008510717e-08	-1.59758624857391
ENSMUSG00000023905	Tnfrsf12a	27279	tumor necrosis factor receptor superfamily, member 12a	1.65205764246408	3.37128347318976	89.5609672850113	1.76943562536723e-11	1.6734142520973e-08	3.14281563445364
ENSMUSG00000036578	Fxyd7	57780	FXYD domain-containing ion transport regulator 7	-1.97014573215599	2.13817771101372	88.0813581989387	2.0091979695632e-11	1.78140514976397e-08	-3.91807695032965
ENSMUSG00000023064	Sncg	20618	synuclein, gamma	-1.33165807286285	5.68270350929476	90.3751802587357	4.09695848255582e-11	3.41879135491393e-08	-2.5169177521307
ENSMUSG00000046607	Hrk	12123	harakiri, BCL2 interacting protein (contains only BH3 domain)	2.19670518542757	2.47960654052226	77.9526928630958	9.99803355611641e-11	7.87956133483707e-08	4.58431184356971
ENSMUSG00000033595	Lgi3	213469	leucine-rich repeat LGI family, member 3	-1.01057369155146	3.84456696338985	75.2378878377426	1.57490368530067e-10	1.17587282524607e-07	-2.01471209651113
ENSMUSG00000053398	Phgdh	236539	3-phosphoglycerate dehydrogenase	2.30669495188857	3.61818811891617	80.7938025846419	2.04191621034457e-10	1.37964585089556e-07	4.94748369217056
ENSMUSG00000026347	Tmem163	72160	transmembrane protein 163	-0.99025002017693	3.77842658671854	73.7143022112542	2.04233489840736e-10	1.37964585089556e-07	-1.98652922811108
ENSMUSG00000050359	Sprr1a	20753	small proline-rich protein 1A	7.25053708915124	2.43541055523685	85.8837911219694	2.22465302225734e-10	1.4344967169883e-07	152.275189455792
ENSMUSG00000039114	Nrn1	68404	neuritin 1	-0.815944459606524	5.3419389618188	72.1729604743378	2.66639304101955e-10	1.64458485564797e-07	-1.76045025259388
ENSMUSG00000033615	Cplx1	12889	complexin 1	-0.740487037960035	6.75908398439262	71.4421696604263	3.11128332355585e-10	1.79527745832069e-07	-1.67073976701195
ENSMUSG00000060240	Cend1	57754	cell cycle exit and neuronal differentiation 1	-0.628299162770959	6.35517791063507	71.1955832618377	3.16381900874223e-10	1.79527745832069e-07	-1.54574159696463
ENSMUSG00000026247	Ecel1	13599	endothelin converting enzyme-like 1	3.45650605991033	3.95528212362007	77.5622946345401	3.92863756691113e-10	2.14352509708466e-07	10.9777163309101
ENSMUSG00000054459	Vsnl1	26950	visinin-like 1	-0.675928801105656	6.47298649172871	69.1515877250739	4.54766359000115e-10	2.38937613658357e-07	-1.59762498606217
ENSMUSG00000093536	Smim17	100042450	small integral membrane protein 17	-1.10451741775578	3.28094583486411	64.3137949763372	1.10491725738124e-09	5.59798436186079e-07	-2.15026939436909
ENSMUSG00000035547	Capn5	12337	calpain 5	-0.726998656202946	4.19165304090945	63.9013894950363	1.19413714067542e-09	5.84138947504189e-07	-1.65519209042844
ENSMUSG00000020635	Fkbp1b	14226	FK506 binding protein 1b	-1.59042764861763	1.61018347391115	60.8314808471683	2.15068682071983e-09	1.01698810795772e-06	-3.01138600791501
ENSMUSG00000070304	Scn2b	72821	sodium channel, voltage-gated, type II, beta	-0.46413997463857	6.04781945210114	58.3582917049765	3.50285307554664e-09	1.59609745955987e-06	-1.37949475809024
ENSMUSG00000036585	Fgf1	14164	fibroblast growth factor 1	-0.65290898389851	5.64852566645615	58.2165839628089	3.60353368899231e-09	1.59609745955987e-06	-1.57233538635782
ENSMUSG00000031538	Plat	18791	plasminogen activator, tissue	0.83114537895408	3.55122319199779	58.0672995915712	3.7129011818325e-09	1.59609745955987e-06	1.77909725591624
ENSMUSG00000029088	Kcnip4	80334	Kv channel interacting protein 4	-0.575350612824421	5.34269583098074	57.8066584406402	3.91231474533231e-09	1.63235579344954e-06	-1.49003953790599
ENSMUSG00000027500	Stmn2	20257	stathmin-like 2	-0.537642486837807	5.96207388046015	55.2979597549117	6.52265285560549e-09	2.64372438313198e-06	-1.45159851580375
ENSMUSG00000048899	Rimkla	194237	ribosomal modification protein rimK-like family member A	-0.542721951036948	5.71091313154091	54.5959471676549	7.54473423691557e-09	2.97304444124679e-06	-1.4567183351853
ENSMUSG00000032946	Rasgrp2	19395	RAS, guanyl releasing protein 2	-1.08336367737031	2.98456326137919	53.8106125100642	8.89107575121223e-09	3.38001597842497e-06	-2.11897075631533
ENSMUSG00000020953	Coch	12810	cochlin	-0.721368772501516	3.92367748166576	53.7241639123747	9.05403969971442e-09	3.38001597842497e-06	-1.64874555786794
ENSMUSG00000003657	Calb2	12308	calbindin 2	-0.732090320842356	7.87678806158999	54.3664916737124	9.62558025541491e-09	3.50124311546964e-06	-1.66104403564696
ENSMUSG00000068099	1500009C09Rik	76505	RIKEN cDNA 1500009C09 gene	-0.682762885223406	4.54470194786279	52.7767949421782	1.10609157854766e-08	3.92275378331928e-06	-1.6052109306032
ENSMUSG00000058672	Tubb2a	22151	tubulin, beta 2A class IIA	-0.469479180481539	7.13825809400737	51.9516899330486	1.31911784154998e-08	4.56414773176294e-06	-1.38460952749388
ENSMUSG00000049723	Mmp12	17381	matrix metallopeptidase 12	1.41062203766993	3.96413425424881	53.8239737745662	1.3873258318641e-08	4.68585815495812e-06	2.65851763730352
ENSMUSG00000032387	Rbpms2	71973	RNA binding protein with multiple splicing 2	-0.91847504044118	4.11158828376662	50.8070744540561	1.68889713548036e-08	5.57178947998243e-06	-1.8901163437119
ENSMUSG00000039252	Lgi2	246316	leucine-rich repeat LGI family, member 2	-1.11684518784348	2.09164028297686	48.948786942086	2.54047198039673e-08	8.19071261679727e-06	-2.16872208481609
ENSMUSG00000031491	Chrna6	11440	cholinergic receptor, nicotinic, alpha polypeptide 6	-0.663018499770243	6.25066827978203	49.1905148691035	2.75191784235992e-08	8.67526811371507e-06	-1.58339203554912
ENSMUSG00000022044	Stmn4	56471	stathmin-like 4	0.766354069243693	4.93451292920974	45.8794888804374	5.24400493525819e-08	1.59114603879179e-05	1.70096572348276
ENSMUSG00000062661	Ncs1	14299	neuronal calcium sensor 1	-0.424258937079663	5.84978398152057	45.7257000380872	5.27166670119937e-08	1.59114603879179e-05	-1.34188304646111
ENSMUSG00000061762	Tac1	21333	tachykinin 1	1.0087041035085	4.13420871766148	46.3068362632461	5.51687158611279e-08	1.63046542334575e-05	2.01210292272727
ENSMUSG00000034336	Ina	226180	internexin neuronal intermediate filament protein, alpha	-0.443052602475934	6.52756619734246	45.2348892318492	5.90652837965342e-08	1.69363386674112e-05	-1.35947780927408
ENSMUSG00000001552	Jup	16480	junction plakoglobin	0.479526469914366	5.05790160042777	45.1893507692656	5.96938483977557e-08	1.69363386674112e-05	1.39428595027601
ENSMUSG00000069372	Ctxn3	629147	cortexin 3	-1.36451927869195	2.44609637979626	44.6212652684523	6.81554221220313e-08	1.89578983965321e-05	-2.57490513032565
ENSMUSG00000026202	Tuba4a	22145	tubulin, alpha 4A	-0.550628067509265	6.08708822086071	44.099251147256	7.70487529777389e-08	2.10194924950424e-05	-1.46472321449123
ENSMUSG00000029816	Gpnmb	93695	glycoprotein (transmembrane) nmb	1.7566801891961	3.12276010733163	45.8456553644741	8.2266287390991e-08	2.20194255269547e-05	3.37919636802778
ENSMUSG00000022623	Shank3	58234	SH3 and multiple ankyrin repeat domains 3	-0.544835998015775	4.73677437209547	43.5968317179149	8.67689973605887e-08	2.27945369732835e-05	-1.45885449586286
ENSMUSG00000040811	Eml2	72205	echinoderm microtubule associated protein like 2	-0.566495567673333	5.14628834013365	43.4169874252407	9.05555392192961e-08	2.33567432611806e-05	-1.4809219092944
ENSMUSG00000021895	Arhgef3	71704	Rho guanine nucleotide exchange factor (GEF) 3	0.673939106573679	3.34299375958758	42.7019300632894	1.07422414413837e-07	2.72123994799052e-05	1.59542313840674
ENSMUSG00000017639	Rab11fip4	268451	RAB11 family interacting protein 4 (class II)	-0.358941130925408	6.8810181179388	42.5604126250163	1.11136545384822e-07	2.76517994809042e-05	-1.28248427000973
ENSMUSG00000016346	Kcnq2	16536	potassium voltage-gated channel, subfamily Q, member 2	-0.383691267791404	6.85769040182532	42.489238284646	1.13055432813509e-07	2.76517994809042e-05	-1.30467572130564
ENSMUSG00000041313	Slc7a1	11987	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1	0.84805731313252	5.20174395669602	43.1821127632994	1.25365641016818e-07	3.01429997197386e-05	1.80007536874593
ENSMUSG00000048142	Nat8l	269642	N-acetyltransferase 8-like	-0.41065774477576	5.9102289718743	41.6175588518347	1.39605356229125e-07	3.30073597244394e-05	-1.3292917185865
ENSMUSG00000045294	Insig1	231070	insulin induced gene 1	-0.464124519003825	6.47850439975737	41.1833378664318	1.5521287907427e-07	3.60959000417637e-05	-1.37947997960116
ENSMUSG00000032011	Thy1	21838	thymus cell antigen 1, theta	-0.46120323387806	7.31013251484168	38.8793683004971	2.75187278873876e-07	6.2964624808142e-05	-1.3766895235469
ENSMUSG00000031297	Slc7a3	11989	solute carrier family 7 (cationic amino acid transporter, y+ system), member 3	1.0488640238517	2.69145022338927	38.419757902781	3.09151631653184e-07	6.96130959782867e-05	2.06890015693849
ENSMUSG00000040618	Pck2	74551	phosphoenolpyruvate carboxykinase 2 (mitochondrial)	0.554746701982121	4.11709741772217	37.6070274243316	3.80479020179008e-07	8.43355528165531e-05	1.46891070986034
ENSMUSG00000027313	Chac1	69065	ChaC, cation transport regulator 1	2.15240790407423	2.77581593237631	39.7983835488226	3.96912755717906e-07	8.65872134160761e-05	4.44569170096121
ENSMUSG00000023484	Prph	19132	peripherin	-1.65739632512539	1.12024646324655	37.3849986469018	4.02844782564572e-07	8.65872134160761e-05	-3.154467146061
ENSMUSG00000024256	Adcyap1	11516	adenylate cyclase activating polypeptide 1	1.16984113950157	2.71835204890032	37.1576170923068	4.27191219131293e-07	9.04497706656198e-05	2.24986921429873
ENSMUSG00000096257	Ccer2	100504112	coiled-coil glutamate-rich protein 2	2.18506876033819	-0.825669131477116	36.6476447914178	4.87612058857815e-07	0.000101724480396426	4.54748462560104
ENSMUSG00000058441	Panx2	406218	pannexin 2	-0.541721385855732	5.30796727486336	36.322298651351	5.30814324968673e-07	0.000109132348029067	-1.45570839456055
ENSMUSG00000031026	Trim66	330627	tripartite motif-containing 66	0.680265072659844	4.63289772882933	35.9481477727113	5.85533086850557e-07	0.000118662462429457	1.60243415035714
ENSMUSG00000079598	Clec2l	665180	C-type lectin domain family 2, member L	-0.816851746694246	4.12812303870428	35.9915897714055	5.99283353492871e-07	0.000119738502149998	-1.76155771888422
ENSMUSG00000031586	Rbpms	19663	RNA binding protein gene with multiple splicing	-0.619563468745865	4.55567387760167	35.0369011428853	7.45213332019839e-07	0.000146827726778242	-1.5364102233157
ENSMUSG00000026156	B3gat2	280645	beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)	-0.460533517055758	4.50078765200896	34.6711158934725	8.21688827571744e-07	0.000159677776820997	-1.37605059561
ENSMUSG00000063632	Sox11	20666	SRY (sex determining region Y)-box 11	1.30413644611534	1.53363957552201	32.5538169906013	1.46150384293827e-06	0.000280174236701653	2.4693587478787
ENSMUSG00000042182	Bend6	320705	BEN domain containing 6	-0.498022736236002	5.79903419128918	32.1786065103805	1.62160740655216e-06	0.000306721635591319	-1.41227666106516
ENSMUSG00000074968	Ano3	228432	anoctamin 3	-0.702368134702855	3.7705742764536	31.5241171011286	1.94674925121745e-06	0.000363376116812773	-1.62717355166103
ENSMUSG00000038602	Slc35f1	215085	solute carrier family 35, member F1	-0.455047680678423	5.21798834669501	31.3546432306118	2.04168998793695e-06	0.000372948913816918	-1.37082810972695
ENSMUSG00000003352	Cacnb3	12297	calcium channel, voltage-dependent, beta 3 subunit	-0.444675346175198	5.34951811521039	31.3391419535539	2.05061435765682e-06	0.000372948913816918	-1.36100781052448
ENSMUSG00000034683	Ppp1r1c	75276	protein phosphatase 1, regulatory (inhibitor) subunit 1C	-1.73547870488183	0.271964453245608	31.2639281732023	2.09450405349207e-06	0.000376109297504284	-3.32989965934877
ENSMUSG00000039126	Prune2	353211	prune homolog 2	0.449858551397685	7.38077898747769	31.0444264690172	2.22834699221553e-06	0.000395141630394619	1.36590633031288
ENSMUSG00000028719	Cmpk1	66588	cytidine monophosphate (UMP-CMP) kinase 1	-0.316552628520233	5.98240646559839	30.9429864795751	2.29322023592933e-06	0.000401624966257944	-1.2453511794106
ENSMUSG00000021604	Irx4	50916	Iroquois homeobox 4	-1.16953276903455	1.85680750354243	30.569658610892	2.54965450759134e-06	0.000441090229813302	-2.24938836487582
ENSMUSG00000022763	Aifm3	72168	apoptosis-inducing factor, mitochondrion-associated 3	-1.15068607191101	1.58554433800409	30.4244806051872	2.65739086527322e-06	0.000453392582830445	-2.22019450398674
ENSMUSG00000024640	Psat1	107272	phosphoserine aminotransferase 1	0.612146647347468	5.50649810533849	30.8062973990926	2.68468750583374e-06	0.000453392582830445	1.52853188537658
ENSMUSG00000018865	Sult4a1	29859	sulfotransferase family 4A, member 1	-0.46327108512382	6.5467091214956	30.314336493652	2.74232657918625e-06	0.000457678174733366	-1.37866418224333
ENSMUSG00000026833	Olfm1	56177	olfactomedin 1	-0.342584606762689	6.97532627879477	29.216237882621	3.76390838418737e-06	0.000620869817884675	-1.2680262456726
ENSMUSG00000036564	Ndrg4	234593	N-myc downstream regulated gene 4	-0.290499168056986	8.74778683287846	27.8776529145462	5.5790179185278e-06	0.000909700553933741	-1.22306338066821
