Pathway	N	Up	Down	P.Up	P.Down
Gap junction	79	0	4	1	0.000979580130954893
Serotonergic synapse	89	0	4	1	0.00152635561056565
Ras signaling pathway	192	0	5	1	0.00434812428559708
Melanoma	61	1	3	0.173144916115594	0.00475931955041642
Apoptosis	116	3	1	0.0055470769624512	0.478594736847471
Ferroptosis	37	2	0	0.00585836074676047	1
MicroRNAs in cancer	125	3	1	0.00682088747174723	0.50439651401959
Transcriptional misregulation in cancer	131	3	2	0.00775913166961367	0.165715608459718
Metabolism of xenobiotics by cytochrome P450	29	0	2	1	0.011304704224132
Alanine, aspartate and glutamate metabolism	30	1	2	0.089172583853271	0.0120687780336712
p53 signaling pathway	58	2	1	0.0139538021013424	0.277431317643546
Regulation of actin cytoskeleton	172	0	4	1	0.015565932490124
Rap1 signaling pathway	173	0	4	1	0.0158684120307518
Platinum drug resistance	65	2	1	0.0173196604917936	0.305282908363472
Cholinergic synapse	103	0	3	1	0.0198030571986638
Taste transduction	39	0	2	1	0.0199062552702421
Colorectal cancer	70	2	0	0.0199137460447481	1
Phagosome	114	0	3	1	0.02578567337865
Amyotrophic lateral sclerosis (ALS)	46	0	2	1	0.0271179975420828
Prostate cancer	88	2	1	0.030477518618331	0.389540046302212
