Pathway	N	Up	Down	P.Up	P.Down
Aminoacyl-tRNA biosynthesis	44	8	0	6.65876602864345e-10	1
Steroid biosynthesis	14	0	5	1	5.29942842013296e-06
Adrenergic signaling in cardiomyocytes	119	0	11	1	2.59420904041337e-05
Gap junction	79	0	9	1	2.69812999720555e-05
Dopaminergic synapse	119	0	10	1	0.000135016909865173
Transcriptional misregulation in cancer	131	6	2	0.000326161640675078	0.740319161756762
cAMP signaling pathway	159	1	11	0.677771875655139	0.00035180724582879
Terpenoid backbone biosynthesis	21	0	4	1	0.000713044844416611
Aldosterone synthesis and secretion	81	0	7	1	0.00116028760378559
Apoptosis	116	5	5	0.00136808036720722	0.0828994540931598
Phagosome	114	1	8	0.555441899271029	0.00203163623878475
Rap1 signaling pathway	173	1	10	0.708533211012319	0.00251752597838105
Osteoclast differentiation	90	4	1	0.00375291850149434	0.83822778296833
Neuroactive ligand-receptor interaction	154	0	9	1	0.00379278778860007
Gastric acid secretion	55	0	5	1	0.00472450814249733
Salivary secretion	60	0	5	1	0.00684383662476201
One carbon pool by folate	18	2	0	0.00700950779195504	1
Circadian entrainment	86	0	6	1	0.00745591004746045
Morphine addiction	86	0	6	1	0.00745591004746045
Biosynthesis of amino acids	58	3	1	0.00794835738662468	0.690424703866385
