genes	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	FC
ENSMUSG00000020396	Nefh	380684	neurofilament, heavy polypeptide	-1.5222435878223	6.17039877846345	499.681297911474	2.07633466156988e-23	2.94548835090303e-19	-2.87237395828031
ENSMUSG00000014846	Tppp3	67971	tubulin polymerization-promoting protein family member 3	-1.71660752467996	5.2477461561654	308.896436413222	1.08543936935347e-19	7.69902144682415e-16	-3.28662652328075
ENSMUSG00000062380	Tubb3	22152	tubulin, beta 3 class III	-1.16157661318247	6.13127311916119	259.44396650596	1.5777406647348e-18	7.46060968997598e-15	-2.23701760956287
ENSMUSG00000030337	Vamp1	22317	vesicle-associated membrane protein 1	-0.786091289480334	6.11915766308522	202.394037931071	9.045347456189e-17	3.20793247533743e-13	-1.72439620128063
ENSMUSG00000046480	Scn4b	399548	sodium channel, type IV, beta	-2.71389483959739	2.49607984691837	186.414509236333	3.34863302289789e-16	9.50074161256589e-13	-6.56090503703814
ENSMUSG00000028926	Cdk14	18647	cyclin-dependent kinase 14	-0.747941087049435	7.04529260497072	180.860153738636	5.39566275560794e-16	1.2757145308509e-12	-1.67939440583711
ENSMUSG00000087006	Gm13889	620695	predicted gene 13889	1.31937243735729	4.69059464641438	178.595746131165	6.57703836026962e-16	1.33288380255407e-12	2.49557530318598
ENSMUSG00000039114	Nrn1	68404	neuritin 1	-1.11065184593763	5.3419389618188	165.126756352413	2.23344377566575e-15	3.9604541751993e-12	-2.15943193833327
ENSMUSG00000037428	Vgf	381677	VGF nerve growth factor inducible	1.19584328600367	5.86032549841425	157.535873642508	9.19993225778049e-15	1.45011376676527e-11	2.29078694373124
ENSMUSG00000022594	Lynx1	23936	Ly6/neurotoxin 1	-0.673713215947535	7.57933467527661	147.666546742076	1.23792462674129e-14	1.7561198754952e-11	-1.59517335386547
ENSMUSG00000054459	Vsnl1	26950	visinin-like 1	-0.86311897354575	6.47298649172871	140.011570085555	2.76241027010243e-14	3.56250473560665e-11	-1.81896650063139
ENSMUSG00000029674	Limk1	16885	LIM-domain containing, protein kinase	-0.718633162353838	4.87694950726609	129.249096965528	9.07565461878946e-14	1.07289363685123e-10	-1.64562220091604
ENSMUSG00000026247	Ecel1	13599	endothelin converting enzyme-like 1	3.62192816157323	3.95528212362007	144.134106192919	1.65605653662274e-13	1.80713984834848e-10	12.3114447025226
ENSMUSG00000005716	Pvalb	19293	parvalbumin	-1.49265196216411	3.10539858627754	121.96290895361	2.12343368848301e-13	2.15164502177286e-10	-2.81405780138932
ENSMUSG00000046275	Tusc5	237858	tumor suppressor candidate 5	-1.13269001158183	4.69968378451933	118.843415574535	3.23115877441704e-13	3.05581455825867e-10	-2.19267199239209
ENSMUSG00000036578	Fxyd7	57780	FXYD domain-containing ion transport regulator 7	-1.94822356526406	2.13817771101372	115.931553009099	4.42299251938314e-13	3.92153574249807e-10	-3.85899069522032
ENSMUSG00000035547	Capn5	12337	calpain 5	-0.857981152203668	4.19165304090945	113.60820004717	5.91366417387005e-13	4.93477882179533e-10	-1.81250019733931
ENSMUSG00000029304	Spp1	20750	secreted phosphoprotein 1	1.21363559700462	4.70847347458863	110.541025302061	1.23911325052788e-12	9.76558920666026e-10	2.31921343670824
ENSMUSG00000023064	Sncg	20618	synuclein, gamma	-1.33874058396913	5.68270350929476	117.004494673525	1.4609221448353e-12	1.09077060771755e-09	-2.52930424079176
ENSMUSG00000033615	Cplx1	12889	complexin 1	-0.80366839266983	6.75908398439262	105.803310656808	1.6872524946773e-12	1.19676819447461e-09	-1.74553392049368
ENSMUSG00000031026	Trim66	330627	tripartite motif-containing 66	1.03250861583589	4.63289772882933	104.62933399464	1.89865434309996e-12	1.28258621481981e-09	2.0455780937371
ENSMUSG00000033595	Lgi3	213469	leucine-rich repeat LGI family, member 3	-1.04694587538583	3.84456696338985	104.135893417804	2.02868541345702e-12	1.30813323978642e-09	-2.06615125951473
ENSMUSG00000063632	Sox11	20666	SRY (sex determining region Y)-box 11	2.11587052501003	1.53363957552201	102.088712616163	2.67707778686701e-12	1.65117502106502e-09	4.33451484791601
ENSMUSG00000038539	Atf5	107503	activating transcription factor 5	0.756066235584337	4.67848643583021	99.6099262705893	3.7662671479683e-12	2.22617774004493e-09	1.68887931122014
ENSMUSG00000029088	Kcnip4	80334	Kv channel interacting protein 4	-0.669698481508488	5.34269583098074	97.5171897526293	5.04888520756131e-12	2.86493942217859e-09	-1.59074047326876
ENSMUSG00000049511	Htr1b	15551	5-hydroxytryptamine (serotonin) receptor 1B	-1.19321234310534	3.44041565855866	96.9101535672215	5.5016091393392e-12	3.00176258656407e-09	-2.28661320128204
ENSMUSG00000048899	Rimkla	194237	ribosomal modification protein rimK-like family member A	-0.639648793334945	5.71091313154091	95.8625070010659	6.38639371646734e-12	3.35545856525206e-09	-1.55794984909898
ENSMUSG00000023905	Tnfrsf12a	27279	tumor necrosis factor receptor superfamily, member 12a	1.48444673086115	3.37128347318976	95.1901104750617	7.78688096477365e-12	3.94516762022425e-09	2.79809846319728
ENSMUSG00000031491	Chrna6	11440	cholinergic receptor, nicotinic, alpha polypeptide 6	-0.82539533390098	6.25066827978203	95.595513945778	8.65073595215197e-12	4.23170138680096e-09	-1.77202054886536
ENSMUSG00000025432	Avil	11567	advillin	1.96974103797732	0.976979381654132	92.0376743741479	1.11212648610256e-11	5.25887544395032e-09	3.91697803440105
ENSMUSG00000032387	Rbpms2	71973	RNA binding protein with multiple splicing 2	-1.10203004661073	4.11158828376662	91.637747751641	1.17965983150083e-11	5.39827560311959e-09	-2.14656527824293
ENSMUSG00000020635	Fkbp1b	14226	FK506 binding protein 1b	-1.67339305954087	1.61018347391115	87.9117977874229	2.06164470287645e-11	9.13952867343916e-09	-3.18963879886313
ENSMUSG00000046607	Hrk	12123	harakiri, BCL2 interacting protein (contains only BH3 domain)	2.08109785213895	2.47960654052226	87.6183276957907	2.15585357726847e-11	9.26755722640319e-09	4.23129083599513
ENSMUSG00000053398	Phgdh	236539	3-phosphoglycerate dehydrogenase	2.3027060276894	3.61818811891617	95.6422859966155	2.61367417402364e-11	1.09051711272645e-08	4.93382323099276
ENSMUSG00000060240	Cend1	57754	cell cycle exit and neuronal differentiation 1	-0.606010707480751	6.35517791063507	83.7724286306637	3.91085683635037e-11	1.58512614515618e-08	-1.52204467720009
