Pathway	N	Up	Down	P.Up	P.Down
Circadian entrainment	86	0	16	1	9.07872452736298e-09
Aminoacyl-tRNA biosynthesis	44	10	0	1.92035150989258e-08	1
Steroid biosynthesis	14	0	7	1	8.28157392022376e-08
cAMP signaling pathway	159	2	20	0.851152414747114	1.32750175372143e-07
Nicotine addiction	37	1	10	0.545014222099574	1.40303143751101e-07
Adrenergic signaling in cardiomyocytes	119	2	17	0.71783020594916	1.83554746677948e-07
Dopaminergic synapse	119	1	17	0.921148406429316	1.83554746677948e-07
Oxytocin signaling pathway	133	5	17	0.148989053415874	9.25705204127602e-07
Neuroactive ligand-receptor interaction	154	3	18	0.632246667752396	1.67477282907977e-06
Proteoglycans in cancer	171	15	3	3.26982017566345e-06	0.908987982922086
Serotonergic synapse	89	3	13	0.288172513891959	3.98275039181381e-06
Cholinergic synapse	103	1	14	0.888906967925254	4.07244691796289e-06
Hematopoietic cell lineage	46	8	1	4.5402015208509e-06	0.7709024622935
Glutamatergic synapse	107	2	14	0.66181225461428	6.41828422277356e-06
Aldosterone synthesis and secretion	81	2	12	0.510798040445869	8.05710067719112e-06
Morphine addiction	86	1	12	0.840161827027108	1.51109528176442e-05
Retrograde endocannabinoid signaling	138	2	15	0.790472992619716	2.93792417309689e-05
Apoptosis	116	11	4	3.28085902342256e-05	0.498386006316192
Terpenoid backbone biosynthesis	21	0	6	1	3.41277479308087e-05
Fluid shear stress and atherosclerosis	117	11	2	3.55466070382346e-05	0.887164174006859
