Term	Ont	N	Up	Down	P.Up	P.Down
cell communication	BP	3887	146	192	1.1312792930596e-15	4.43056944823083e-13
signaling	BP	3849	144	193	3.14805865635135e-15	7.73968934832404e-14
regulation of multicellular organismal process	BP	2116	92	102	1.50333950625515e-12	4.16559930862097e-06
system development	BP	3331	117	148	6.6250335028376e-10	1.5387495599604e-06
multicellular organismal process	BP	4730	149	206	1.62403714203795e-09	8.249769181216e-09
regulation of localization	BP	2091	79	113	7.0985214821379e-08	1.97158218800563e-09
multicellular organism development	BP	3724	125	160	2.23368638785915e-09	3.65173397617963e-06
regulation of biological quality	BP	2617	90	132	4.97011042683921e-07	4.57875558088858e-09
plasma membrane	CC	3175	101	190	3.02981846492788e-06	3.56171961757142e-22
cell periphery	CC	3272	106	191	5.79060523142328e-07	5.13956453872179e-21
