Pathway	N	Up	Down	P.Up	P.Down
cAMP signaling pathway	159	9	33	0.156182772306947	3.3998590124414e-12
Adrenergic signaling in cardiomyocytes	119	7	28	0.171129080419785	6.24005740599686e-12
Complement and coagulation cascades	34	14	0	8.36842632048523e-12	1
Neuroactive ligand-receptor interaction	154	7	30	0.375678127120674	1.72927575303835e-10
Osteoclast differentiation	90	19	2	9.84992118203941e-10	0.947836143761593
Jak-STAT signaling pathway	95	19	3	2.58480447531216e-09	0.868942284284733
Oxytocin signaling pathway	133	5	26	0.579270325876414	2.64592640021394e-09
Dopaminergic synapse	119	6	24	0.304087093852012	5.65791266600438e-09
Circadian entrainment	86	2	20	0.846411655554047	8.16468598882748e-09
Aldosterone synthesis and secretion	81	3	19	0.603817104622198	1.65757433175455e-08
Calcium signaling pathway	141	4	25	0.792887528257643	4.17603866817281e-08
Inflammatory mediator regulation of TRP channel...	77	3	18	0.56926172772761	4.17904187208845e-08
MAPK signaling pathway	255	30	24	4.4120774326622e-08	0.00281336987009938
Morphine addiction	86	3	19	0.644359819112487	4.6995422920576e-08
Gastric acid secretion	55	0	15	1	6.1989289710767e-08
Staphylococcus aureus infection	23	9	0	8.30301280486399e-08	1
Steroid biosynthesis	14	0	8	1	9.9948301493311e-08
Cholinergic synapse	103	5	20	0.359116612348767	2.03047854677657e-07
Pertussis	49	12	5	2.19910310643797e-07	0.102739519869429
Glutamatergic synapse	107	3	20	0.781992569277487	3.88343664829802e-07
