Term	Ont	N	Up	Down	P.Up	P.Down
response to stimulus	BP	5346	326	339	3.99302985351501e-27	1.30971150947e-07
signaling	BP	3849	239	321	4.56923067106387e-18	9.82039486480358e-25
cell communication	BP	3887	243	323	7.0772693540933e-19	1.1748990437845e-24
regulation of developmental process	BP	1898	159	148	2.78020846077691e-23	3.68856210638497e-08
neurogenesis	BP	1392	88	156	1.36014213730107e-06	2.84340893381384e-22
regulation of multicellular organismal process	BP	2116	167	172	9.22013883022209e-22	6.89803634131434e-11
regulation of nervous system development	BP	812	59	107	1.41041405503146e-06	2.62159492540326e-20
biological regulation	BP	7967	405	467	6.93891716276538e-20	1.28753247148219e-06
developmental process	BP	4330	265	294	6.99440595133697e-20	1.79534526831548e-09
regulation of biological process	BP	7591	391	445	1.40933978831705e-19	4.42992824240658e-06
cellular developmental process	BP	3088	208	213	3.13089451291337e-19	3.97499611663949e-07
multicellular organismal process	BP	4730	279	348	6.88036499994406e-19	2.06039098409361e-17
anatomical structure development	BP	4024	249	285	6.92432949492552e-19	3.18098713235069e-11
regulation of biological quality	BP	2617	168	229	4.96348596031986e-13	9.69440929175711e-19
signal transduction	BP	3477	223	247	3.06729271556034e-18	1.35567790968834e-09
regulation of multicellular organismal development	BP	1477	124	129	7.62154329132485e-18	3.61753277112008e-10
cell differentiation	BP	2938	197	208	9.10162964120315e-18	7.74110086973152e-08
cell development	BP	1727	107	168	2.04849251602431e-07	1.26973418102745e-17
positive regulation of multicellular organismal process	BP	1237	110	102	1.43119874051885e-17	5.91278703672081e-07
system development	BP	3331	214	255	2.13205905127978e-17	1.32151599847529e-13
positive regulation of developmental process	BP	1066	99	91	4.72612568639286e-17	5.91770001311141e-07
regulation of neurogenesis	BP	728	55	92	9.99583878041581e-07	2.51326849506995e-16
multicellular organism development	BP	3724	228	272	3.21291680479079e-16	3.69420628714855e-12
regulation of cell differentiation	BP	1372	114	116	5.05662739076777e-16	2.1667061545788e-08
regulation of signaling	BP	2295	159	174	3.90642282692114e-15	1.22497096885472e-08
regulation of cell communication	BP	2275	158	172	3.99812680075658e-15	1.88844705298789e-08
regulation of cell development	BP	817	66	95	5.54224642736803e-09	1.61088365973565e-14
regulation of localization	BP	2091	143	179	4.89449922804231e-13	2.38676522746929e-13
anatomical structure morphogenesis	BP	1957	131	152	3.09244169757449e-11	2.95007181724621e-08
localization	BP	4496	235	307	4.66814065338549e-09	2.63445267083535e-10
regulation of cellular component organization	BP	2024	125	146	1.63779560760724e-08	4.84201449634166e-06
positive regulation of cell development	BP	499	41	53	3.37865974552188e-06	2.98194153468277e-07
plasma membrane	CC	3175	187	307	3.70731388933671e-11	2.41002056264528e-35
cell periphery	CC	3272	192	310	2.35340265146912e-11	5.13936023023987e-34
protein binding	MF	6807	362	423	2.25305076713675e-19	3.54586028536942e-09
