genes	Symbol	Entrezid	Genename	logFC	unshrunk.logFC	logCPM	PValue	FDR	FC
ENSMUSG00000087006	Gm13889	620695	predicted gene 13889	2.2677851708819	2.26822078878359	4.69059464641438	8.72660462668071e-23	1.23795613234093e-18	4.81583235461527
ENSMUSG00000020396	Nefh	380684	neurofilament, heavy polypeptide	-1.5249536193693	-1.52508146006783	6.17039877846345	7.79284478841786e-22	5.52746480842479e-18	-2.87777464209884
ENSMUSG00000026247	Ecel1	13599	endothelin converting enzyme-like 1	6.1998506727294	6.2088105396125	3.95528212362007	2.37171346112864e-20	1.12150423865236e-16	73.5090857110252
ENSMUSG00000032802	Srxn1	76650	sulfiredoxin 1 homolog (S. cerevisiae)	1.12492975337233	1.12498461255523	6.58490207089338	5.12258999523598e-19	1.29726149929082e-15	2.18090927154244
ENSMUSG00000046607	Hrk	12123	harakiri, BCL2 interacting protein (contains only BH3 domain)	3.52945742891934	3.53568864605075	2.47960654052226	5.28166507102697e-19	1.29726149929082e-15	11.5470900991916
ENSMUSG00000063632	Sox11	20666	SRY (sex determining region Y)-box 11	3.5363408303833	3.54813893474019	1.53363957552201	5.48679613403701e-19	1.29726149929082e-15	11.6023153354531
ENSMUSG00000030337	Vamp1	22317	vesicle-associated membrane protein 1	-1.06140457854572	-1.06149241925879	6.11915766308522	2.14164516283665e-18	4.34019689714296e-15	-2.08696235703142
ENSMUSG00000046275	Tusc5	237858	tumor suppressor candidate 5	-1.8165001614864	-1.816943770477	4.69968378451933	2.95817644865598e-18	5.24558638757921e-15	-3.52225695810516
ENSMUSG00000046480	Scn4b	399548	sodium channel, type IV, beta	-3.27306260683519	-3.2799750047223	2.49607984691837	3.52148164605704e-18	5.55063762566279e-15	-9.66696224310661
ENSMUSG00000031491	Chrna6	11440	cholinergic receptor, nicotinic, alpha polypeptide 6	-1.52064121959404	-1.52077044907998	6.25066827978203	5.11899082939115e-18	7.26180039057428e-15	-2.86918544956251
ENSMUSG00000023905	Tnfrsf12a	27279	tumor necrosis factor receptor superfamily, member 12a	2.4626663292098	2.46406954960002	3.37128347318976	7.63489781126562e-18	9.84624185005582e-15	5.51234555282135
ENSMUSG00000049511	Htr1b	15551	5-hydroxytryptamine (serotonin) receptor 1B	-2.04118356362882	-2.04263091448824	3.44041565855866	1.0736825017593e-17	1.26927166416311e-14	-4.11583048258502
ENSMUSG00000025432	Avil	11567	advillin	3.28380621990193	3.29431449831076	0.976979381654132	1.34130648695575e-17	1.46367490953494e-14	9.73921990765331
ENSMUSG00000050359	Sprr1a	20753	small proline-rich protein 1A	11.4405254191496	144269487.989846	2.43541055523685	1.46745196016099e-17	1.4869481076317e-14	2779.33769309709
ENSMUSG00000026628	Atf3	11910	activating transcription factor 3	2.5792504266884	2.58010463412033	4.08502126807864	2.8938765519582e-17	2.7368355177386e-14	5.97629111828883
ENSMUSG00000038591	Colec10	239447	collectin sub-family member 10	7.33691304475659	7.9994023177868	-0.661290089548558	4.56586459437956e-17	4.04820969599178e-14	161.67054488912
ENSMUSG00000028926	Cdk14	18647	cyclin-dependent kinase 14	-0.95138383551447	-0.951423280253969	7.04529260497072	2.8140052669387e-16	2.34820463039955e-13	-1.93372660236993
ENSMUSG00000031688	Pou4f2	18997	POU domain, class 4, transcription factor 2	-1.94631363325371	-1.94809800493109	2.95869540909239	1.57919288158853e-15	1.21820677581745e-12	-3.8538852965811
ENSMUSG00000049723	Mmp12	17381	matrix metallopeptidase 12	2.39429496484798	2.3953152692957	3.96413425424881	1.63160360500011e-15	1.21820677581745e-12	5.25720125482824
ENSMUSG00000048349	Pou4f1	18996	POU domain, class 4, transcription factor 1	-1.42895591406782	-1.42947463271951	4.17917407905119	5.83684509619805e-15	4.14007422673328e-12	-2.69251785922907
ENSMUSG00000037447	Arid5a	214855	AT rich interactive domain 5A (MRF1-like)	1.43196044424652	1.43258090328958	3.48336261619576	1.0888352593787e-14	7.35534142359346e-12	2.69813109041762
ENSMUSG00000014846	Tppp3	67971	tubulin polymerization-promoting protein family member 3	-1.32426827167076	-1.32445250942545	5.2477461561654	1.19389014369136e-14	7.69842071745708e-12	-2.50405850808516
ENSMUSG00000054459	Vsnl1	26950	visinin-like 1	-1.04565270228711	-1.04572402800549	6.47298649172871	2.24171027650074e-14	1.38264791227998e-11	-2.06430007543116
ENSMUSG00000038539	Atf5	107503	activating transcription factor 5	1.07668341019962	1.07686171155239	4.67848643583021	2.41561855309011e-14	1.42783186642234e-11	2.10918173748935
ENSMUSG00000031492	Chrnb3	108043	cholinergic receptor, nicotinic, beta polypeptide 3	-1.13678417732791	-1.13687250156076	6.28038829303672	3.10385812223005e-14	1.76125325287822e-11	-2.19890332495351
ENSMUSG00000032387	Rbpms2	71973	RNA binding protein with multiple splicing 2	-1.50349562696331	-1.50403615334544	4.11158828376662	4.42565027870824e-14	2.41470287899058e-11	-2.83528866768818
ENSMUSG00000033595	Lgi3	213469	leucine-rich repeat LGI family, member 3	-1.34258766944921	-1.34315867841177	3.84456696338985	7.12780943478908e-14	3.6661732410457e-11	-2.53605787511781
ENSMUSG00000005716	Pvalb	19293	parvalbumin	-1.69686721767016	-1.69819073109476	3.10539858627754	7.23620828628786e-14	3.6661732410457e-11	-3.24196208308389
ENSMUSG00000039518	Cdsn	386463	corneodesmosin	3.3665082704322	3.39026569521778	0.174163030302324	3.00739810842339e-13	1.47113619193428e-10	10.3138300303219
