genes	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	FC
ENSMUSG00000022454	Nell2	54003	NEL-like 2	0.958049772390185	5.25783582970821	91.7600172401812	1.15856608680012e-11	1.64354185073465e-07	1.94268201166381
ENSMUSG00000032802	Srxn1	76650	sulfiredoxin 1 homolog (S. cerevisiae)	-0.732384826170876	6.58490207089338	83.1382128041507	4.32237031989274e-11	3.06585726789992e-07	-1.66138314837633
ENSMUSG00000037447	Arid5a	214855	AT rich interactive domain 5A (MRF1-like)	-1.14880565147177	3.48336261619576	60.125656279415	2.46874448798392e-09	1.16738697688466e-05	-2.21730256952441
ENSMUSG00000021062	Rab15	104886	RAB15, member RAS oncogene family	-0.787015214118317	4.94507498777708	54.5350532356578	7.64101351104178e-09	2.23924320715757e-05	-1.72550088547156
ENSMUSG00000048349	Pou4f1	18996	POU domain, class 4, transcription factor 1	1.04451168180895	4.17917407905119	54.3797676840963	7.89244045945852e-09	2.23924320715757e-05	2.06266807601527
ENSMUSG00000087006	Gm13889	620695	predicted gene 13889	-0.948412733524615	4.69059464641438	47.2510318539358	3.71848001237939e-08	8.79172624260233e-05	-1.92974836241853
ENSMUSG00000026628	Atf3	11910	activating transcription factor 3	-1.55170324267795	4.08502126807864	47.7578618996237	4.82246997478955e-08	9.77307986605208e-05	-2.93163042623282
ENSMUSG00000031492	Chrnb3	108043	cholinergic receptor, nicotinic, beta polypeptide 3	0.737502560846371	6.28038829303672	41.5199146221436	1.51405562653303e-07	0.000268479913974969	1.66728711035714
ENSMUSG00000041959	S100a10	20194	S100 calcium binding protein A10 (calpactin)	-0.985101692822346	3.61474733624498	39.7717931618542	2.19980657260082e-07	0.000346738400432392	-1.97945283576876
ENSMUSG00000031688	Pou4f2	18997	POU domain, class 4, transcription factor 2	1.19025797436816	2.95869540909239	38.3130810507406	3.17649534486482e-07	0.000450617629622523	2.28193543773045
ENSMUSG00000031491	Chrna6	11440	cholinergic receptor, nicotinic, alpha polypeptide 6	0.695245885693062	6.25066827978203	33.8898920009135	1.10402217620176e-06	0.00142378714469074	1.61916037113659
ENSMUSG00000030272	Camk1	52163	calcium/calmodulin-dependent protein kinase I	-0.714461026374382	4.23227052296095	33.0021215751822	1.29178823877056e-06	0.0015271089962666	-1.6408700936433
ENSMUSG00000007041	Clic1	114584	chloride intracellular channel 1	-0.867127128785483	3.95567075541166	30.9140220310274	2.31210696067128e-06	0.00252304225723714	-1.82402705532372
ENSMUSG00000027560	Dok5	76829	docking protein 5	-0.719822846891133	3.30130691508824	30.0020468665359	2.99907669492307e-06	0.00303892157101276	-1.64697978423621
ENSMUSG00000096257	Ccer2	100504112	coiled-coil glutamate-rich protein 2	2.66481925845262	-0.825669131477116	29.2336011335817	3.74494957289446e-06	0.00354172364273872	6.34147857954581
ENSMUSG00000074457	S100a16	67860	S100 calcium binding protein A16	-0.812491392621698	4.1445470583519	28.0136265961598	5.35829892987318e-06	0.00475080178869881	-1.75624168228804
ENSMUSG00000026247	Ecel1	13599	endothelin converting enzyme-like 1	-2.57792251115617	3.95528212362007	28.6002366347536	6.84720654038512e-06	0.00571379246952372	-5.97079282628492
ENSMUSG00000032231	Anxa2	12306	annexin A2	-0.943660844452537	3.15142995840233	26.8071898276771	7.69027507222499e-06	0.00606079123192132	-1.92340269360981
ENSMUSG00000004891	Nes	18008	nestin	-1.12158067308216	2.92740959787741	26.6007492742079	8.18666389023746e-06	0.0061124217866794	-2.17585236846473
ENSMUSG00000000078	Klf6	23849	Kruppel-like factor 6	-0.5553506051773	5.05340255390998	26.2108196452808	9.21877284458695e-06	0.00616498897791751	-1.46952571548172
ENSMUSG00000047261	Gap43	14432	growth associated protein 43	-0.69380147935282	4.95765038632307	26.1931709491064	9.26861927009047e-06	0.00616498897791751	-1.61754010137724
ENSMUSG00000030341	Tnfrsf1a	21937	tumor necrosis factor receptor superfamily, member 1a	-1.03343711482557	3.0166882849479	26.0916879473074	9.56081753236889e-06	0.00616498897791751	-2.0468950238284
ENSMUSG00000049723	Mmp12	17381	matrix metallopeptidase 12	-1.20436814721609	3.96413425424881	25.9816165568599	1.18674133220582e-05	0.00689275444764328	-2.30436323756159
ENSMUSG00000051648	Kctd19	279499	potassium channel tetramerisation domain containing 19	1.91665476581353	0.163146694376384	25.3666017804916	1.19532021008432e-05	0.00689275444764328	3.77546610661684
ENSMUSG00000030342	Cd9	12527	CD9 antigen	-0.521976848082317	5.62061397637692	25.3146991656756	1.214710709087e-05	0.00689275444764328	-1.43592146722104
ENSMUSG00000054409	Tmem74	239408	transmembrane protein 74	-1.00103015894642	1.58367910209043	24.7978303130036	1.42695070745101e-05	0.00778566259073077	-2.00142861352978
ENSMUSG00000026728	Vim	22352	vimentin	-0.764281436794024	6.69228150191871	25.3054046312248	1.50381697785666e-05	0.0079011657955091	-1.69852380370941
ENSMUSG00000049511	Htr1b	15551	5-hydroxytryptamine (serotonin) receptor 1B	0.847971220523474	3.44041565855866	24.0056851436087	1.83153039370207e-05	0.00927931791609201	1.79996795272475
ENSMUSG00000029161	Cgref1	68567	cell growth regulator with EF hand domain 1	-0.859917523072765	2.4576939390214	23.4993875510119	2.15225617508345e-05	0.0103080881629588	-1.81493455031112
ENSMUSG00000047963	Stbd1	52331	starch binding domain 1	-1.04897104622072	2.05322745541363	23.4595169638569	2.17991431614806e-05	0.0103080881629588	-2.06905363830681
ENSMUSG00000022146	Osmr	18414	oncostatin M receptor	-1.05724122246491	3.44432654729356	23.2263047872049	2.52962597768832e-05	0.0115758948772537	-2.08094844409632
ENSMUSG00000027500	Stmn2	20257	stathmin-like 2	-0.425785508322015	5.96207388046015	22.4488570992082	3.02230597643965e-05	0.013398260181804	-1.34330369613514
ENSMUSG00000000555	Itga5	16402	integrin alpha 5 (fibronectin receptor alpha)	-1.04308454131714	1.83429455484299	22.0166181705592	3.48195038816129e-05	0.0149681661231685	-2.06062865566694
ENSMUSG00000063632	Sox11	20666	SRY (sex determining region Y)-box 11	-1.42047030537327	1.53363957552201	21.8720910382627	3.65165505649905e-05	0.015099876921461	-2.67672755603348
ENSMUSG00000046275	Tusc5	237858	tumor suppressor candidate 5	0.683810149904576	4.69968378451933	21.8307310920822	3.72547365184785e-05	0.015099876921461	1.6063765899899
ENSMUSG00000078532	Nkain1	67149	Na+/K+ transporting ATPase interacting 1	-0.979736132495028	1.69127028251647	21.6016371035723	3.99312087591304e-05	0.015735114651584	-1.97210467999162
ENSMUSG00000046607	Hrk	12123	harakiri, BCL2 interacting protein (contains only BH3 domain)	-1.44835957678039	2.47960654052226	21.3477131476895	4.34449998494073e-05	0.0166570477800998	-2.72897575391457
ENSMUSG00000019558	Slc6a8	102857	solute carrier family 6 (neurotransmitter transporter, creatine), member 8	-0.372351612996647	6.4929341693838	21.230479633043	4.51760957885643e-05	0.0168649498646467	-1.29446110152756
ENSMUSG00000036815	Dpp10	269109	dipeptidylpeptidase 10	0.616397470248361	4.12039115874127	21.060181006884	4.78216784068678e-05	0.0171146182320207	1.53304226342613
