genes	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	FC
ENSMUSG00000087006	Gm13889	620695	predicted gene 13889	-0.973071906813421	4.69059464641438	42.7462506200349	1.06286296414066e-07	0.00150777740092994	-1.96301596592027
ENSMUSG00000047963	Stbd1	52331	starch binding domain 1	-1.00218348963369	2.05322745541363	16.5292800024501	0.000233471212084987	0.999846398453351	-2.00302925114353
ENSMUSG00000025432	Avil	11567	advillin	-1.37858272670618	0.976979381654132	16.3756263790211	0.000247010801781024	0.999846398453351	-2.60012814456754
ENSMUSG00000059854	Hydin	244653	HYDIN, axonemal central pair apparatus protein	1.57390866029136	0.196864347364013	11.3565350198874	0.00174114382494158	0.999846398453351	2.97710201849555
ENSMUSG00000029816	Gpnmb	93695	glycoprotein (transmembrane) nmb	1.10866879339262	3.12276010733163	10.923587026483	0.00222566739978942	0.999846398453351	2.1564657360947
ENSMUSG00000035735	Dagla	269060	diacylglycerol lipase, alpha	0.305570000109944	5.01812530843459	10.1399298756321	0.00290129262675808	0.999846398453351	1.23590684001646
ENSMUSG00000050912	Tmem123	71929	transmembrane protein 123	-0.313128999383114	4.39251509992737	9.90050340839289	0.00321438091534011	0.999846398453351	-1.2423993666515
ENSMUSG00000096914	Galntl6	270049	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 6	0.511596702776814	2.32860005635358	9.86794552010448	0.00325965951947443	0.999846398453351	1.42562713566911
ENSMUSG00000024486	Hbegf	15200	heparin-binding EGF-like growth factor	0.444623823342281	3.26464999715038	8.99301578212379	0.00477029907448951	0.999846398453351	1.36095920584789
ENSMUSG00000012114	Med15	94112	mediator complex subunit 15	0.210374016125956	5.22709705093094	8.33960067494807	0.00638049632954184	0.999846398453351	1.15698809213541
ENSMUSG00000055760	Gemin6	67242	gem nuclear organelle associated protein 6	0.521509776011619	1.48467136457513	8.25457731206591	0.00662942673350164	0.999846398453351	1.43545666333683
ENSMUSG00000020014	Cfap54	380654	cilia and flagella associated protein 54	0.490086227223611	2.63819196051412	7.67293747363654	0.00863749162459763	0.999846398453351	1.40452881932829
