genes	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	FC
ENSMUSG00000032802	Srxn1	76650	sulfiredoxin 1 homolog (S. cerevisiae)	-0.808054621634879	6.58490207089338	88.8972926506261	1.77575674987338e-11	2.51908852537037e-07	-1.75084894673188
ENSMUSG00000021062	Rab15	104886	RAB15, member RAS oncogene family	-1.00343891090156	4.94507498777708	75.5758691843282	1.48739021471994e-10	1.05500587930085e-06	-2.00477302919783
ENSMUSG00000029552	Tes	21753	testis derived transcript	-1.28996176727388	3.02859452887047	58.5077171412039	3.39989197953124e-09	1.60769558738767e-05	-2.44521575409187
ENSMUSG00000027500	Stmn2	20257	stathmin-like 2	-0.644764262751678	5.96207388046015	45.1597434712276	6.0106293741522e-08	0.000172198839392454	-1.56348379118005
ENSMUSG00000037447	Arid5a	214855	AT rich interactive domain 5A (MRF1-like)	-1.06117484493599	3.48336261619576	44.4064076188945	7.16772947204186e-08	0.000172198839392454	-2.08663005726546
ENSMUSG00000031492	Chrnb3	108043	cholinergic receptor, nicotinic, beta polypeptide 3	0.813389641138626	6.28038829303672	44.6048104530047	7.28318790606743e-08	0.000172198839392454	1.75733549119907
ENSMUSG00000063632	Sox11	20666	SRY (sex determining region Y)-box 11	-1.99926679241505	1.53363957552201	43.4183538116219	9.05261230949153e-08	0.000183457654603495	-3.9979676334081
ENSMUSG00000051648	Kctd19	279499	potassium channel tetramerisation domain containing 19	2.81631963265429	0.163146694376384	41.3205279644113	1.50092088889364e-07	0.000266150796623065	7.04363246984143
ENSMUSG00000000555	Itga5	16402	integrin alpha 5 (fibronectin receptor alpha)	-1.43533224616975	1.83429455484299	36.6558558763085	4.86570910297786e-07	0.000766943881498266	-2.7044444157129
ENSMUSG00000039954	Stk32a	269019	serine/threonine kinase 32A	0.857990476958674	3.69514423335027	36.0379531145854	5.71878368033781e-07	0.000806597372821497	1.81251191234104
ENSMUSG00000022454	Nell2	54003	NEL-like 2	0.635801617131241	5.25783582970821	35.6977869904438	6.25445587271709e-07	0.000806597372821497	1.55380086201086
ENSMUSG00000031491	Chrna6	11440	cholinergic receptor, nicotinic, alpha polypeptide 6	0.745266271261766	6.25066827978203	34.4256046651927	9.57093579440141e-07	0.00113144412649482	1.67628362436634
ENSMUSG00000027465	Tbc1d20	67231	TBC1 domain family, member 20	-0.40010583631498	6.13366313424324	32.5401928927936	1.46701575746206e-06	0.00160085273348899	-1.31960471361304
ENSMUSG00000087006	Gm13889	620695	predicted gene 13889	-0.823720478428811	4.69059464641438	30.6512364339961	2.49114583575838e-06	0.00252424248757632	-1.76996456602851
ENSMUSG00000026628	Atf3	11910	activating transcription factor 3	-1.31692297296118	4.08502126807864	31.0400027593385	2.78278042571477e-06	0.00263176820794598	-2.49134181217095
ENSMUSG00000096257	Ccer2	100504112	coiled-coil glutamate-rich protein 2	2.76659951694254	-0.825669131477116	28.1830861865161	5.09604125229867e-06	0.00451827757531931	6.80502054299087
ENSMUSG00000019558	Slc6a8	102857	solute carrier family 6 (neurotransmitter transporter, creatine), member 8	-0.443238525502347	6.4929341693838	26.5865680878525	8.22198090497258e-06	0.00686100124223182	-1.35965301921721
ENSMUSG00000032515	Csrnp1	215418	cysteine-serine-rich nuclear protein 1	-1.23377976216934	2.22824341232528	25.6705296310928	1.08814018320538e-05	0.00857575368830644	-2.35182345032021
ENSMUSG00000022044	Stmn4	56471	stathmin-like 4	-0.753961811970927	4.93451292920974	25.1657631671899	1.29019156182377e-05	0.00915841459479973	-1.68641758056308
ENSMUSG00000025272	Tro	56191	trophinin	0.443842953959493	5.75516618614292	25.118178705605	1.29119055333423e-05	0.00915841459479973	1.36022277590863
ENSMUSG00000024256	Adcyap1	11516	adenylate cyclase activating polypeptide 1	-1.26823391736047	2.71835204890032	24.8381166579012	1.40907965260768e-05	0.00951866854852023	-2.40866526976461
ENSMUSG00000041548	Hspb8	80888	heat shock protein 8	-1.06676487940607	2.97793866473743	24.449985610923	1.59157609473426e-05	0.00988382839642753	-2.09473084144007
ENSMUSG00000039114	Nrn1	68404	neuritin 1	-0.627041702245288	5.3419389618188	24.3242974650032	1.65589172156793e-05	0.00988382839642753	-1.54439490749903
ENSMUSG00000007041	Clic1	114584	chloride intracellular channel 1	-0.8217522840144	3.95567075541166	24.2933311314182	1.67215481118188e-05	0.00988382839642753	-1.76755154104207
ENSMUSG00000038065	Mturn	68235	maturin, neural progenitor differentiation regulator homolog (Xenopus)	-0.42323735363742	5.32940499581075	23.0600638491342	2.47865448901455e-05	0.0140648770324642	-1.34093318510838
ENSMUSG00000044499	Hs3st5	319415	heparan sulfate (glucosamine) 3-O-sulfotransferase 5	-0.623171079485247	3.66276002395231	22.7720225365828	2.72072266554208e-05	0.0148446814359154	-1.5402569863421
ENSMUSG00000049511	Htr1b	15551	5-hydroxytryptamine (serotonin) receptor 1B	0.866071379609009	3.44041565855866	21.801975320485	3.73711109227718e-05	0.0196350585018682	1.82269273963696
ENSMUSG00000048349	Pou4f1	18996	POU domain, class 4, transcription factor 1	0.664341591278616	4.17917407905119	19.9339367329395	7.00003168941532e-05	0.0343534414775416	1.58484482594326
ENSMUSG00000030272	Camk1	52163	calcium/calmodulin-dependent protein kinase I	-0.593029091527626	4.23227052296095	19.8326800176782	7.24690641417314e-05	0.0343534414775416	-1.50841049304059
ENSMUSG00000050912	Tmem123	71929	transmembrane protein 123	-0.441021277162245	4.39251509992737	19.8254300543973	7.26493193519138e-05	0.0343534414775416	-1.35756500137933
ENSMUSG00000017167	Cntnap1	53321	contactin associated protein-like 1	0.36159171559254	6.29279050970247	19.665464635007	7.67494435964033e-05	0.0351215357051154	1.28484267401277
ENSMUSG00000028719	Cmpk1	66588	cytidine monophosphate (UMP-CMP) kinase 1	-0.333155071120868	5.98240646559839	19.2568810088095	8.83719959820643e-05	0.0376298505050393	-1.2597653812107
ENSMUSG00000002900	Lamb1	16777	laminin B1	0.637681817958612	3.80385913284054	19.2221939783922	8.94409085468892e-05	0.0376298505050393	1.55582718227552
ENSMUSG00000032452	Clstn2	64085	calsyntenin 2	0.703835451686035	4.66133758106362	19.2434940431367	9.01885603532592e-05	0.0376298505050393	1.62882933746096
ENSMUSG00000026078	Pdcl3	68833	phosducin-like 3	-0.383662617229209	5.27867931359199	19.0031118038733	9.65156398985853e-05	0.0384211823379475	-1.30464981193417
ENSMUSG00000049723	Mmp12	17381	matrix metallopeptidase 12	-1.09996142469952	3.96413425424881	19.2594613725962	9.95703676253419e-05	0.0384211823379475	-2.14348961090783
