genes	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	FC
ENSMUSG00000021062	Rab15	104886	RAB15, member RAS oncogene family	0.987455975275338	4.94507498777708	84.9151746207838	3.27009388706555e-11	4.63895518819119e-07	1.982685671132
ENSMUSG00000037447	Arid5a	214855	AT rich interactive domain 5A (MRF1-like)	1.31333036938506	3.48336261619576	78.3278918074499	9.39749635931416e-11	6.66564416766153e-07	2.48514558335334
ENSMUSG00000039954	Stk32a	269019	serine/threonine kinase 32A	-1.15016548478681	3.69514423335027	73.9017947911766	1.97766348418641e-10	9.35171139555615e-07	-2.21939350576327
ENSMUSG00000032802	Srxn1	76650	sulfiredoxin 1 homolog (S. cerevisiae)	0.658740934482985	6.58490207089338	67.2006245196619	6.47266929589951e-10	2.29553216579076e-06	1.57870425918168
ENSMUSG00000029552	Tes	21753	testis derived transcript	1.22424047743852	3.02859452887047	60.0927641778787	2.48472458491545e-09	7.04966059232211e-06	2.33632418990932
ENSMUSG00000039114	Nrn1	68404	neuritin 1	0.921749088576395	5.3419389618188	59.0192167181856	3.07091600014468e-09	7.26066906300873e-06	1.8944106394025
ENSMUSG00000027500	Stmn2	20257	stathmin-like 2	0.672377078832938	5.96207388046015	55.9287646028507	5.7283972410496e-09	1.16090061802185e-05	1.59369668444245
ENSMUSG00000030500	Slc17a6	140919	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6	0.746743429733232	6.1842470134322	49.3495673053196	2.32458007826065e-08	4.1220616237757e-05	1.67800083040253
ENSMUSG00000022454	Nell2	54003	NEL-like 2	-0.684407125350224	5.25783582970821	46.8637128763972	4.06058202822607e-08	6.40037962804611e-05	-1.60704143306991
ENSMUSG00000044499	Hs3st5	319415	heparan sulfate (glucosamine) 3-O-sulfotransferase 5	0.809792546055853	3.66276002395231	43.1975447988506	9.54130294370313e-08	0.000135352923559373	1.75295935576024
ENSMUSG00000025432	Avil	11567	advillin	-2.01393915718047	0.976979381654132	42.7305600597165	1.06687055342184e-07	0.000137587506098566	-4.03883485689624
ENSMUSG00000000555	Itga5	16402	integrin alpha 5 (fibronectin receptor alpha)	1.40411185009681	1.83429455484299	39.7977052254612	2.18563886705047e-07	0.000256877004700161	2.64654805497328
ENSMUSG00000022044	Stmn4	56471	stathmin-like 4	0.888897798962725	4.93451292920974	39.6018590930779	2.35401174474982e-07	0.000256877004700161	1.85176086100056
ENSMUSG00000051648	Kctd19	279499	potassium channel tetramerisation domain containing 19	-2.52175955895288	0.163146694376384	38.0987735056643	3.35474132688223e-07	0.000339931146165367	-5.74282085827154
ENSMUSG00000049511	Htr1b	15551	5-hydroxytryptamine (serotonin) receptor 1B	-1.00691840407351	3.44041565855866	33.3474068929617	1.17529032095076e-06	0.00111151123286716	-2.00961397791331
ENSMUSG00000024256	Adcyap1	11516	adenylate cyclase activating polypeptide 1	1.35975020812932	2.71835204890032	31.9784771217389	1.71447102423955e-06	0.00147096681723435	2.56640740238233
ENSMUSG00000021895	Arhgef3	71704	Rho guanine nucleotide exchange factor (GEF) 3	0.72679304282649	3.34299375958758	31.8788910642042	1.76275453919244e-06	0.00147096681723435	1.65495620871127
ENSMUSG00000049723	Mmp12	17381	matrix metallopeptidase 12	1.32065664473755	3.96413425424881	32.1550875190591	2.07826155508648e-06	0.00163790102335871	2.49779771536516
ENSMUSG00000031492	Chrnb3	108043	cholinergic receptor, nicotinic, beta polypeptide 3	-0.620172199066342	6.28038829303672	29.3484527856449	3.75833232042661e-06	0.00280608959460905	-1.53705863257783
ENSMUSG00000023905	Tnfrsf12a	27279	tumor necrosis factor receptor superfamily, member 12a	1.15521835431936	3.37128347318976	28.4884826831769	4.77986269967628e-06	0.00339035661288039	2.22718029843095
ENSMUSG00000026628	Atf3	11910	activating transcription factor 3	1.19927015460633	4.08502126807864	28.5721621226813	5.53996770525577e-06	0.00374238008889325	2.2962347732674
ENSMUSG00000042109	Csdc2	105859	cold shock domain containing C2, RNA binding	0.422564017449866	6.45581923752916	26.0380600576136	9.71913754542386e-06	0.00626707660088104	1.34030748934812
ENSMUSG00000027465	Tbc1d20	67231	TBC1 domain family, member 20	0.330155990171428	6.13366313424324	25.088371598772	1.30322731078244e-05	0.0080380794046781	1.2571492953694
ENSMUSG00000007041	Clic1	114584	chloride intracellular channel 1	0.762948522496694	3.95567075541166	23.7641636715768	1.97772758370975e-05	0.0116900181260444	1.69695525244597
ENSMUSG00000031491	Chrna6	11440	cholinergic receptor, nicotinic, alpha polypeptide 6	-0.582889437131029	6.25066827978203	23.7708739569162	2.0808462133836e-05	0.0118075537532239	-1.4978461405781
ENSMUSG00000046607	Hrk	12123	harakiri, BCL2 interacting protein (contains only BH3 domain)	1.45691693959312	2.47960654052226	23.3646063711035	2.24727404804746e-05	0.0122614729406159	2.74521080769977
ENSMUSG00000019558	Slc6a8	102857	solute carrier family 6 (neurotransmitter transporter, creatine), member 8	0.388384810997537	6.4929341693838	23.1392026648906	2.41620629789913e-05	0.0126949268674063	1.30892715589873
ENSMUSG00000032231	Anxa2	12306	annexin A2	0.867211058012807	3.15142995840233	22.5632000789015	2.91175235258897e-05	0.0147521853120811	1.82413317174481
ENSMUSG00000000078	Klf6	23849	Kruppel-like factor 6	0.513923384574764	5.05340255390998	22.4305410393215	3.04042287548351e-05	0.0148729099695204	1.4279281464535
ENSMUSG00000054409	Tmem74	239408	transmembrane protein 74	0.914393666746162	1.58367910209043	21.0582914391624	4.78519342915881e-05	0.0226275846620156	1.88477677479281
ENSMUSG00000034683	Ppp1r1c	75276	protein phosphatase 1, regulatory (inhibitor) subunit 1C	-2.02500619011546	0.271964453245608	20.6766753610217	5.43970105145495e-05	0.0248193378093359	-4.06993623109027
ENSMUSG00000096257	Ccer2	100504112	coiled-coil glutamate-rich protein 2	-2.11363831446788	-0.825669131477116	20.5913383019891	5.59860996685992e-05	0.0248193378093359	-4.32781345359891
ENSMUSG00000018774	Cd68	12514	CD68 antigen	1.58613347827983	1.22113212453172	20.4712865024238	5.8305130189078e-05	0.0250641386927958	3.00243596783473
ENSMUSG00000028780	Sema3c	20348	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	1.07412833599032	2.35896356033142	20.0780802495228	6.66380839488031e-05	0.0267913048079403	2.10544959289399
ENSMUSG00000037242	Clic4	29876	chloride intracellular channel 4 (mitochondrial)	0.41985210079339	5.50970185908517	20.0542294772133	6.71824205925721e-05	0.0267913048079403	1.33779040294477
