Pathway	N	Up	Down	P.Up	P.Down
Complement and coagulation cascades	34	14	0	3.06129692656958e-12	1
Staphylococcus aureus infection	23	11	0	9.30739889839203e-11	1
Hematopoietic cell lineage	46	14	2	3.56335407293467e-10	0.663732032364298
Osteoclast differentiation	90	18	3	2.10317162154667e-09	0.82154618004913
cAMP signaling pathway	159	5	28	0.670381022327547	2.88336713566607e-09
Dopaminergic synapse	119	4	23	0.614130894551252	1.21108477426015e-08
Circadian entrainment	86	0	19	1	2.33482050422753e-08
Aminoacyl-tRNA biosynthesis	44	12	0	2.63170436324111e-08	1
Jak-STAT signaling pathway	95	17	3	3.41586890244866e-08	0.848546911745981
Adrenergic signaling in cardiomyocytes	119	6	22	0.247958445374435	5.82242752953973e-08
Pertussis	49	12	5	9.79217534986624e-08	0.0891604465122566
Oxytocin signaling pathway	133	4	23	0.699804358404706	1.05737540585701e-07
Neuroactive ligand-receptor interaction	154	6	25	0.467276347184744	1.07426468582184e-07
Apoptosis	116	18	10	1.32665629380274e-07	0.0568329244576548
Serotonergic synapse	89	3	18	0.616786836877021	2.28238228399472e-07
Calcium signaling pathway	141	2	23	0.962775652333081	3.1637258590948e-07
Rap1 signaling pathway	173	10	25	0.0889064039358991	1.03906325788812e-06
Gap junction	79	2	16	0.776044672378049	1.04640680369917e-06
MAPK signaling pathway	255	26	22	1.36122225385908e-06	0.00687470231192255
cGMP-PKG signaling pathway	132	4	21	0.694167359418987	1.56327000111336e-06
