Pathway	N	Up	Down	P.Up	P.Down
Osteoclast differentiation	90	26	5	3.12612458679222e-12	0.802152948262397
Complement and coagulation cascades	34	16	0	9.93537563273553e-12	1
Staphylococcus aureus infection	23	13	0	4.45522972356744e-11	1
Apoptosis	116	28	14	5.31984714446577e-11	0.045828790602592
Oxytocin signaling pathway	133	6	32	0.782013316100992	1.53629709701416e-09
MAPK signaling pathway	255	41	33	1.75402281038754e-09	0.00109322829912288
Hematopoietic cell lineage	46	16	2	2.33043877074486e-09	0.862628068482664
cAMP signaling pathway	159	15	35	0.0398006385551852	3.38278890938632e-09
Adrenergic signaling in cardiomyocytes	119	8	29	0.374727132305973	6.54641483823024e-09
Dopaminergic synapse	119	7	29	0.528619280975965	6.54641483823024e-09
Circadian entrainment	86	2	24	0.961689791670831	7.50850185351914e-09
Proteoglycans in cancer	171	31	11	9.6507589952007e-09	0.723189954704612
Jak-STAT signaling pathway	95	22	4	1.40905592663976e-08	0.926633582916348
Leishmaniasis	45	15	2	1.44524786334774e-08	0.854206659894732
PI3K-Akt signaling pathway	269	40	27	2.6957876810167e-08	0.0624844413366168
Tuberculosis	118	24	13	4.66013354136811e-08	0.0939694117937558
Pertussis	49	15	8	5.32020149032084e-08	0.0256118692660355
Aminoacyl-tRNA biosynthesis	44	14	0	8.58799675868503e-08	1
Steroid biosynthesis	14	0	9	1	8.83568121744143e-08
AGE-RAGE signaling pathway in diabetic complica...	87	19	9	3.63979434688519e-07	0.190043027796203
