Term	Ont	N	Up	Down	P.Up	P.Down
regulation of multicellular organismal process	BP	2116	169	149	1.16077200994121e-26	1.11930862926741e-06
multicellular organismal process	BP	4730	271	296	5.46371213224165e-22	6.90476517583005e-08
regulation of multicellular organismal development	BP	1477	122	116	9.67009641321192e-20	1.06232692960231e-07
cell communication	BP	3887	230	273	3.40235193768941e-19	1.21322031449962e-12
signaling	BP	3849	226	272	2.61314498007744e-18	6.48199680992466e-13
system development	BP	3331	201	224	4.65980306158219e-17	2.84137796603996e-08
generation of neurons	BP	1307	77	133	5.63860793878951e-06	5.68892143593614e-17
anatomical structure development	BP	4024	229	249	6.97056483564217e-17	4.79947443714737e-06
regulation of cell differentiation	BP	1372	110	109	9.30402784163734e-17	1.55529995099423e-07
multicellular organism development	BP	3724	215	239	2.92167821704145e-16	4.55878980319125e-07
neurogenesis	BP	1392	83	135	1.40659014940586e-06	1.65800120833388e-15
cell differentiation	BP	2938	176	193	3.28102014629085e-14	2.32345953504032e-06
regulation of nervous system development	BP	812	54	90	5.99512358038093e-06	1.08555722444948e-13
regulation of neurogenesis	BP	728	52	81	1.140288131093e-06	1.74778957742112e-12
cell development	BP	1727	99	147	6.8013989364376e-07	3.30578638374891e-12
regulation of localization	BP	2091	131	155	1.29707260847952e-11	2.2611996489759e-08
regulation of cell development	BP	817	61	85	2.51012881712004e-08	1.73274191838584e-11
regulation of transport	BP	1478	87	129	1.27606443176417e-06	1.83345537266717e-11
regulation of biological quality	BP	2617	144	189	1.01528145492842e-08	2.69646012015969e-09
transport	BP	3445	170	220	6.87984969157349e-07	2.61060903510437e-06
establishment of localization	BP	3549	174	223	7.2308095903795e-07	7.15542748637237e-06
positive regulation of cell development	BP	499	38	48	8.02844513218758e-06	5.20062521127886e-06
plasma membrane	CC	3175	186	269	3.39719923396463e-14	7.74237519227947e-24
cell periphery	CC	3272	190	273	3.56371014637199e-14	3.13870379733951e-23
integral component of plasma membrane	CC	818	54	100	7.4192063294547e-06	4.86027601180973e-18
intrinsic component of plasma membrane	CC	861	57	102	3.71838417913468e-06	1.98596758422301e-17
plasma membrane part	CC	1671	109	156	1.13127508610578e-10	1.7874004895282e-16
molecular transducer activity	MF	708	51	65	1.13584973634014e-06	5.67067707348383e-07
receptor activity	MF	663	49	61	8.94875679962148e-07	1.19971818023366e-06
transmembrane signaling receptor activity	MF	466	38	45	1.59979137945045e-06	9.30794077411125e-06
signaling receptor activity	MF	536	41	52	3.12548826138834e-06	1.62269434412454e-06
transmembrane receptor activity	MF	496	38	49	6.98785201094655e-06	1.95400525651958e-06
