Term	Ont	N	Up	Down	P.Up	P.Down
regulation of multicellular organismal process	BP	2116	247	215	5.37530937304607e-31	1.8976709588724e-07
multicellular organismal process	BP	4730	415	445	8.32007684537101e-27	6.20052318075901e-11
regulation of developmental process	BP	1898	215	191	1.11610869804534e-24	2.14006910447843e-06
cell communication	BP	3887	354	405	2.18519862507043e-24	8.16000740833312e-17
signal transduction	BP	3477	325	319	9.40412287387026e-24	2.59138782220733e-06
nervous system development	BP	1833	158	248	4.77756756257837e-08	1.75589764085999e-23
developmental process	BP	4330	379	391	3.10752425759438e-23	4.60189520627108e-07
signaling	BP	3849	348	403	3.15493654820033e-23	4.34692158954461e-17
system development	BP	3331	313	335	5.09135821354642e-23	3.07753991211574e-11
anatomical structure development	BP	4024	356	377	3.76470971675882e-22	1.15817424338161e-08
neuron differentiation	BP	1187	104	180	6.85723235306798e-06	4.24385164360452e-22
multicellular organism development	BP	3724	335	359	1.113623638109e-21	1.04683905224217e-09
cell differentiation	BP	2938	282	279	1.27229746755652e-21	8.52758212027865e-07
cellular developmental process	BP	3088	292	287	1.5873339408369e-21	3.6923757121852e-06
regulation of multicellular organismal development	BP	1477	174	163	1.91847669487833e-21	4.48498721221184e-08
generation of neurons	BP	1307	121	190	5.58529017087759e-08	3.40110840494069e-21
neurogenesis	BP	1392	131	198	5.10939689648888e-09	5.47569829729291e-21
positive regulation of developmental process	BP	1066	136	117	1.23409239600997e-19	5.98272695905621e-06
regulation of cell differentiation	BP	1372	159	147	8.33099973628053e-19	1.34171908182631e-06
regulation of transport	BP	1478	128	196	9.29876444904696e-07	2.59308827185395e-17
regulation of nervous system development	BP	812	83	125	1.56679963515226e-07	6.99567212265819e-16
cell development	BP	1727	156	214	2.39430798970135e-09	1.42077745033207e-15
anatomical structure morphogenesis	BP	1957	191	193	1.25988424581469e-14	7.07152276685498e-06
regulation of signaling	BP	2295	214	222	2.40164277201677e-14	4.76617356147672e-06
regulation of localization	BP	2091	197	232	1.44747932085349e-13	1.35019268828063e-11
regulation of neurogenesis	BP	728	77	110	1.13700078700796e-07	1.65676645982171e-13
regulation of biological quality	BP	2617	228	284	3.8359704538076e-12	3.57237426079318e-13
regulation of cell development	BP	817	90	116	1.16019924145815e-09	2.50219327992522e-12
localization	BP	4496	337	413	1.18382544639367e-09	1.70773461740433e-08
membrane	CC	6316	425	633	3.42397256321529e-06	2.07604133265605e-27
plasma membrane	CC	3175	273	378	3.56827867975465e-14	3.82844938490955e-26
cell periphery	CC	3272	279	384	4.48605474187042e-14	2.22505120785285e-25
intrinsic component of plasma membrane	CC	861	84	140	9.42005573489006e-07	6.82248733074555e-20
integral component of plasma membrane	CC	818	81	135	8.25842769661259e-07	9.04160249703235e-20
plasma membrane part	CC	1671	152	220	2.49999068702954e-09	3.77670275425874e-19
vesicle	CC	3079	280	293	5.98509859787078e-18	3.18108040129438e-07
cytoplasmic vesicle	CC	1341	114	142	9.60322937443822e-06	3.98196827219333e-06
intracellular vesicle	CC	1344	115	142	6.45214112217463e-06	4.49395991664335e-06
protein binding	MF	6807	523	569	4.84292675997043e-22	8.24585458637439e-06
receptor activity	MF	663	72	83	1.07101900546214e-07	1.07878236169127e-06
transmembrane receptor activity	MF	496	58	66	1.68195940766831e-07	1.78312168132592e-06
molecular transducer activity	MF	708	74	90	3.26269559883869e-07	1.86742831070599e-07
