genes	Symbol	Entrezid	Genename	logFC.a8_DJvsC.CONC	logFC.a9_JvsC.CONC	logFC.a10_DvsC.CONC	logCPM	F	PValue	FDR
ENSMUSG00000095463	Entpd4	67464	ectonucleoside triphosphate diphosphohydrolase 4	-1.06017055124014	-0.044204208110429	-1.16091171748243	5.86738550585478	247.565485257024	6.54181361583095e-25	9.28021679541779e-21
ENSMUSG00000022066	Entpd4b	100862375	ectonucleoside triphosphate diphosphohydrolase 4B	-0.974319474870892	-0.00998551662558956	-0.981442858435278	6.07088332163937	221.96866655344	4.63150130549149e-24	3.28512387598511e-20
ENSMUSG00000002324	Rec8	56739	REC8 meiotic recombination protein	6.21319926388374	0.00353180964072513	6.48516519844273	1.94270498650845	178.652450644421	6.94974300165494e-22	3.28630180738257e-18
ENSMUSG00000038539	Atf5	107503	activating transcription factor 5	-1.27541662576765	-0.0903788762478745	-1.1983338812517	4.67848643583021	148.660616424426	5.49438033902209e-21	1.94858198723418e-17
ENSMUSG00000087006	Gm13889	620695	predicted gene 13889	-1.75165559472764	-0.914632749425832	-1.17670784929641	4.69059464641438	113.218978764922	5.94925320377478e-19	1.68792211897498e-15
ENSMUSG00000032802	Srxn1	76650	sulfiredoxin 1 homolog (S. cerevisiae)	-0.949792007364841	-0.705975681193771	-0.220391477676122	6.58490207089338	107.026528184376	1.54178798189879e-18	3.64530071853603e-15
ENSMUSG00000052684	Jun	16476	jun proto-oncogene	-2.74263501200512	-2.68076904510845	0.167182758094893	4.85152559087311	130.188655527355	3.17654650547778e-18	6.43749838952969e-15
ENSMUSG00000025432	Avil	11567	advillin	-2.67592513682098	-0.892199917634933	-2.99304259823292	0.976979381654132	98.553712561675	6.16386530995605e-18	1.09300741608796e-14
ENSMUSG00000021062	Rab15	104886	RAB15, member RAS oncogene family	-1.18790833836273	-0.78503434054798	-0.235510713231461	4.94507498777708	87.6828334353255	4.29282648749795e-17	6.76644850573844e-14
ENSMUSG00000046607	Hrk	12123	harakiri, BCL2 interacting protein (contains only BH3 domain)	-1.57808530295775	-1.75167780091853	0.514414300242616	2.47960654052226	77.0478154387422	3.55176797031797e-16	5.03853804269308e-13
ENSMUSG00000047963	Stbd1	52331	starch binding domain 1	-2.25415540018961	-1.23028629590243	-1.58216534076381	2.05322745541363	72.8378251732386	8.79106416194352e-16	1.13372760183028e-12
ENSMUSG00000026247	Ecel1	13599	endothelin converting enzyme-like 1	-3.34718492093025	-2.47286285854775	-0.641357235941638	3.95528212362007	85.4575163188798	1.58304339470709e-15	1.87142113310956e-12
ENSMUSG00000050359	Sprr1a	20753	small proline-rich protein 1A	-2.53786409005111	-3.27838699863967	0.645536396564874	2.43541055523685	87.550476822733	4.38952769435689e-15	4.78998768247284e-12
ENSMUSG00000037447	Arid5a	214855	AT rich interactive domain 5A (MRF1-like)	-1.06578499813971	-1.07477821129852	-0.0778263918399026	3.48336261619576	63.4554683227945	7.86146761963238e-15	7.96591283229321e-12
ENSMUSG00000022454	Nell2	54003	NEL-like 2	0.687597269895553	0.811928967455882	0.139462040501928	5.25783582970821	60.6834805744768	1.5814073924762e-14	1.49558968464449e-11
ENSMUSG00000021327	Zkscan3	72739	zinc finger with KRAB and SCAN domains 3	-0.70305938721526	0.0404736982617249	-1.0358234025852	6.64904867619755	61.6445463330473	2.96077585727625e-14	2.62509789445756e-11
ENSMUSG00000004891	Nes	18008	nestin	-1.72687790332916	-1.59927781377386	-0.890964068606794	2.92740959787741	56.7829136495148	4.42659677521785e-14	3.6938648148965e-11
ENSMUSG00000038591	Colec10	239447	collectin sub-family member 10	-3.7874265864173	-2.81834551185325	-0.812280020916133	-0.661290089548558	55.494276395099	6.298790796473e-14	4.96414701326478e-11
ENSMUSG00000029552	Tes	21753	testis derived transcript	-0.881848634246991	-0.870431077835302	0.245854435279451	3.02859452887047	54.312559970889	8.75559345241934e-14	6.53720256400109e-11
ENSMUSG00000035495	Tstd2	272027	thiosulfate sulfurtransferase (rhodanese)-like domain containing 2	-0.681037465670928	-0.0386651482018179	-0.756030372660137	4.7759557020229	53.4534987914153	1.11646338232437e-13	7.91907477082674e-11
ENSMUSG00000096257	Ccer2	100504112	coiled-coil glutamate-rich protein 2	3.00606126185005	3.34423683592171	0.672861772774123	-0.825669131477116	49.9313853849703	3.12872915215696e-13	2.11353103583327e-10
ENSMUSG00000042655	Fam159b	77803	family with sequence similarity 159, member B	5.00550626021476	-0.258376971593297	5.00000475954086	1.0779883961197	54.5847919660607	3.4479371823748e-13	2.22329258496222e-10
ENSMUSG00000019718	L3hypdh	67217	L-3-hydroxyproline dehydratase (trans-)	1.47824661491095	0.11068772686446	1.31472988249927	2.47111659303609	46.5714307842259	8.83548706192591e-13	5.34561911344712e-10
ENSMUSG00000074037	Mc1r	17199	melanocortin 1 receptor	-1.46886045206513	0.0210062948445617	-1.07348998002709	2.79202724588416	46.4981136537189	9.04376559444035e-13	5.34561911344712e-10
ENSMUSG00000041959	S100a10	20194	S100 calcium binding protein A10 (calpactin)	-1.0693682941482	-1.12515184098365	-0.514694123533979	3.61474733624498	46.1645239816565	1.00588205467039e-12	5.70777713102163e-10
ENSMUSG00000026628	Atf3	11910	activating transcription factor 3	-1.40091534933581	-1.58271538787911	-0.515276004819611	4.08502126807864	48.7595436465763	1.26090342845439e-12	6.84557812861964e-10
ENSMUSG00000021113	Snapc1	75627	small nuclear RNA activating complex, polypeptide 1	0.62845658135388	-0.0860357590303186	0.492822062500096	4.57668212387707	45.3609034162373	1.30290856811455e-12	6.84557812861964e-10
ENSMUSG00000044906	4930503L19Rik	269033	RIKEN cDNA 4930503L19 gene	1.06498827926781	0.108931023748229	0.988422688731359	2.65515320509815	45.2158390955018	1.36572127196867e-12	6.91932927290982e-10
ENSMUSG00000027500	Stmn2	20257	stathmin-like 2	-0.525408333419137	-0.418732959605772	0.127596194198514	5.96207388046015	44.7348128637624	1.59783802831954e-12	7.81618285163482e-10
ENSMUSG00000063632	Sox11	20666	SRY (sex determining region Y)-box 11	-1.56223934213239	-1.27295653686232	0.100292138464404	1.53363957552201	43.3825240703889	2.50182977414753e-12	1.18303190586856e-09
ENSMUSG00000030423	Pop4	66161	processing of precursor 4, ribonuclease P/MRP family, (S. cerevisiae)	0.643978471580077	-0.135677403114068	0.951247268438679	3.63406919614713	43.1625893606111	2.69381338519541e-12	1.22582472020457e-09
ENSMUSG00000062040	Zfp27	22689	zinc finger protein 27	0.237377873216674	-0.10249493334481	0.644494966290792	4.21844329510222	43.0850467000711	2.76514810704541e-12	1.22582472020457e-09
ENSMUSG00000025408	Ddit3	13198	DNA-damage inducible transcript 3	-0.880714091129375	-0.129191957334597	-1.29948218754746	4.98946517348715	45.2030028411112	3.75694902256727e-12	1.61503269194362e-09
ENSMUSG00000037300	Ttc13	234875	tetratricopeptide repeat domain 13	-0.575879304839138	0.0343450443096289	-0.89524086231066	5.09243219804554	41.5733342517167	4.9635778137159e-12	2.07097984898158e-09
ENSMUSG00000039116	Adgrg6	215798	adhesion G protein-coupled receptor G6	-2.84699952796807	-2.24579188079463	-0.13003947468508	1.2128881785799	41.2772217080234	5.3006932638058e-12	2.14844670400997e-09
ENSMUSG00000049723	Mmp12	17381	matrix metallopeptidase 12	-1.10050518898189	-1.1497210328636	0.305019238233698	3.96413425424881	43.3729095590212	6.71370977164741e-12	2.64557463390528e-09
ENSMUSG00000026728	Vim	22352	vimentin	-0.929372900540037	-1.04842720169843	-0.352748944914443	6.69228150191871	41.2607939473153	1.58953696759882e-11	5.94894171642172e-09
ENSMUSG00000031492	Chrnb3	108043	cholinergic receptor, nicotinic, beta polypeptide 3	0.685349259987061	0.668876128125428	0.0764560295271964	6.28038829303672	38.547061016048	1.59354141564941e-11	5.94894171642172e-09
ENSMUSG00000007041	Clic1	114584	chloride intracellular channel 1	-0.949033914877097	-0.960411548202378	-0.335981473120948	3.95567075541166	37.3608384975191	2.11851634353588e-11	7.70596739728206e-09
ENSMUSG00000030500	Slc17a6	140919	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6	-0.346165844057709	-0.573803860008803	0.152300443860575	6.1842470134322	36.8161399499863	2.60222139818186e-11	9.22877818865196e-09
ENSMUSG00000020593	Lpin1	14245	lipin 1	0.479893082757142	0.121513120834601	0.480739434589562	5.79935271703501	36.6023979114878	2.8226493641392e-11	9.76636679992165e-09
ENSMUSG00000020581	Agr2	23795	anterior gradient 2	-1.84840386743893	-0.103372480406258	-1.41728153125814	1.78795755660059	36.48670373713	2.95008317380584e-11	9.96425711990706e-09
ENSMUSG00000030272	Camk1	52163	calcium/calmodulin-dependent protein kinase I	-0.855106563534414	-0.710423572790805	-0.402071653002375	4.23227052296095	36.2162103416192	3.27224487221803e-11	1.07953641296011e-08
ENSMUSG00000048349	Pou4f1	18996	POU domain, class 4, transcription factor 1	1.03445496579608	0.77605295193843	0.373497147814197	4.17917407905119	36.0226660275708	3.52536525028697e-11	1.13660980546752e-08
