Pathway	N	Up	Down	P.Up	P.Down
Jak-STAT signaling pathway	95	1	9	0.286057429016856	3.50840096882288e-07
Epstein-Barr virus infection	173	2	9	0.124328011766416	4.87434678546558e-05
TNF signaling pathway	84	0	6	1	0.000166874111068356
Neuroactive ligand-receptor interaction	154	5	2	0.000203000773287516	0.443858791256189
MicroRNAs in cancer	125	1	7	0.358427048978883	0.000218943437690435
HTLV-I infection	214	0	9	1	0.000246230552215794
Proteoglycans in cancer	171	0	8	1	0.000267894778180449
Mineral absorption	31	0	3	1	0.00332832859327365
Kaposi's sarcoma-associated herpesvirus infecti...	151	0	6	1	0.0035978723776364
Lysosome	113	0	5	1	0.00493796897492487
Apoptosis	116	1	5	0.337506476800586	0.00551370126471763
Viral carcinogenesis	166	0	6	1	0.00569658904693152
Cytokine-cytokine receptor interaction	118	1	5	0.34221250718418	0.00592292026762696
ErbB signaling pathway	82	0	4	1	0.00838489414760246
Hedgehog signaling pathway	40	2	0	0.00873885438074304	1
Non-alcoholic fatty liver disease (NAFLD)	132	0	5	1	0.00940433310330367
Hematopoietic cell lineage	46	0	3	1	0.0101102210346231
Regulation of lipolysis in adipocytes	44	2	0	0.0105041045199482	1
HIF-1 signaling pathway	89	1	4	0.270651942174082	0.0111124794501422
MAPK signaling pathway	255	1	7	0.597329154709966	0.0124355988107633
