Pathway	N	Up	Down	P.Up	P.Down
Neuroactive ligand-receptor interaction	154	21	5	2.77542738573204e-07	0.788665199908321
cAMP signaling pathway	159	17	7	9.35239535382046e-05	0.516409368995736
Proteoglycans in cancer	171	7	19	0.456671972291464	0.000121514375135692
Axon guidance	168	17	7	0.000183864651617899	0.575208176076442
Morphine addiction	86	11	2	0.000343285132308468	0.885633458522963
Nicotine addiction	37	7	1	0.000377395353419486	0.799809381451295
Hematopoietic cell lineage	46	2	8	0.516699810281738	0.000633161433955927
Calcium signaling pathway	141	14	5	0.000804642963358983	0.720823861626088
GABAergic synapse	82	10	2	0.000924446036560841	0.868856486967884
Pertussis	49	1	8	0.845516495157568	0.000978564285779761
Regulation of actin cytoskeleton	172	8	17	0.313626129118889	0.00105241182171723
Apoptosis	116	6	13	0.26581751463572	0.00128132173333251
Salivary secretion	60	8	0	0.0016582139278858	1
Phosphatidylinositol signaling system	89	10	1	0.00174228984410981	0.979273649957157
Retrograde endocannabinoid signaling	138	13	2	0.00197208179635837	0.982562098754309
Glutamatergic synapse	107	11	3	0.00215525469264777	0.838595535505635
Jak-STAT signaling pathway	95	3	11	0.693991251739586	0.00227805035881933
MicroRNAs in cancer	125	7	13	0.18661367077145	0.00252135453389679
Complement and coagulation cascades	34	0	6	1	0.00279150560972291
Cellular senescence	142	4	14	0.781610405230034	0.00288790207725682
