genes	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	FC
ENSMUSG00000095463	Entpd4	67464	ectonucleoside triphosphate diphosphohydrolase 4	-1.06017055124014	5.86738550585478	322.153808158568	4.16722956896411e-20	5.91163186653248e-16	-2.08517801083321
ENSMUSG00000022066	Entpd4b	100862375	ectonucleoside triphosphate diphosphohydrolase 4B	-0.974319474870892	6.07088332163937	308.607959569017	8.63003849111413e-20	6.12128630174725e-16	-1.9647142147766
ENSMUSG00000087006	Gm13889	620695	predicted gene 13889	-1.75165559472764	4.69059464641438	276.5091725154	5.46616261893501e-19	2.58476609707374e-15	-3.367447829394
ENSMUSG00000002324	Rec8	56739	REC8 meiotic recombination protein	6.21319926388374	1.94270498650845	255.852161058355	4.3747055804494e-18	1.46101089402627e-14	74.1923876074003
ENSMUSG00000032802	Srxn1	76650	sulfiredoxin 1 homolog (S. cerevisiae)	-0.949792007364841	6.58490207089338	241.495832762535	5.14948151003196e-18	1.46101089402627e-14	-1.93159416079373
ENSMUSG00000038539	Atf5	107503	activating transcription factor 5	-1.27541662576765	4.67848643583021	234.456183555159	8.36314906460554e-18	1.97732721050824e-14	-2.42068713074502
ENSMUSG00000021062	Rab15	104886	RAB15, member RAS oncogene family	-1.18790833836273	4.94507498777708	207.893913207862	5.88217413398311e-17	1.19206460378121e-13	-2.27822200299853
ENSMUSG00000047963	Stbd1	52331	starch binding domain 1	-2.25415540018961	2.05322745541363	162.010630293559	2.99821119454223e-15	5.31657800072201e-12	-4.77054932233826
ENSMUSG00000025432	Avil	11567	advillin	-2.67592513682098	0.976979381654132	146.549641417699	1.38880935540506e-14	2.18907216841958e-11	-6.39048371311142
ENSMUSG00000026247	Ecel1	13599	endothelin converting enzyme-like 1	-3.34718492093025	3.95528212362007	171.41458795527	1.57428781094996e-14	2.22872922265225e-11	-10.1766083817754
ENSMUSG00000052684	Jun	16476	jun proto-oncogene	-2.74263501200512	4.85152559087311	170.14959114015	1.72818422734913e-14	2.22872922265225e-11	-6.69291648364625
ENSMUSG00000004891	Nes	18008	nestin	-1.72687790332916	2.92740959787741	108.654073375912	1.11555266351075e-12	1.31876917371363e-09	-3.31010711490508
ENSMUSG00000038591	Colec10	239447	collectin sub-family member 10	-3.7874265864173	-0.661290089548558	107.685508080064	1.26613068962755e-12	1.38164076638896e-09	-13.8079437409631
ENSMUSG00000037447	Arid5a	214855	AT rich interactive domain 5A (MRF1-like)	-1.06578499813971	3.48336261619576	93.5362396134357	8.93149906214867e-12	9.0501604068315e-09	-2.09330857925124
ENSMUSG00000048349	Pou4f1	18996	POU domain, class 4, transcription factor 1	1.03445496579608	4.17917407905119	92.070676529638	1.10673849110541e-11	1.04667948232142e-08	2.04833965984161
ENSMUSG00000074037	Mc1r	17199	melanocortin 1 receptor	-1.46886045206513	2.79202724588416	82.8029489630698	4.55810610547086e-11	3.85281334625882e-08	-2.76803167504056
ENSMUSG00000022454	Nell2	54003	NEL-like 2	0.687597269895553	5.25783582970821	82.7219368764381	4.61707506600874e-11	3.85281334625882e-08	1.61059891865884
