Pathway	N	Up	Down	P.Up	P.Down
Neuroactive ligand-receptor interaction	154	15	5	2.21896101240996e-10	0.210415016887762
Jak-STAT signaling pathway	95	0	12	1	5.37244246572448e-07
Apoptosis	116	1	13	0.735806860792927	7.35168387730108e-07
MAPK signaling pathway	255	4	19	0.329448925099104	1.35431176541208e-06
cAMP signaling pathway	159	11	5	1.96804520190591e-06	0.228974339244433
PI3K-Akt signaling pathway	269	3	19	0.592913304315747	2.99490878830027e-06
Hematopoietic cell lineage	46	0	8	1	3.80904309813478e-06
HTLV-I infection	214	0	16	1	8.96885058707133e-06
Proteoglycans in cancer	171	3	14	0.307703885503622	1.17647835284266e-05
Inflammatory bowel disease (IBD)	28	0	6	1	1.83489588280459e-05
Alanine, aspartate and glutamate metabolism	30	5	0	2.0159700163309e-05	1
GABAergic synapse	82	7	0	3.99329592420947e-05	1
Pertussis	49	1	7	0.429317618322091	5.88299309909066e-05
Small cell lung cancer	85	1	9	0.62253509850877	6.0329136928982e-05
Toxoplasmosis	86	2	9	0.25576378518106	6.61860038220346e-05
Pathways in cancer	425	6	22	0.353421339925046	6.85127435234648e-05
Taste transduction	39	5	0	7.50020488159499e-05	1
Osteoclast differentiation	90	1	9	0.643625154341569	9.46329944420306e-05
Glutamatergic synapse	107	7	2	0.000216134448320679	0.648961217856634
Epstein-Barr virus infection	173	1	12	0.863194081970565	0.000241151294299839
