Term	Ont	N	Up	Down	P.Up	P.Down
developmental process	BP	4330	79	159	6.01765056270906e-07	6.15920505390656e-18
anatomical structure development	BP	4024	76	151	2.81283445563238e-07	1.42541068630401e-17
cell differentiation	BP	2938	58	122	4.87932546742201e-06	1.07662070738458e-16
regulation of multicellular organismal process	BP	2116	46	96	6.11472913613846e-06	5.06567402084767e-15
system development	BP	3331	68	127	9.803367661505e-08	1.6721944571554e-14
multicellular organism development	BP	3724	73	136	1.26656012842264e-07	3.04952465454643e-14
multicellular organismal process	BP	4730	92	159	4.36715406209202e-10	4.35444552729908e-14
neurogenesis	BP	1392	46	54	1.34981276570254e-11	3.17417571121822e-06
anatomical structure morphogenesis	BP	1957	45	81	1.76846019766695e-06	1.85356050767651e-10
cell communication	BP	3887	79	127	3.72012915563188e-09	1.50470975972199e-09
signaling	BP	3849	78	124	5.98662131824294e-09	7.08629911780439e-09
regulation of biological quality	BP	2617	59	86	3.55280689080255e-08	2.37576464249433e-06
cell development	BP	1727	45	68	4.82012065203024e-08	6.41921461062057e-08
plasma membrane	CC	3175	87	114	1.81275345445651e-18	5.95337070361178e-11
cell periphery	CC	3272	88	119	3.3150629890427e-18	6.49802363634649e-12
cell junction	CC	1069	30	47	3.19847870911937e-06	5.10055527617038e-07
