genes	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	FC
ENSMUSG00000052684	Jun	16476	jun proto-oncogene	-2.68076904510845	4.85152559087311	197.297083008855	2.20437376272892e-15	3.12712461980725e-11	-6.41197608714456
ENSMUSG00000032802	Srxn1	76650	sulfiredoxin 1 homolog (S. cerevisiae)	-0.705975681193771	6.58490207089338	156.445925552577	5.13235793132492e-15	3.64038148068877e-11	-1.63124748930343
ENSMUSG00000022454	Nell2	54003	NEL-like 2	0.811928967455882	5.25783582970821	128.917717387504	9.42566111403538e-14	4.45708095212353e-10	1.75555715646546
ENSMUSG00000004891	Nes	18008	nestin	-1.59927781377386	2.92740959787741	112.373691135729	6.91320026274981e-13	2.02297720907122e-09	-3.02991603388872
ENSMUSG00000026247	Ecel1	13599	endothelin converting enzyme-like 1	-2.47286285854775	3.95528212362007	127.44673351148	8.43071945292379e-13	2.02297720907122e-09	-5.5514431351753
ENSMUSG00000037447	Arid5a	214855	AT rich interactive domain 5A (MRF1-like)	-1.07477821129852	3.48336261619576	110.704530557331	8.55622674074955e-13	2.02297720907122e-09	-2.10639822575658
ENSMUSG00000021062	Rab15	104886	RAB15, member RAS oncogene family	-0.78503434054798	4.94507498777708	109.39834526759	1.01270903634097e-12	2.05232719850472e-09	-1.72313333477172
ENSMUSG00000050359	Sprr1a	20753	small proline-rich protein 1A	-3.27838699863967	2.43541055523685	131.041722711521	1.43340944597879e-12	2.54179330008189e-09	-9.70270492508195
ENSMUSG00000041959	S100a10	20194	S100 calcium binding protein A10 (calpactin)	-1.12515184098365	3.61474733624498	104.09585153927	2.03964076303079e-12	3.16823936671545e-09	-2.1812450252529
ENSMUSG00000026628	Atf3	11910	activating transcription factor 3	-1.58271538787911	4.08502126807864	109.980127237874	2.23335638426297e-12	3.16823936671545e-09	-2.99533089740162
ENSMUSG00000096257	Ccer2	100504112	coiled-coil glutamate-rich protein 2	3.34423683592171	-0.825669131477116	101.955554295088	2.72619584415473e-12	3.51580129501627e-09	10.1558341549041
ENSMUSG00000046607	Hrk	12123	harakiri, BCL2 interacting protein (contains only BH3 domain)	-1.75167780091853	2.47960654052226	96.0184083747666	6.24576020426664e-12	7.38352952147721e-09	-3.36749966208398
ENSMUSG00000087006	Gm13889	620695	predicted gene 13889	-0.914632749425832	4.69059464641438	95.338245773297	6.8842878095773e-12	7.51234668205104e-09	-1.88508914491209
ENSMUSG00000038591	Colec10	239447	collectin sub-family member 10	-2.81834551185325	-0.661290089548558	91.9878346401539	1.12031583359486e-11	1.13520002966976e-08	-7.05353031496733
ENSMUSG00000026728	Vim	22352	vimentin	-1.04842720169843	6.69228150191871	94.7538372777176	1.92579748384467e-11	1.82129087372137e-08	-2.06827382594593
ENSMUSG00000007041	Clic1	114584	chloride intracellular channel 1	-0.960411548202378	3.95567075541166	79.3108191484988	7.99744643198877e-11	7.09073594276204e-08	-1.94586489984491
ENSMUSG00000000078	Klf6	23849	Kruppel-like factor 6	-0.650197240703513	5.05340255390998	72.708617111016	2.42937903352976e-10	2.02724535115607e-07	-1.5693827421725
ENSMUSG00000032231	Anxa2	12306	annexin A2	-1.07288614376255	3.15142995840233	68.9797800363114	4.69000150797842e-10	3.69624229956566e-07	-2.10363753461259
ENSMUSG00000047963	Stbd1	52331	starch binding domain 1	-1.23028629590243	2.05322745541363	66.7892900624732	6.9786972994246e-10	4.80116714232004e-07	-2.34613543158008
ENSMUSG00000030272	Camk1	52163	calcium/calmodulin-dependent protein kinase I	-0.710423572790805	4.23227052296095	66.7591616801122	7.01736357993555e-10	4.80116714232004e-07	-1.63628445691012
ENSMUSG00000074457	S100a16	67860	S100 calcium binding protein A16	-0.883048801737932	4.1445470583519	66.6897360895415	7.10732482649942e-10	4.80116714232004e-07	-1.84426862045201
ENSMUSG00000031492	Chrnb3	108043	cholinergic receptor, nicotinic, beta polypeptide 3	0.668876128125428	6.28038829303672	66.5007920635104	8.112856030804e-10	5.23131707513571e-07	1.58983399060074
ENSMUSG00000029552	Tes	21753	testis derived transcript	-0.870431077835302	3.02859452887047	64.0478649382182	1.16160964125356e-09	7.02220956354656e-07	-1.82820908843572
ENSMUSG00000031565	Fgfr1	14182	fibroblast growth factor receptor 1	-0.488924236693299	4.88200600471528	63.9285962688843	1.18802361148398e-09	7.02220956354656e-07	-1.4033980244848
ENSMUSG00000039116	Adgrg6	215798	adhesion G protein-coupled receptor G6	-2.24579188079463	1.2128881785799	59.7824722875303	2.68437264966751e-09	1.52322041632733e-06	-4.74297373998728
ENSMUSG00000032135	Mcam	84004	melanoma cell adhesion molecule	-0.843411020482405	2.58103705846415	58.4932015955592	3.40975261001221e-09	1.86041348175512e-06	-1.79428743485551
ENSMUSG00000030500	Slc17a6	140919	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6	-0.573803860008803	6.1842470134322	57.6270691798737	4.05625975318127e-09	2.13118892068998e-06	-1.48844288182237
ENSMUSG00000048349	Pou4f1	18996	POU domain, class 4, transcription factor 1	0.77605295193843	4.17917407905119	56.9399528469059	4.66063031937574e-09	2.36127506109515e-06	1.71243942043719
ENSMUSG00000047261	Gap43	14432	growth associated protein 43	-0.715327392661549	4.95765038632307	56.3075183595712	5.30103905571293e-09	2.59312207049461e-06	-1.64185576381157
ENSMUSG00000031491	Chrna6	11440	cholinergic receptor, nicotinic, alpha polypeptide 6	0.646165955197756	6.25066827978203	56.2581122338603	6.25486229541475e-09	2.95771588409179e-06	1.56500357763639
ENSMUSG00000063632	Sox11	20666	SRY (sex determining region Y)-box 11	-1.27295653686232	1.53363957552201	54.6489838477562	7.46191918570756e-09	3.41467050220798e-06	-2.41656288346077
ENSMUSG00000000555	Itga5	16402	integrin alpha 5 (fibronectin receptor alpha)	-1.09175808187002	1.83429455484299	54.1102573534285	8.34972160206818e-09	3.70153595771685e-06	-2.13133604936176
ENSMUSG00000025789	St8sia2	20450	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2	0.506608242209069	4.57640869149615	52.5708099139037	1.15563291803707e-08	4.92356378727503e-06	1.42070620398278
ENSMUSG00000031841	Cdh13	12554	cadherin 13	-0.809644644433375	3.36574959075999	52.4727044686161	1.18004489473672e-08	4.92356378727503e-06	-1.75277965579849
ENSMUSG00000049723	Mmp12	17381	matrix metallopeptidase 12	-1.1497210328636	3.96413425424881	54.1107387458999	1.30984011825939e-08	5.30896911932219e-06	-2.21870988118766
ENSMUSG00000025283	Sat1	20229	spermidine/spermine N1-acetyl transferase 1	-0.483364633342959	5.12476013270755	51.8386056758038	1.35152331933731e-08	5.32575272447751e-06	-1.3980002641835
ENSMUSG00000018340	Anxa6	11749	annexin A6	-0.525292914101482	5.11855659460943	50.8273652179797	1.68146694562518e-08	6.4468351596321e-06	-1.43922576007321
ENSMUSG00000030847	Bag3	29810	BCL2-associated athanogene 3	-0.842139824835333	2.71447456016834	49.1861647232612	2.410170484015e-08	8.99754697006232e-06	-1.79270713844379
ENSMUSG00000027712	Anxa5	11747	annexin A5	-0.536238601205496	5.28557985900277	48.8455002300774	2.59946626920836e-08	9.45539192179226e-06	-1.45018665325832
ENSMUSG00000051648	Kctd19	279499	potassium channel tetramerisation domain containing 19	1.98197316595743	0.163146694376384	48.6893320417026	2.69142113083658e-08	9.54512504051194e-06	3.95032996919401
ENSMUSG00000030123	Plxnd1	67784	plexin D1	-0.761043374792374	3.49236333706997	48.4432584591166	2.84333365040453e-08	9.83793443039966e-06	-1.69471582095243
ENSMUSG00000008393	Carhsp1	52502	calcium regulated heat stable protein 1	-0.617967457777103	4.06889699493599	46.5462277056458	4.36570591558829e-08	1.46037036692732e-05	-1.53471147781419
ENSMUSG00000023905	Tnfrsf12a	27279	tumor necrosis factor receptor superfamily, member 12a	-0.949764515432606	3.37128347318976	46.697484969914	4.42661256012087e-08	1.46037036692732e-05	-1.93155735277242
ENSMUSG00000030341	Tnfrsf1a	21937	tumor necrosis factor receptor superfamily, member 1a	-0.959950385193585	3.0166882849479	46.354449826434	4.56164060590277e-08	1.47071440080311e-05	-1.94524299606113
