genes	Symbol	Entrezid	Genename	logFC	unshrunk.logFC	logCPM	PValue	FDR	FC
ENSMUSG00000020396	Nefh	380684	neurofilament, heavy polypeptide	-1.72765508274012	-1.7278101664394	6.17039877846345	1.21019419241411e-20	1.71678148135865e-16	-3.31189074905123
ENSMUSG00000046607	Hrk	12123	harakiri, BCL2 interacting protein (contains only BH3 domain)	3.53801479173207	3.54241702324156	2.47960654052226	6.7193524106163e-19	2.86330420371302e-15	11.6157853334949
ENSMUSG00000050359	Sprr1a	20753	small proline-rich protein 1A	10.2268249750601	10.6910977818111	2.43541055523685	7.95292783588441e-19	2.86330420371302e-15	1198.34281944458
ENSMUSG00000026247	Ecel1	13599	endothelin converting enzyme-like 1	5.54469717211114	5.55348124734484	3.95528212362007	8.07360553704503e-19	2.86330420371302e-15	46.6788518956743
ENSMUSG00000063632	Sox11	20666	SRY (sex determining region Y)-box 11	3.30340323853039	3.31245670411886	1.53363957552201	1.27188375307008e-17	3.60858858421042e-14	9.8724163492922
ENSMUSG00000023905	Tnfrsf12a	27279	tumor necrosis factor receptor superfamily, member 12a	2.6396650851805	2.64185641727722	3.37128347318976	5.44588670453872e-17	1.28758914650977e-13	6.23186977030289
ENSMUSG00000046480	Scn4b	399548	sodium channel, type IV, beta	-3.27899461202708	-3.2855385507288	2.49607984691837	9.50927868200554e-17	1.7541292445702e-13	-9.70679223037026
ENSMUSG00000049511	Htr1b	15551	5-hydroxytryptamine (serotonin) receptor 1B	-2.20013074717885	-2.20161628306328	3.44041565855866	9.8921711240389e-17	1.7541292445702e-13	-4.59520985137749
ENSMUSG00000014846	Tppp3	67971	tubulin polymerization-promoting protein family member 3	-1.75184815162929	-1.75216965974154	5.2477461561654	8.59676323744607e-16	1.35504092540455e-12	-3.36789731357242
ENSMUSG00000049723	Mmp12	17381	matrix metallopeptidase 12	2.51058346236944	2.51149591367014	3.96413425424881	4.68028501872077e-15	6.63945232755728e-12	5.69850493597532
ENSMUSG00000024256	Adcyap1	11516	adenylate cyclase activating polypeptide 1	2.43807505686204	2.44030652658021	2.71835204890032	1.00371004194987e-14	1.29442096864554e-11	5.41918183799394
ENSMUSG00000038591	Colec10	239447	collectin sub-family member 10	6.09526359491307	6.55400886195678	-0.661290089548558	1.9990246834819e-14	2.36318034665618e-11	68.3686766197035
ENSMUSG00000046275	Tusc5	237858	tumor suppressor candidate 5	-1.70968712127467	-1.7101372026113	4.69968378451933	2.86980585902198e-14	3.13162045508353e-11	-3.27089879419234
ENSMUSG00000005716	Pvalb	19293	parvalbumin	-2.05721521656472	-2.05911716062845	3.10539858627754	4.33163620625457e-14	4.38918508728053e-11	-4.16182186686346
ENSMUSG00000024749	Tmc1	13409	transmembrane channel-like gene family 1	4.19426263346759	4.24518030385085	-0.331191842282802	6.29149574940846e-14	5.95007724674056e-11	18.3062278004283
ENSMUSG00000026628	Atf3	11910	activating transcription factor 3	2.22681733861677	2.22772101992778	4.08502126807864	1.21371893843072e-13	1.07611355378614e-10	4.68100186100815
ENSMUSG00000053398	Phgdh	236539	3-phosphoglycerate dehydrogenase	3.1506991330243	3.15295475037859	3.61818811891617	1.61788055013271e-13	1.35007373436368e-10	8.88085841642636
ENSMUSG00000000555	Itga5	16402	integrin alpha 5 (fibronectin receptor alpha)	2.09751358015303	2.1009745563924	1.83429455484299	2.81633549285346e-13	2.2195852945344e-10	4.27971160052847
ENSMUSG00000030337	Vamp1	22317	vesicle-associated membrane protein 1	-1.12433440134557	-1.1244284577876	6.11915766308522	3.27587774588165e-13	2.44587377384616e-10	-2.18000946884673
ENSMUSG00000037447	Arid5a	214855	AT rich interactive domain 5A (MRF1-like)	1.59648516215981	1.59726391381348	3.48336261619576	3.45712348559243e-13	2.45213768833071e-10	3.02405664198454
ENSMUSG00000031491	Chrna6	11440	cholinergic receptor, nicotinic, alpha polypeptide 6	-1.40828477103201	-1.40840151885685	6.25066827978203	5.92470798220467e-13	4.00228130645502e-10	-2.65421414014307
ENSMUSG00000022044	Stmn4	56471	stathmin-like 4	1.52031588121462	1.52057929011933	4.93451292920974	1.028706061533e-12	6.63328372223049e-10	2.86853850001652
ENSMUSG00000027313	Chac1	69065	ChaC, cation transport regulator 1	3.99377158474167	4.00062196789628	2.77581593237631	1.11743312008699e-12	6.89213314850175e-10	15.9310735563585
ENSMUSG00000029552	Tes	21753	testis derived transcript	1.58829975403981	1.58928721427157	3.02859452887047	1.86049483708771e-12	1.09970748995526e-09	3.00694765577339
