Pathway	N	Up	Down	P.Up	P.Down
Jak-STAT signaling pathway	95	8	1	3.17434226816063e-08	0.328157523301974
TNF signaling pathway	84	5	0	7.58887140699631e-05	1
Signaling pathways regulating pluripotency of s...	109	5	0	0.000259563084145228	1
MicroRNAs in cancer	125	5	0	0.000488459799979806	1
PI3K-Akt signaling pathway	268	7	2	0.000489128335040572	0.307280275157415
Mineral absorption	31	3	0	0.000553371752173318	1
HIF-1 signaling pathway	89	4	0	0.00119704402734625	1
Hepatitis C	93	4	0	0.00140916357423313	1
Proteoglycans in cancer	171	5	0	0.00198745145799686	1
Cytokine-cytokine receptor interaction	118	4	1	0.00335835847686736	0.390080762742025
Adipocytokine signaling pathway	59	3	0	0.00360476581625745	1
Neuroactive ligand-receptor interaction	154	1	4	0.555495809716538	0.0038413863666159
Non-small cell lung cancer	65	3	0	0.00473651990228409	1
HTLV-I infection	214	5	0	0.00519490389501485	1
ECM-receptor interaction	68	3	0	0.00537414610638122	1
Pathways in cancer	421	7	2	0.00632079234599181	0.526965427662881
Kaposi's sarcoma-associated herpesvirus infecti...	151	4	0	0.00800806618667828	1
Colorectal cancer	82	3	0	0.00901589040282072	1
Small cell lung cancer	85	3	0	0.00994421178717948	1
Apoptosis - multiple species	29	2	0	0.00997310922559199	1
