genes	Symbol	Entrezid	Genename	logFC	unshrunk.logFC	logCPM	PValue	FDR	FC
ENSMUSG00000087006	Gm13889	620695	predicted gene 13889	-1.92148464033804	-1.92181529893015	4.69059464641438	2.95453235815649e-12	4.19129960328079e-08	-3.78812684563608
ENSMUSG00000047963	Stbd1	52331	starch binding domain 1	-2.05115453585441	-2.05404944931122	2.05322745541363	2.89076703476189e-08	0.000162799173660067	-4.14437495971349
ENSMUSG00000025432	Avil	11567	advillin	-2.6926479086308	-2.69933107488311	0.976979381654132	3.44281348498662e-08	0.000162799173660067	-6.46498896997109
ENSMUSG00000063632	Sox11	20666	SRY (sex determining region Y)-box 11	-2.23220438426795	-2.23929467393233	1.53363957552201	4.54416320702408e-07	0.00161158748137109	-4.69851346849461
ENSMUSG00000096257	Ccer2	100504112	coiled-coil glutamate-rich protein 2	3.31778046092728	3.37374844933798	-0.825669131477116	2.07304550275733e-06	0.00588164470042309	9.97129207841894
ENSMUSG00000039518	Cdsn	386463	corneodesmosin	-2.85402409786346	-2.87388352994739	0.174163030302324	2.69902125691643e-06	0.00638138592510276	-7.23014258071868
ENSMUSG00000026628	Atf3	11910	activating transcription factor 3	-1.6693560610328	-1.66981116270863	4.08502126807864	4.1218475257899e-06	0.00835321842869365	-3.1807259186802
ENSMUSG00000051648	Kctd19	279499	potassium channel tetramerisation domain containing 19	2.21121483951495	2.2268131869219	0.163146694376384	3.22529973708086e-05	0.0571926275877863	4.630650391793
ENSMUSG00000059854	Hydin	244653	HYDIN, axonemal central pair apparatus protein	2.4404333470294	2.45770440129936	0.196864347364013	5.18839966339583e-05	0.0817807084721481	5.42804750533258
ENSMUSG00000031688	Pou4f2	18997	POU domain, class 4, transcription factor 2	1.29871688934415	1.30006486734117	2.95869540909239	0.000108545121964658	0.153982110019064	2.46009987864305
ENSMUSG00000032802	Srxn1	76650	sulfiredoxin 1 homolog (S. cerevisiae)	-0.881698513322769	-0.881736939122986	6.58490207089338	0.000120614678058116	0.155549074812039	-1.8425432873416
ENSMUSG00000022346	Myc	17869	myelocytomatosis oncogene	-2.22401093118874	-2.23714327754154	-0.0833313640704492	0.000150452170869491	0.17785954132955	-4.67190497698103
ENSMUSG00000048349	Pou4f1	18996	POU domain, class 4, transcription factor 1	1.08659819482691	1.0870316093364	4.17917407905119	0.000166631451504921	0.181833367003755	2.12372681120149
ENSMUSG00000026247	Ecel1	13599	endothelin converting enzyme-like 1	-2.74334461281907	-2.73959530455111	3.95528212362007	0.000229933436969278	0.232988266917584	-6.69620925656865
ENSMUSG00000022454	Nell2	54003	NEL-like 2	0.909444264171202	0.909584865609232	5.25783582970821	0.000410550490690432	0.379228422065907	1.87832181686191
ENSMUSG00000050022	Amz1	231842	archaelysin family metallopeptidase 1	-1.89110486556037	-1.9062153687266	-0.0488092411066123	0.000427721327580326	0.379228422065907	-3.70919178695909
ENSMUSG00000040690	Col16a1	107581	collagen, type XVI, alpha 1	-1.65994125925606	-1.66358842972331	1.14912817755625	0.000469066424335192	0.391422135036414	-3.1600365808446
ENSMUSG00000021260	Hhipl1	214305	hedgehog interacting protein-like 1	-1.29400659788268	-1.2965377141589	1.20780733997197	0.000581884938410027	0.458589985349147	-2.45208093419166
ENSMUSG00000031492	Chrnb3	108043	cholinergic receptor, nicotinic, beta polypeptide 3	0.930720002918655	0.930794904593779	6.28038829303672	0.000748161806477935	0.558601230878736	1.90622709566741
ENSMUSG00000036437	Npy1r	18166	neuropeptide Y receptor Y1	1.3766736161877	1.38096266452788	0.906573023971675	0.00113076529346522	0.802051822654877	2.59668968465347
ENSMUSG00000034394	Lif	16878	leukemia inhibitory factor	-2.19663597162299	-2.2083686948817	-0.123415406808966	0.00120115015327368	0.811405527349543	-4.58409191486408
ENSMUSG00000030272	Camk1	52163	calcium/calmodulin-dependent protein kinase I	-0.925144345080813	-0.925372231575954	4.23227052296095	0.00160220764310024	0.999999999999838	-1.898874219293
ENSMUSG00000056501	Cebpb	12608	CCAAT/enhancer binding protein (C/EBP), beta	-2.00732077996369	-2.01792123951034	0.0164873716569752	0.00162290549925761	0.999999999999838	-4.02034909780777
ENSMUSG00000041548	Hspb8	80888	heat shock protein 8	-1.12425359891972	-1.12496208810943	2.97793866473743	0.00186158051721491	0.999999999999838	-2.17988737435297
ENSMUSG00000028036	Ptgfr	19220	prostaglandin F receptor	-2.47204582066676	-2.49061815815107	-0.41038825882194	0.00223883541746623	0.999999999999838	-5.54830009032344
ENSMUSG00000001473	Tubb6	67951	tubulin, beta 6 class V	-1.34208110685881	-1.3446120718327	1.55940257188448	0.00226267881985955	0.999999999999838	-2.53516756462389
ENSMUSG00000004891	Nes	18008	nestin	-1.15078191845257	-1.15122544522647	2.92740959787741	0.00238880829125952	0.999999999999838	-2.22034200919584
ENSMUSG00000015957	Wnt11	22411	wingless-type MMTV integration site family, member 11	-1.76153782369512	-1.77514850956032	-0.354475180480028	0.00278186652432863	0.999999999999838	-3.39059348687476
ENSMUSG00000002083	Bbc3	170770	BCL2 binding component 3	-1.21936196798232	-1.2228361037318	1.15909643822354	0.00302597708953796	0.999999999999838	-2.32843719363134
ENSMUSG00000046607	Hrk	12123	harakiri, BCL2 interacting protein (contains only BH3 domain)	-1.33275224349177	-1.33259006679726	2.47960654052226	0.00383282653607244	0.999999999999838	-2.51882736018241
ENSMUSG00000071637	Cebpd	12609	CCAAT/enhancer binding protein (C/EBP), delta	-1.61125417719463	-1.61189645259033	3.23918224962392	0.00436393323619516	0.999999999999838	-3.05517321566394
