genes	Symbol	Entrezid	Genename	logFC	unshrunk.logFC	logCPM	PValue	FDR	FC
ENSMUSG00000026628	Atf3	11910	activating transcription factor 3	-1.55170324267795	-1.55202263706808	4.08502126807864	9.84612401083779e-06	0.139677115217745	-2.93163042623282
ENSMUSG00000096257	Ccer2	100504112	coiled-coil glutamate-rich protein 2	2.66481925845262	2.70625365600746	-0.825669131477116	1.99651201746156e-05	0.141612597398548	6.34147857954581
ENSMUSG00000026247	Ecel1	13599	endothelin converting enzyme-like 1	-2.57792251115617	-2.57902249852429	3.95528212362007	3.51083492528608e-05	0.15029241161352	-5.97079282628492
ENSMUSG00000037447	Arid5a	214855	AT rich interactive domain 5A (MRF1-like)	-1.14880565147177	-1.14925758887749	3.48336261619576	4.23776713981446e-05	0.15029241161352	-2.21730256952441
ENSMUSG00000022454	Nell2	54003	NEL-like 2	0.958049772390185	0.958196376677271	5.25783582970821	5.34134254219466e-05	0.151544570607147	1.94268201166381
ENSMUSG00000051648	Kctd19	279499	potassium channel tetramerisation domain containing 19	1.91665476581353	1.93075941523962	0.163146694376384	0.000116183172679281	0.274695747938047	3.77546610661684
ENSMUSG00000048349	Pou4f1	18996	POU domain, class 4, transcription factor 1	1.04451168180895	1.04491792346705	4.17917407905119	0.000231385797071118	0.468919845321554	2.06266807601527
ENSMUSG00000031688	Pou4f2	18997	POU domain, class 4, transcription factor 2	1.19025797436816	1.19151714225464	2.95869540909239	0.000306819317421505	0.544067354617684	2.28193543773045
ENSMUSG00000034683	Ppp1r1c	75276	protein phosphatase 1, regulatory (inhibitor) subunit 1C	1.97196548405958	2.00414245082681	0.271964453245608	0.000346043028649897	0.545440711603049	3.92302215799044
ENSMUSG00000034394	Lif	16878	leukemia inhibitory factor	-2.16455439508221	-2.17580458831064	-0.123415406808966	0.000768481329347615	0.999999999999959	-4.48327934867661
ENSMUSG00000046607	Hrk	12123	harakiri, BCL2 interacting protein (contains only BH3 domain)	-1.44835957678039	-1.44811216169785	2.47960654052226	0.000948601853729188	0.999999999999959	-2.72897575391457
ENSMUSG00000063632	Sox11	20666	SRY (sex determining region Y)-box 11	-1.42047030537327	-1.42334803882159	1.53363957552201	0.000958034820776715	0.999999999999959	-2.67672755603348
ENSMUSG00000031805	Jak3	16453	Janus kinase 3	-1.64904995478539	-1.6510880404555	1.83459505474944	0.0010562567688156	0.999999999999959	-3.13627041098059
ENSMUSG00000087006	Gm13889	620695	predicted gene 13889	-0.948412733524615	-0.948526004842861	4.69059464641438	0.00131310930812229	0.999999999999959	-1.92974836241853
