genes	Symbol	Entrezid	Genename	logFC	unshrunk.logFC	logCPM	PValue	FDR	FC
ENSMUSG00000025432	Avil	11567	advillin	-3.32800433910509	-3.33882082203279	0.976979381654132	1.17565871915624e-11	1.66778945899504e-07	-10.0422061335411
ENSMUSG00000087006	Gm13889	620695	predicted gene 13889	-1.09776416190922	-1.09787677002523	4.69059464641438	5.60080215249124e-05	0.397264896676204	-2.14022750417878
ENSMUSG00000047963	Stbd1	52331	starch binding domain 1	-1.32883706361354	-1.33016356992338	2.05322745541363	0.000138900482844751	0.656814083211881	-2.51200104363908
ENSMUSG00000074971	Fibin	67606	fin bud initiation factor homolog (zebrafish)	-2.68912524819862	-2.72242640488466	-0.606073129381507	0.000814059260824856	1	-6.44922251970407
ENSMUSG00000001473	Tubb6	67951	tubulin, beta 6 class V	-1.36603172159431	-1.36858114090033	1.55940257188448	0.00114842680259313	1	-2.57760593605975
ENSMUSG00000039518	Cdsn	386463	corneodesmosin	-1.60528091242881	-1.61756762706852	0.174163030302324	0.00267285222768019	1	-3.04254987482486
ENSMUSG00000040514	Tex47	70920	testis expressed 47	-2.64417306174391	-2.66803929163373	-0.204277764614419	0.00306109481423366	1	-6.25137289396518
ENSMUSG00000039954	Stk32a	269019	serine/threonine kinase 32A	-0.893042424061714	-0.893456079236014	3.69514423335027	0.00311545800870834	1	-1.85708831357004
ENSMUSG00000035021	Baz1a	217578	bromodomain adjacent to zinc finger domain 1A	-1.6712783379592	-1.68573547046391	-0.431474520304251	0.00513935732075699	1	-3.18496680885226
ENSMUSG00000097591	A330032B11Rik	319931	RIKEN cDNA A330032B11 gene	-1.27255721294821	-1.2783077385094	0.426079717505715	0.00540451078848761	1	-2.41589409498907
ENSMUSG00000040690	Col16a1	107581	collagen, type XVI, alpha 1	-1.21748099946877	-1.21991562353392	1.14912817755625	0.00863435944462459	1	-2.32540338326112
ENSMUSG00000047988	4933428G20Rik	100141474	RIKEN cDNA 4933428G20 gene	-1.37643443853546	-1.38850632490869	-0.274228833567987	0.00972208490182845	1	-2.5962592273181
ENSMUSG00000031805	Jak3	16453	Janus kinase 3	-1.2850180653467	-1.28632604713578	1.83459505474944	0.0116666086681756	1	-2.43685104127193
ENSMUSG00000027978	Prss12	19142	protease, serine 12 neurotrypsin (motopsin)	-1.67052800884608	-1.68115068723073	-0.644979280582139	0.01246193178861	1	-3.18331077489206
ENSMUSG00000002083	Bbc3	170770	BCL2 binding component 3	-1.01530463416973	-1.01835568380338	1.15909643822354	0.013668217204563	1	-2.02132966443926
ENSMUSG00000095730	Vmn2r29	76229	vomeronasal 2, receptor 29	-1.17655694225261	-1.18280179025631	0.142214464350957	0.0139359847341203	1	-2.26036685942695
ENSMUSG00000034394	Lif	16878	leukemia inhibitory factor	-1.52497680946117	-1.53052060571783	-0.123415406808966	0.0142789195465301	1	-2.87782090024266
ENSMUSG00000040680	Kremen2	73016	kringle containing transmembrane protein 2	-1.06756766179896	-1.07196998004923	0.601403414319338	0.0153193056732849	1	-2.09589677113428
ENSMUSG00000025225	Nfkb2	18034	nuclear factor of kappa light polypeptide gene enhancer in B cells 2, p49/p100	-1.02396820748155	-1.02608621837844	1.28928989461721	0.0153498228770058	1	-2.03350453396521
ENSMUSG00000027196	Alkbh3os1	70852	alkB homolog 3, opposite strand 1	-1.44028903723606	-1.45122351463727	-0.318620227452449	0.0161892702975441	1	-2.71375228807542
ENSMUSG00000041498	Kif14	381293	kinesin family member 14	-1.0274543397902	-1.02961803984128	1.31286580775846	0.0178426435929953	1	-2.0384242415796
ENSMUSG00000086894	Gm15708	100504231	predicted gene 15708	-1.26890840078057	-1.27734767954054	-0.131150676451874	0.0188024371891347	1	-2.40979162326744
ENSMUSG00000041782	Lad1	16763	ladinin	-1.817917959734	-1.81929977840805	2.07139591312224	0.0191457389751238	1	-3.52572013240068
ENSMUSG00000062480	Acat3	224530	acetyl-Coenzyme A acetyltransferase 3	-1.46167378482209	-1.47495865575387	-0.433729674634952	0.0212195037550314	1	-2.75427723859242
ENSMUSG00000079492	Gm11127	100529082	predicted gene 11127	-1.20550409280424	-1.21255424793202	-0.0251697510104507	0.0213265005628674	1	-2.30617835578234
ENSMUSG00000021464	Ror2	26564	receptor tyrosine kinase-like orphan receptor 2	-1.2096520933595	-1.21413846752942	0.703360435796991	0.0220418592116209	1	-2.31281856318683
ENSMUSG00000079419	Ms4a6c	73656	membrane-spanning 4-domains, subfamily A, member 6C	-1.43868344961175	-1.44980298816814	-0.469392181058845	0.0233316615380984	1	-2.7107338099489
ENSMUSG00000046523	Kctd4	67516	potassium channel tetramerisation domain containing 4	-1.03192712164117	-1.0354554163816	0.928352162595475	0.023873193810893	1	-2.04475376699726
