genes	Symbol	Entrezid	Genename	logFC	unshrunk.logFC	logCPM	PValue	FDR	FC
ENSMUSG00000037447	Arid5a	214855	AT rich interactive domain 5A (MRF1-like)	1.31333036938506	1.31394059940139	3.48336261619576	1.25477177235816e-06	0.0148724039404761	2.48514558335334
ENSMUSG00000051648	Kctd19	279499	potassium channel tetramerisation domain containing 19	-2.52175955895288	-2.54748413138249	0.163146694376384	2.97076330779627e-06	0.0148724039404761	-5.74282085827154
ENSMUSG00000025432	Avil	11567	advillin	-2.01393915718047	-2.02070990295257	0.976979381654132	3.14515803055324e-06	0.0148724039404761	-4.03883485689624
ENSMUSG00000039954	Stk32a	269019	serine/threonine kinase 32A	-1.15016548478681	-1.15067601857396	3.69514423335027	1.13776533174106e-05	0.0403508474901968	-2.21939350576327
ENSMUSG00000029552	Tes	21753	testis derived transcript	1.22424047743852	1.22492279942942	3.02859452887047	1.98344314984787e-05	0.0562742490474838	2.33632418990932
ENSMUSG00000021062	Rab15	104886	RAB15, member RAS oncogene family	0.987455975275338	0.987628536156748	4.94507498777708	4.93335166883193e-05	0.11664087795675	1.982685671132
ENSMUSG00000000555	Itga5	16402	integrin alpha 5 (fibronectin receptor alpha)	1.40411185009681	1.40611115526103	1.83429455484299	6.19956329023993e-05	0.125638578336205	2.64654805497328
ENSMUSG00000024256	Adcyap1	11516	adenylate cyclase activating polypeptide 1	1.35975020812932	1.36071590219584	2.71835204890032	0.000246913528760484	0.402673465219006	2.56640740238233
ENSMUSG00000096257	Ccer2	100504112	coiled-coil glutamate-rich protein 2	-2.11363831446788	-2.13558548039049	-0.825669131477116	0.000267323413240363	0.402673465219006	-4.32781345359891
ENSMUSG00000034683	Ppp1r1c	75276	protein phosphatase 1, regulatory (inhibitor) subunit 1C	-2.02500619011546	-2.05305053303321	0.271964453245608	0.000293261482431582	0.402673465219006	-4.06993623109027
ENSMUSG00000049723	Mmp12	17381	matrix metallopeptidase 12	1.32065664473755	1.32089457800818	3.96413425424881	0.000312237989384539	0.402673465219006	2.49779771536516
ENSMUSG00000046607	Hrk	12123	harakiri, BCL2 interacting protein (contains only BH3 domain)	1.45691693959312	1.45484053888866	2.47960654052226	0.000634076821411081	0.749584482378133	2.74521080769977
ENSMUSG00000018774	Cd68	12514	CD68 antigen	1.58613347827983	1.59139966002813	1.22113212453172	0.000727523384069297	0.793895902031311	3.00243596783473
ENSMUSG00000039114	Nrn1	68404	neuritin 1	0.921749088576395	0.921899447464858	5.3419389618188	0.000814584870161141	0.825407212007568	1.8944106394025
ENSMUSG00000046999	1110032F04Rik	68725	RIKEN cDNA 1110032F04 gene	-1.95727588524397	-1.97721086081488	0.299185147175695	0.00089162611046769	0.835595588886153	-3.88328040421497
ENSMUSG00000026247	Ecel1	13599	endothelin converting enzyme-like 1	1.92276901053791	1.92369320625664	3.95528212362007	0.000942445327941523	0.835595588886153	3.79150075588692
ENSMUSG00000026628	Atf3	11910	activating transcription factor 3	1.19927015460633	1.19963902287553	4.08502126807864	0.00101639083024155	0.848148253988623	2.2962347732674
ENSMUSG00000023905	Tnfrsf12a	27279	tumor necrosis factor receptor superfamily, member 12a	1.15521835431936	1.15632961427731	3.37128347318976	0.00131339657140539	0.999999999999993	2.22718029843095
ENSMUSG00000020427	Igfbp3	16009	insulin-like growth factor binding protein 3	1.47723258188057	1.48059022613628	1.35457278808164	0.00221873601548795	0.999999999999993	2.78414158862426
ENSMUSG00000049511	Htr1b	15551	5-hydroxytryptamine (serotonin) receptor 1B	-1.00691840407351	-1.00776852031894	3.44041565855866	0.0023283213894918	0.999999999999993	-2.00961397791331
ENSMUSG00000074971	Fibin	67606	fin bud initiation factor homolog (zebrafish)	-2.49979663072	-2.53545274385421	-0.606073129381507	0.00247108586907207	0.999999999999993	-5.65605688812225
ENSMUSG00000040514	Tex47	70920	testis expressed 47	-2.57398895588445	-2.59564560862964	-0.204277764614419	0.00312465462754925	0.999999999999993	-5.95453543734656
ENSMUSG00000020932	Gfap	14580	glial fibrillary acidic protein	1.61817545887172	1.61846729262563	5.32833942459072	0.00351206327649921	0.999999999999993	3.06986552272858
ENSMUSG00000022044	Stmn4	56471	stathmin-like 4	0.888897798962725	0.889036303978679	4.93451292920974	0.00463234513397406	0.999999999999993	1.85176086100056
ENSMUSG00000049796	Crh	12918	corticotropin releasing hormone	1.68187596399234	1.69499920020589	-0.134909912801817	0.00481357124004002	0.999999999999993	3.20844880649491
ENSMUSG00000074695	Il22	50929	interleukin 22	1.40563088716086	1.41473764148441	-0.15520772968786	0.00565163725917961	0.999999999999993	2.64933611598804
ENSMUSG00000063632	Sox11	20666	SRY (sex determining region Y)-box 11	1.18753271352036	1.18766580820026	1.53363957552201	0.00574243572707522	0.999999999999993	2.27762891481125
ENSMUSG00000028780	Sema3c	20348	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	1.07412833599032	1.07503606723087	2.35896356033142	0.00607580921943912	0.999999999999993	2.10544959289399
ENSMUSG00000050777	Tmem37	170706	transmembrane protein 37	2.06393812903082	2.08817940244505	-0.75439531540172	0.00649524372202385	0.999999999999993	4.18126108071805
ENSMUSG00000021186	Fbln5	23876	fibulin 5	1.4724290804095	1.47610127462282	1.40196189932578	0.00670523581831047	0.999999999999993	2.77488711102809
ENSMUSG00000004231	Pax2	18504	paired box 2	1.70389933796089	1.71502528689345	-0.00723587546147497	0.00691600387967298	0.999999999999993	3.25780293568368
ENSMUSG00000027196	Alkbh3os1	70852	alkB homolog 3, opposite strand 1	-1.61684654555896	-1.62897594417049	-0.318620227452449	0.0076056359264902	0.999999999999993	-3.06703907174382
ENSMUSG00000080115	Mettl21b	100504608	methyltransferase like 21B	-1.34460111933345	-1.35546835557971	-0.383387349944097	0.00894206221796515	0.999999999999993	-2.53959971183052
ENSMUSG00000015852	Fcrls	80891	Fc receptor-like S, scavenger receptor	1.40876013333058	1.41735803148864	0.673100623160819	0.00941363249848518	0.999999999999993	2.65508883728031
ENSMUSG00000044499	Hs3st5	319415	heparan sulfate (glucosamine) 3-O-sulfotransferase 5	0.809792546055853	0.810117642791747	3.66276002395231	0.010159881199483	0.999999999999993	1.75295935576024
ENSMUSG00000026639	Lamb3	16780	laminin, beta 3	1.6247478772153	1.64343144514774	-0.922163448717342	0.010339574441437	0.999999999999993	3.08388266994529
ENSMUSG00000072972	Adam4	11498	a disintegrin and metallopeptidase domain 4	-1.40191206375588	-1.40917411940625	0.272804769547375	0.0110904384900097	0.999999999999993	-2.64251573778093
ENSMUSG00000035041	Creb3l3	208677	cAMP responsive element binding protein 3-like 3	1.48375419013251	1.49506476365657	-0.346970117221456	0.0111270822852844	0.999999999999993	2.79675560690052
ENSMUSG00000037621	Atoh8	71093	atonal bHLH transcription factor 8	1.22241138511745	1.23011897035855	-0.0893775661487194	0.0116154557413095	0.999999999999993	2.33336400448137
ENSMUSG00000095730	Vmn2r29	76229	vomeronasal 2, receptor 29	-1.16983110940238	-1.17556443947964	0.142214464350957	0.01302295601939	0.999999999999993	-2.24985357250868
ENSMUSG00000085440	Sorbs2os	319940	sorbin and SH3 domain containing 2, opposite strand	-1.68313018594327	-1.70191226114572	-0.698417050340566	0.0130288544659855	0.999999999999993	-3.21123931766606
ENSMUSG00000032515	Csrnp1	215418	cysteine-serine-rich nuclear protein 1	0.970544623389259	0.971546938004805	2.22824341232528	0.0139724644822997	0.999999999999993	1.95958020525466
ENSMUSG00000036856	Wnt4	22417	wingless-type MMTV integration site family, member 4	-1.2514282114855	-1.25854785751197	0.046008330006859	0.0142167431267325	0.999999999999993	-2.38076993260886
ENSMUSG00000027296	Itpka	228550	inositol 1,4,5-trisphosphate 3-kinase A	-1.3479635914817	-1.36536311811684	-0.393153190989005	0.0143794923321066	0.999999999999993	-2.54552562968096
ENSMUSG00000027022	Xirp2	241431	xin actin-binding repeat containing 2	1.78523705427164	1.80633347913464	-0.657699353303246	0.0144663417052668	0.999999999999993	3.446750940032
ENSMUSG00000023067	Cdkn1a	12575	cyclin-dependent kinase inhibitor 1A (P21)	1.15370410705746	1.1554289203664	2.92762280098733	0.0147965438497725	0.999999999999993	2.22484388476785
ENSMUSG00000000766	Oprm1	18390	opioid receptor, mu 1	-1.13605160612542	-1.14205134896768	0.185306652127522	0.0149080217360824	0.999999999999993	-2.19778704999779
ENSMUSG00000054409	Tmem74	239408	transmembrane protein 74	0.914393666746162	0.915975388419909	1.58367910209043	0.0149086212547354	0.999999999999993	1.88477677479281
ENSMUSG00000028480	Glipr2	384009	GLI pathogenesis-related 2	1.19406289445181	1.19716811734917	0.825431106046001	0.0149160503354646	0.999999999999993	2.2879616881794
ENSMUSG00000071753	C230004F18Rik	331424	RIKEN cDNA C230004F18 gene	-1.09789948133573	-1.09962028434174	1.83516535452911	0.0166708273070789	0.999999999999993	-2.14042825896967
ENSMUSG00000060586	H2-Eb1	14969	histocompatibility 2, class II antigen E beta	2.17204441956506	2.19448124989941	-0.437991340812375	0.0168900954080027	0.999999999999993	4.50661566737806
ENSMUSG00000072974	Gm4787	214321	predicted gene 4787	-1.28603824798988	-1.29099010905706	0.589622683189946	0.0180842526112231	0.999999999999993	-2.43857483753913
ENSMUSG00000092335	Zfp976	208111	zinc finger protein 976	-1.12421189293368	-1.13200997310152	-0.298145683693738	0.0187740718188988	0.999999999999993	-2.17982435823679
ENSMUSG00000032231	Anxa2	12306	annexin A2	0.867211058012807	0.867747586706933	3.15142995840233	0.0189773830557995	0.999999999999993	1.82413317174481
ENSMUSG00000031103	Elf4	56501	E74-like factor 4 (ets domain transcription factor)	1.49112435284788	1.51174905671338	-0.870256537986714	0.0190284726514798	0.999999999999993	2.81107969049574
ENSMUSG00000040747	Cd53	12508	CD53 antigen	1.20655912900294	1.21295868104172	0.164330244660589	0.0194783512918933	0.999999999999993	2.30786547014255
