genes	Symbol	Entrezid	Genename	logFC	unshrunk.logFC	logCPM	PValue	FDR	FC
ENSMUSG00000002324	Rec8	56739	REC8 meiotic recombination protein	6.21319926388374	6.2939927298628	1.94270498650845	2.37074059030226e-17	3.36313260140278e-13	74.1923876074003
ENSMUSG00000087006	Gm13889	620695	predicted gene 13889	-1.75165559472764	-1.75192504998191	4.69059464641438	5.54117972966222e-15	3.93035878224942e-11	-3.367447829394
ENSMUSG00000026247	Ecel1	13599	endothelin converting enzyme-like 1	-3.34718492093025	-3.34831587837525	3.95528212362007	2.0749699060564e-13	9.81184102910534e-10	-10.1766083817754
ENSMUSG00000052684	Jun	16476	jun proto-oncogene	-2.74263501200512	-2.74337424519881	4.85152559087311	6.60342063757638e-13	1.9389143336187e-09	-6.69291648364625
ENSMUSG00000047963	Stbd1	52331	starch binding domain 1	-2.25415540018961	-2.25733513514978	2.05322745541363	7.2447657573861e-13	1.9389143336187e-09	-4.77054932233826
ENSMUSG00000025432	Avil	11567	advillin	-2.67592513682098	-2.68247642827368	0.976979381654132	8.20068095425927e-13	1.9389143336187e-09	-6.39048371311142
ENSMUSG00000038591	Colec10	239447	collectin sub-family member 10	-3.7874265864173	-3.83032846819923	-0.661290089548558	1.81263304205775e-11	3.36803152262845e-08	-13.8079437409631
ENSMUSG00000038539	Atf5	107503	activating transcription factor 5	-1.27541662576765	-1.27564579134337	4.67848643583021	1.89935515163031e-11	3.36803152262845e-08	-2.42068713074502
ENSMUSG00000095463	Entpd4	67464	ectonucleoside triphosphate diphosphohydrolase 4	-1.06017055124014	-1.06027653250658	5.86738550585478	4.14256879924073e-11	6.52960899844766e-08	-2.08517801083321
ENSMUSG00000021062	Rab15	104886	RAB15, member RAS oncogene family	-1.18790833836273	-1.188100348181	4.94507498777708	4.02194253728806e-10	5.70552768339685e-07	-2.27822200299853
ENSMUSG00000042655	Fam159b	77803	family with sequence similarity 159, member B	5.00550626021476	5.06020387380023	1.0779883961197	5.20869640664118e-10	6.71732429314653e-07	32.1223661255045
