Sample_ID	Treatment	Genotype	Sample_ID_Full	ID_simple	Group	mouse_ID	Pen	Strain	Gen	Sex
41891L	CONC	Ddit3_Jun	41891L_GT17-03654_CCGTCC_S60_L008_counts	Ddit3_Jun.CONC.41891L	Ddit3_Jun.CONC	41891	10949	Ddit3(0);Six3-cre/Jun(fl).B6	F02	F
41891R	DNT	Ddit3_Jun	41891R_GT17-03633_GTGGCC_S16_L006_counts	Ddit3_Jun.DNT.41891R	Ddit3_Jun.DNT	41891	10949	Ddit3(0);Six3-cre/Jun(fl).B6	F02	F
42011L	CONC	Ddit3_Jun	42011L_GT17-03617_TTAGGC_S7_L005_counts	Ddit3_Jun.CONC.42011L	Ddit3_Jun.CONC	42011	10949	Ddit3(0);Six3-cre/Jun(fl).B6	F03	F
42011R	DNT	Ddit3_Jun	42011R_GT17-03652_AGTTCC_S58_L008_counts	Ddit3_Jun.DNT.42011R	Ddit3_Jun.DNT	42011	10949	Ddit3(0);Six3-cre/Jun(fl).B6	F03	F
42013L	CONC	Ddit3	42013L_GT17-03656_GTGAAA_S54_L008_counts	Ddit3.CONC.42013L	Ddit3.CONC	42013	10949	Ddit3(0);Six3-cre/Jun(fl).B6	F03	F
42013R	DNT	Ddit3	42013R_GT17-03634_GTTTCG_S15_L006_counts	Ddit3.DNT.42013R	Ddit3.DNT	42013	10949	Ddit3(0);Six3-cre/Jun(fl).B6	F03	F
42014L	CONC	Ddit3_Jun	42014L_GT17-03621_CAGATC_S1_L005_counts	Ddit3_Jun.CONC.42014L	Ddit3_Jun.CONC	42014	10949	Ddit3(0);Six3-cre/Jun(fl).B6	F03	F
42014R	DNT	Ddit3_Jun	42014R_GT17-03651_AGTCAA_S59_L008_counts	Ddit3_Jun.DNT.42014R	Ddit3_Jun.DNT	42014	10949	Ddit3(0);Six3-cre/Jun(fl).B6	F03	F
42142L	CONC	Ddit3	42142L_GT17-03639_ATCACG_S12_L006_counts	Ddit3.CONC.42142L	Ddit3.CONC	42142	10990	Ddit3(0).B6	F06	M
42142R	DNT	Ddit3	42142R_GT17-03616_CGATGT_S10_L005_counts	Ddit3.DNT.42142R	Ddit3.DNT	42142	10990	Ddit3(0).B6	F06	M
42229L	CONC	Ddit3	42229L_GT17-03635_CGTACG_S17_L006_counts	Ddit3.CONC.42229L	Ddit3.CONC	42229	10990	Ddit3(0).B6	F05	M
42229R	DNT	Ddit3	42229R_GT17-03640_CGATGT_S52_L007_counts	Ddit3.DNT.42229R	Ddit3.DNT	42229	10990	Ddit3(0).B6	F05	M
42238L	CONC	Ddit3_Jun	42238L_GT17-03624_TAGCTT_S11_L006_counts	Ddit3_Jun.CONC.42238L	Ddit3_Jun.CONC	42238	10997	Ddit3(0);Six3-cre/Jun(fl).B6	F03	F
42238R	DNT	Ddit3_Jun	42238R_GT17-03618_TGACCA_S2_L005_counts	Ddit3_Jun.DNT.42238R	Ddit3_Jun.DNT	42238	10997	Ddit3(0);Six3-cre/Jun(fl).B6	F03	F
42242L	CONC	Control	42242L_GT17-03641_TTAGGC_S47_L007_counts	Control.CONC.42242L	Control.CONC	42242	11008	Six3-cre/Jun(fl).B6	F13	M
42242R	DNT	Control	42242R_GT17-03630_CCGTCC_S20_L006_counts	Control.DNT.42242R	Control.DNT	42242	11008	Six3-cre/Jun(fl).B6	F13	M
42244L	CONC	Jun	42244L_GT17-03615_ATCACG_S5_L005_counts	Jun.CONC.42244L	Jun.CONC	42244	11008	Six3-cre/Jun(fl).B6	F13	M
42244R	DNT	Jun	42244R_GT17-03626_CTTGTA_S19_L006_counts	Jun.DNT.42244R	Jun.DNT	42244	11008	Six3-cre/Jun(fl).B6	F13	M
42288L	CONC	Jun	42288L_GT17-03644_GCCAAT_S48_L007_counts	Jun.CONC.42288L	Jun.CONC	42288	11114	Six3-cre/Jun(fl).B6	F13	F
42288R	DNT	Jun	42288R_GT17-03646_ACTTGA_S50_L007_counts	Jun.DNT.42288R	Jun.DNT	42288	11114	Six3-cre/Jun(fl).B6	F13	F
42302L	CONC	Control	42302L_GT17-03643_ACAGTG_S49_L007_counts	Control.CONC.42302L	Control.CONC	42302	11007	Six3-cre/Jun(fl).B6	F13	F
42302R	DNT	Control	42302R_GT17-03637_ACTGAT_S13_L006_counts	Control.DNT.42302R	Control.DNT	42302	11007	Six3-cre/Jun(fl).B6	F13	F
42366L	CONC	Control	42366L_GT17-03629_ATGTCA_S3_L005_counts	Control.CONC.42366L	Control.CONC	42366	11025	Six3-cre/Jun(fl).B6	F14	M
42366R	DNT	Control	42366R_GT17-03645_CAGATC_S51_L007_counts	Control.DNT.42366R	Control.DNT	42366	11025	Six3-cre/Jun(fl).B6	F14	M
42376L	CONC	Jun	42376L_GT17-03650_CTTGTA_S55_L008_counts	Jun.CONC.42376L	Jun.CONC	42376	11008	Six3-cre/Jun(fl).B6	F13	M
42376R	DNT	Jun	42376R_GT17-03657_GTGGCC_S57_L008_counts	Jun.DNT.42376R	Jun.DNT	42376	11008	Six3-cre/Jun(fl).B6	F13	M
42379L	CONC	Jun	42379L_GT17-03628_AGTTCC_S4_L005_counts	Jun.CONC.42379L	Jun.CONC	42379	11007	Six3-cre/Jun(fl).B6	F13	F
42379R	DNT	Jun	42379R_GT17-03642_TGACCA_S45_L007_counts	Jun.DNT.42379R	Jun.DNT	42379	11007	Six3-cre/Jun(fl).B6	F13	F
42601L	CONC	Control	42601L_GT17-03648_TAGCTT_S44_L007_counts	Control.CONC.42601L	Control.CONC	42601	11076	Six3-cre/Jun(fl).B6	F13	F
42601R	DNT	Control	42601R_GT17-03619_ACAGTG_S9_L005_counts	Control.DNT.42601R	Control.DNT	42601	11076	Six3-cre/Jun(fl).B6	F13	F
42603L	CONC	Control	42603L_GT17-03632_GTGAAA_S14_L006_counts	Control.CONC.42603L	Control.CONC	42603	11076	Six3-cre/Jun(fl).B6	F13	F
42603R	DNT	Control	42603R_GT17-03655_GTCCGC_S53_L008_counts	Control.DNT.42603R	Control.DNT	42603	11076	Six3-cre/Jun(fl).B6	F13	F
42604L	CONC	Jun	42604L_GT17-03649_GGCTAC_S56_L008_counts	Jun.CONC.42604L	Jun.CONC	42604	11076	Six3-cre/Jun(fl).B6	F13	F
42604R	DNT	Jun	42604R_GT17-03647_GATCAG_S46_L007_counts	Jun.DNT.42604R	Jun.DNT	42604	11076	Six3-cre/Jun(fl).B6	F13	F
42645L	CONC	Ddit3	42645L_GT17-03622_ACTTGA_S6_L005_counts	Ddit3.CONC.42645L	Ddit3.CONC	42645	11087	Ddit3(0);Six3-cre/Jun(fl).B6	F03	M
42645R	DNT	Ddit3	42645R_GT17-03620_GCCAAT_S8_L005_counts	Ddit3.DNT.42645R	Ddit3.DNT	42645	11087	Ddit3(0);Six3-cre/Jun(fl).B6	F03	M
42647L	CONC	Ddit3	42647L_GT17-03631_GTCCGC_S18_L006_counts	Ddit3.CONC.42647L	Ddit3.CONC	42647	11087	Ddit3(0);Six3-cre/Jun(fl).B6	F03	M
42647R	DNT	Ddit3	42647R_GT17-03653_ATGTCA_S61_L008_counts	Ddit3.DNT.42647R	Ddit3.DNT	42647	11087	Ddit3(0);Six3-cre/Jun(fl).B6	F03	M
