Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	mmu04024:cAMP signaling pathway	41	3.248811410459588	8.715696544823369E-8	ENSMUSG00000052684, ENSMUSG00000056494, ENSMUSG00000049511, ENSMUSG00000040907, ENSMUSG00000024927, ENSMUSG00000025892, ENSMUSG00000038387, ENSMUSG00000036437, ENSMUSG00000019370, ENSMUSG00000024462, ENSMUSG00000024617, ENSMUSG00000021536, ENSMUSG00000026576, ENSMUSG00000042429, ENSMUSG00000031376, ENSMUSG00000024998, ENSMUSG00000059003, ENSMUSG00000036438, ENSMUSG00000022840, ENSMUSG00000036570, ENSMUSG00000039809, ENSMUSG00000057614, ENSMUSG00000032773, ENSMUSG00000004056, ENSMUSG00000028466, ENSMUSG00000049044, ENSMUSG00000057897, ENSMUSG00000001175, ENSMUSG00000027523, ENSMUSG00000019699, ENSMUSG00000046709, ENSMUSG00000028525, ENSMUSG00000005034, ENSMUSG00000053007, ENSMUSG00000070687, ENSMUSG00000039579, ENSMUSG00000030302, ENSMUSG00000021466, ENSMUSG00000026959, ENSMUSG00000032177, ENSMUSG00000030671	519	160	4926	2.432153179190751	2.2747710233583796E-5	2.2747710233583796E-5	1.1399192473282582E-4
KEGG_PATHWAY	mmu04261:Adrenergic signaling in cardiomyocytes	34	2.694136291600634	2.0861373851017204E-7	ENSMUSG00000040907, ENSMUSG00000019194, ENSMUSG00000010066, ENSMUSG00000020723, ENSMUSG00000019370, ENSMUSG00000024617, ENSMUSG00000021536, ENSMUSG00000003352, ENSMUSG00000026576, ENSMUSG00000031376, ENSMUSG00000017412, ENSMUSG00000036438, ENSMUSG00000022840, ENSMUSG00000026414, ENSMUSG00000020882, ENSMUSG00000057614, ENSMUSG00000063889, ENSMUSG00000024777, ENSMUSG00000004056, ENSMUSG00000028466, ENSMUSG00000049044, ENSMUSG00000057897, ENSMUSG00000046480, ENSMUSG00000051177, ENSMUSG00000001175, ENSMUSG00000027523, ENSMUSG00000019146, ENSMUSG00000040373, ENSMUSG00000019699, ENSMUSG00000005034, ENSMUSG00000053007, ENSMUSG00000029120, ENSMUSG00000030302, ENSMUSG00000031799	519	123	4926	2.6236195309929977	5.4446709153554984E-5	2.7223725142411226E-5	2.7284410394345926E-4
KEGG_PATHWAY	mmu04015:Rap1 signaling pathway	42	3.328050713153724	4.0625967342877937E-7	ENSMUSG00000022148, ENSMUSG00000022523, ENSMUSG00000038387, ENSMUSG00000042826, ENSMUSG00000019370, ENSMUSG00000021536, ENSMUSG00000028465, ENSMUSG00000030786, ENSMUSG00000024998, ENSMUSG00000014599, ENSMUSG00000059003, ENSMUSG00000036438, ENSMUSG00000022840, ENSMUSG00000031748, ENSMUSG00000025551, ENSMUSG00000031565, ENSMUSG00000052889, ENSMUSG00000057614, ENSMUSG00000004056, ENSMUSG00000025856, ENSMUSG00000024962, ENSMUSG00000006445, ENSMUSG00000031137, ENSMUSG00000027805, ENSMUSG00000049044, ENSMUSG00000051177, ENSMUSG00000032946, ENSMUSG00000001175, ENSMUSG00000027523, ENSMUSG00000041351, ENSMUSG00000037225, ENSMUSG00000019699, ENSMUSG00000000290, ENSMUSG00000027646, ENSMUSG00000021974, ENSMUSG00000052698, ENSMUSG00000019966, ENSMUSG00000024621, ENSMUSG00000026959, ENSMUSG00000027954, ENSMUSG00000036585, ENSMUSG00000030403	519	175	4926	2.2779190751445086	1.0602817492677552E-4	3.534397415738688E-5	5.313428782516283E-4
KEGG_PATHWAY	mmu04010:MAPK signaling pathway	47	3.724247226624406	2.215387849663933E-6	ENSMUSG00000052684, ENSMUSG00000030854, ENSMUSG00000025225, ENSMUSG00000024927, ENSMUSG00000022523, ENSMUSG00000037887, ENSMUSG00000038387, ENSMUSG00000010066, ENSMUSG00000042826, ENSMUSG00000020723, ENSMUSG00000036390, ENSMUSG00000018411, ENSMUSG00000003352, ENSMUSG00000031628, ENSMUSG00000021453, ENSMUSG00000015312, ENSMUSG00000028708, ENSMUSG00000017412, ENSMUSG00000025408, ENSMUSG00000020882, ENSMUSG00000071076, ENSMUSG00000025551, ENSMUSG00000031565, ENSMUSG00000033352, ENSMUSG00000052889, ENSMUSG00000004056, ENSMUSG00000025856, ENSMUSG00000022346, ENSMUSG00000031137, ENSMUSG00000026072, ENSMUSG00000032946, ENSMUSG00000031328, ENSMUSG00000019146, ENSMUSG00000030203, ENSMUSG00000024190, ENSMUSG00000021754, ENSMUSG00000030341, ENSMUSG00000040373, ENSMUSG00000037225, ENSMUSG00000019699, ENSMUSG00000046709, ENSMUSG00000005034, ENSMUSG00000022619, ENSMUSG00000021974, ENSMUSG00000036585, ENSMUSG00000068699, ENSMUSG00000004951	519	219	4926	2.036951988808826	5.780497340777124E-4	1.445437698517349E-4	0.002897451487160474
KEGG_PATHWAY	mmu04080:Neuroactive ligand-receptor interaction	37	2.931854199683043	2.6439993228927307E-6	ENSMUSG00000034997, ENSMUSG00000049511, ENSMUSG00000032303, ENSMUSG00000028036, ENSMUSG00000026271, ENSMUSG00000010803, ENSMUSG00000027577, ENSMUSG00000025892, ENSMUSG00000019828, ENSMUSG00000001260, ENSMUSG00000036437, ENSMUSG00000024462, ENSMUSG00000042429, ENSMUSG00000020436, ENSMUSG00000058756, ENSMUSG00000059003, ENSMUSG00000039809, ENSMUSG00000032773, ENSMUSG00000027584, ENSMUSG00000001985, ENSMUSG00000038760, ENSMUSG00000040552, ENSMUSG00000063239, ENSMUSG00000031492, ENSMUSG00000031491, ENSMUSG00000045318, ENSMUSG00000070687, ENSMUSG00000039579, ENSMUSG00000007653, ENSMUSG00000027950, ENSMUSG00000039106, ENSMUSG00000026959, ENSMUSG00000005268, ENSMUSG00000048337, ENSMUSG00000005950, ENSMUSG00000028778, ENSMUSG00000028020	519	155	4926	2.2656721983964196	6.898466818671123E-4	1.3800742321457005E-4	0.003458012979939973
KEGG_PATHWAY	mmu04728:Dopaminergic synapse	29	2.2979397781299524	1.9338186979086718E-5	ENSMUSG00000025892, ENSMUSG00000024524, ENSMUSG00000074657, ENSMUSG00000019370, ENSMUSG00000024617, ENSMUSG00000064329, ENSMUSG00000059003, ENSMUSG00000022840, ENSMUSG00000036438, ENSMUSG00000031748, ENSMUSG00000057614, ENSMUSG00000052889, ENSMUSG00000024777, ENSMUSG00000023439, ENSMUSG00000004056, ENSMUSG00000026824, ENSMUSG00000028466, ENSMUSG00000057897, ENSMUSG00000051177, ENSMUSG00000001175, ENSMUSG00000027523, ENSMUSG00000046709, ENSMUSG00000019699, ENSMUSG00000030102, ENSMUSG00000005034, ENSMUSG00000029120, ENSMUSG00000053007, ENSMUSG00000021303, ENSMUSG00000032034	519	117	4926	2.352551751395682	0.005034599310635546	8.408655417098121E-4	0.025289325595567735
KEGG_PATHWAY	mmu05133:Pertussis	17	1.347068145800317	2.1809710200459417E-5	ENSMUSG00000052684, ENSMUSG00000001175, ENSMUSG00000036887, ENSMUSG00000024927, ENSMUSG00000046709, ENSMUSG00000036905, ENSMUSG00000000290, ENSMUSG00000019370, ENSMUSG00000000555, ENSMUSG00000036896, ENSMUSG00000031628, ENSMUSG00000030786, ENSMUSG00000036438, ENSMUSG00000041515, ENSMUSG00000057614, ENSMUSG00000073418, ENSMUSG00000023224	519	49	4926	3.2929102276748847	0.005676225447158401	8.128689339476081E-4	0.02852101029117149
KEGG_PATHWAY	mmu04915:Estrogen signaling pathway	24	1.9017432646592711	4.284668691249222E-5	ENSMUSG00000052684, ENSMUSG00000001175, ENSMUSG00000027523, ENSMUSG00000019699, ENSMUSG00000019828, ENSMUSG00000030102, ENSMUSG00000005034, ENSMUSG00000027646, ENSMUSG00000019370, ENSMUSG00000024462, ENSMUSG00000053007, ENSMUSG00000021536, ENSMUSG00000022840, ENSMUSG00000036438, ENSMUSG00000031748, ENSMUSG00000039809, ENSMUSG00000017737, ENSMUSG00000057614, ENSMUSG00000020312, ENSMUSG00000004056, ENSMUSG00000026824, ENSMUSG00000028466, ENSMUSG00000032034, ENSMUSG00000051177	519	91	4926	2.5032077748840753	0.011120925062552578	0.0013969264970632445	0.05602438281852029
KEGG_PATHWAY	mmu04921:Oxytocin signaling pathway	31	2.456418383518225	9.266009072710456E-5	ENSMUSG00000052684, ENSMUSG00000010066, ENSMUSG00000020723, ENSMUSG00000019370, ENSMUSG00000030272, ENSMUSG00000024617, ENSMUSG00000021536, ENSMUSG00000003352, ENSMUSG00000026360, ENSMUSG00000035064, ENSMUSG00000017412, ENSMUSG00000009292, ENSMUSG00000036438, ENSMUSG00000022840, ENSMUSG00000028518, ENSMUSG00000031748, ENSMUSG00000020882, ENSMUSG00000052889, ENSMUSG00000057614, ENSMUSG00000026824, ENSMUSG00000023067, ENSMUSG00000057897, ENSMUSG00000051177, ENSMUSG00000001175, ENSMUSG00000027523, ENSMUSG00000019146, ENSMUSG00000040373, ENSMUSG00000030102, ENSMUSG00000005034, ENSMUSG00000027646, ENSMUSG00000032034	519	140	4926	2.1016515276630883	0.02389528094209603	0.0026836596640259502	0.12112168724167649
KEGG_PATHWAY	mmu04750:Inflammatory mediator regulation of TRP channels	21	1.664025356576862	1.3143529678123186E-4	ENSMUSG00000001175, ENSMUSG00000027523, ENSMUSG00000034997, ENSMUSG00000021108, ENSMUSG00000046709, ENSMUSG00000023017, ENSMUSG00000030102, ENSMUSG00000005034, ENSMUSG00000027646, ENSMUSG00000019370, ENSMUSG00000026778, ENSMUSG00000021536, ENSMUSG00000024617, ENSMUSG00000020704, ENSMUSG00000022840, ENSMUSG00000036438, ENSMUSG00000045038, ENSMUSG00000052889, ENSMUSG00000026072, ENSMUSG00000057897, ENSMUSG00000051177	519	79	4926	2.5230116338625885	0.03372505882869281	0.0034248086258241717	0.17176691380632603
