genes	Symbol	Entrezid	Genename	logFC	unshrunk.logFC	logCPM	PValue	FDR	FC
ENSMUSG00000087006	Gm13889	620695	predicted gene 13889	-0.973071906813421	-0.973289294087285	4.69059464641438	0.00141010955661684	0.999999999984235	-1.96301596592027
ENSMUSG00000025432	Avil	11567	advillin	-1.37858272670618	-1.38122015580289	0.976979381654132	0.0029844327532152	0.999999999984235	-2.60012814456754
ENSMUSG00000059854	Hydin	244653	HYDIN, axonemal central pair apparatus protein	1.57390866029136	1.58171826159741	0.196864347364013	0.00595050705094106	0.999999999984235	2.97710201849555
ENSMUSG00000047963	Stbd1	52331	starch binding domain 1	-1.00218348963369	-1.00418484365876	2.05322745541363	0.0137244756868184	0.999999999984235	-2.00302925114353
ENSMUSG00000029816	Gpnmb	93695	glycoprotein (transmembrane) nmb	1.10866879339262	1.10998266847135	3.12276010733163	0.0189667097013247	0.999999999984235	2.1564657360947
ENSMUSG00000088088	Rmrp	19782	RNA component of mitochondrial RNAase P	-2.51292785629089	-2.51744071355137	1.9131874417356	0.0193638303254813	0.999999999984235	-5.70777259166826
ENSMUSG00000022346	Myc	17869	myelocytomatosis oncogene	-1.347625865059	-1.35933586670569	-0.0833313640704492	0.0235775805245336	0.999999999984235	-2.54492980684663
ENSMUSG00000075593	Gal3st4	330217	galactose-3-O-sulfotransferase 4	1.39173196195127	1.40512812787321	-0.348476586646293	0.0242008185519194	0.999999999984235	2.62393496349614
ENSMUSG00000065037	Rn7sk	19817	RNA, 7SK, nuclear	-1.44251746677515	-1.44254863707035	8.06334815332001	0.0302003422092862	0.999999999984235	-2.7179472693402
ENSMUSG00000015957	Wnt11	22411	wingless-type MMTV integration site family, member 11	-1.25597902266153	-1.2656150812694	-0.354475180480028	0.0324462083909652	0.999999999984235	-2.38829164722141
ENSMUSG00000060981	Hist1h4h	69386	histone cluster 1, H4h	-1.15596575662889	-1.16128173410605	0.186682635081226	0.0337716724197209	0.999999999984235	-2.22833440994251
ENSMUSG00000074971	Fibin	67606	fin bud initiation factor homolog (zebrafish)	-1.81518871969033	-1.83700827362966	-0.606073129381507	0.0348245560204806	0.999999999984235	-3.51905660321172
ENSMUSG00000079608	Stard6	170461	StAR-related lipid transfer (START) domain containing 6	1.1110307842856	1.11490405124706	0.642089928991182	0.0369630257991787	0.999999999984235	2.15999920932522
ENSMUSG00000060678	Hist1h4c	319155	histone cluster 1, H4c	-1.374371799689	-1.38131886015185	0.577326911253257	0.0409110675192291	0.999999999984235	-2.59254997577748
ENSMUSG00000039518	Cdsn	386463	corneodesmosin	-1.14310839888065	-1.15393189027207	0.174163030302324	0.0450801134400721	0.999999999984235	-2.20856363156511
ENSMUSG00000031844	Hsd17b2	15486	hydroxysteroid (17-beta) dehydrogenase 2	1.40884047623888	1.42581576321121	-0.325043619107037	0.0455159392767783	0.999999999984235	2.65523670186208
ENSMUSG00000079033	Mef2b	17259	myocyte enhancer factor 2B	5.18666553792816	5.48340219725186	-1.02379271404274	0.0456615756855459	0.999999999984235	36.420164612321
ENSMUSG00000039208	Metrnl	210029	meteorin, glial cell differentiation regulator-like	-1.27764926113818	-1.28789776231364	-0.068730155813465	0.0457081424586791	0.999999999984235	-2.42443615294038
ENSMUSG00000036826	Igflr1	101883	IGF-like family receptor 1	-3.15923763258723	-3.19690385566846	-0.430995609436659	0.0473864272589415	0.999999999984235	-8.93357506275938
ENSMUSG00000030785	Cox6a2	12862	cytochrome c oxidase subunit VIa polypeptide 2	-3.48477318974979	-3.71798061163349	-1.37699570778356	0.0477374171455539	0.999999999984235	-11.1949267996634
ENSMUSG00000049872	Fam26e	103511	family with sequence similarity 26, member E	0.996165742235706	1.00294937966403	-0.341991156016744	0.053658192833699	0.999999999984235	1.99469164722461
ENSMUSG00000006235	Epor	13857	erythropoietin receptor	-1.07981959458085	-1.08878085548346	-0.319497515204678	0.0541434693592458	0.999999999984235	-2.11377174270753
