genes	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	FC
ENSMUSG00000025432	Avil	11567	advillin	-3.32800433910509	0.976979381654132	113.857870775248	5.7307041233268e-13	8.12957686935139e-09	-10.0422061335411
ENSMUSG00000087006	Gm13889	620695	predicted gene 13889	-1.09776416190922	4.69059464641438	63.2661198901489	1.34672127413431e-09	9.55229399743466e-06	-2.14022750417878
ENSMUSG00000039954	Stk32a	269019	serine/threonine kinase 32A	-0.893042424061714	3.69514423335027	44.7445090983766	6.62179671553955e-08	0.000313122694022147	-1.85708831357004
ENSMUSG00000047963	Stbd1	52331	starch binding domain 1	-1.32883706361354	2.05322745541363	37.2413211227291	4.18053160504842e-07	0.00148262553373042	-2.51200104363908
ENSMUSG00000039114	Nrn1	68404	neuritin 1	0.570873635021076	5.3419389618188	23.1490914010742	2.40852065004012e-05	0.0683345478829384	1.48542280747877
ENSMUSG00000001473	Tubb6	67951	tubulin, beta 6 class V	-1.36603172159431	1.55940257188448	22.0325891595012	3.46371472233794e-05	0.0818937617518099	-2.57760593605975
ENSMUSG00000021895	Arhgef3	71704	Rho guanine nucleotide exchange factor (GEF) 3	0.589810922525918	3.34299375958758	21.1455623903771	4.647540918588e-05	0.0941857363872705	1.50504948492977
ENSMUSG00000022055	Nefl	18039	neurofilament, light polypeptide	0.352270589483238	8.87047775850052	18.3744048999453	0.000120302957261219	0.213327218963457	1.27656817738164
ENSMUSG00000001520	Nrip2	60345	nuclear receptor interacting protein 2	-0.398967162952954	4.81165436085016	17.6842835562875	0.000153710039994301	0.242281180817683	-1.31856360244785
ENSMUSG00000061207	Stk19	54402	serine/threonine kinase 19	-0.5316264111381	4.22803215022335	16.9657787348903	0.00019912003478951	0.282471681352399	-1.44555791586548
ENSMUSG00000026456	Cyb5r1	72017	cytochrome b5 reductase 1	-0.335448767283597	6.03612438067959	16.406722871146	0.000244205080609567	0.306601848648054	-1.26176983616136
ENSMUSG00000032303	Chrna3	110834	cholinergic receptor, nicotinic, alpha polypeptide 3	0.710772048128039	2.76373450003204	16.1868479412287	0.000264792094468576	0.306601848648054	1.63667974048169
ENSMUSG00000002083	Bbc3	170770	BCL2 binding component 3	-1.01530463416973	1.15909643822354	15.9403287510243	0.000290076151694594	0.306601848648054	-2.02132966443926
ENSMUSG00000004891	Nes	18008	nestin	-0.833560169820626	2.92740959787741	15.6661730059393	0.00032122350744	0.306601848648054	-1.78207761222659
ENSMUSG00000074971	Fibin	67606	fin bud initiation factor homolog (zebrafish)	-2.68912524819862	-0.606073129381507	15.6415036871974	0.000324194820930552	0.306601848648054	-6.44922251970407
ENSMUSG00000097591	A330032B11Rik	319931	RIKEN cDNA A330032B11 gene	-1.27255721294821	0.426079717505715	14.9932127815187	0.000413684327748534	0.366782867090044	-2.41589409498907
ENSMUSG00000025225	Nfkb2	18034	nuclear factor of kappa light polypeptide gene enhancer in B cells 2, p49/p100	-1.02396820748155	1.28928989461721	14.6732619574451	0.000467174231098497	0.389843155433134	-2.03350453396521
ENSMUSG00000039518	Cdsn	386463	corneodesmosin	-1.60528091242881	0.174163030302324	14.3393635764736	0.000530881550658171	0.418393648757601	-3.04254987482486
ENSMUSG00000040618	Pck2	74551	phosphoenolpyruvate carboxykinase 2 (mitochondrial)	0.425780955667562	4.11709741772217	14.1236394624655	0.000576888268115528	0.430722998499309	1.34329945713263
ENSMUSG00000026473	Glul	14645	glutamate-ammonia ligase (glutamine synthetase)	0.435550372880773	11.3018502843168	13.7068919271148	0.000678155490627427	0.448485327741833	1.35242667108207
ENSMUSG00000004040	Stat3	20848	signal transducer and activator of transcription 3	-0.655297609655914	6.21742520362482	13.986029871143	0.000690311406586789	0.448485327741833	-1.57494080990808
ENSMUSG00000037224	Zfyve28	231125	zinc finger, FYVE domain containing 28	-0.46972057392482	6.74113567493978	13.5170853138656	0.000760393052834661	0.448485327741833	-1.38484122138336
ENSMUSG00000040690	Col16a1	107581	collagen, type XVI, alpha 1	-1.21748099946877	1.14912817755625	13.3891156580087	0.000767973158321485	0.448485327741833	-2.32540338326112
ENSMUSG00000041498	Kif14	381293	kinesin family member 14	-1.0274543397902	1.31286580775846	13.3667663440921	0.000774747633213682	0.448485327741833	-2.0384242415796
ENSMUSG00000061887	Ssbp3	72475	single-stranded DNA binding protein 3	0.2331529515881	6.70325020064166	13.3160200168659	0.000790366078778079	0.448485327741833	1.17540093542613
ENSMUSG00000040680	Kremen2	73016	kringle containing transmembrane protein 2	-1.06756766179896	0.601403414319338	13.2032276127736	0.000826288702491509	0.450835828213252	-2.09589677113428
ENSMUSG00000025408	Ddit3	13198	DNA-damage inducible transcript 3	-0.653649201501174	4.98946517348715	13.1555916044846	0.000901017721182871	0.465658373374619	-1.57314232679048
ENSMUSG00000044364	Tmem74b	108832	transmembrane protein 74B	-0.679080911880107	1.33474752119845	12.9343046944378	0.000919105770089477	0.465658373374619	-1.60111941572222
ENSMUSG00000029552	Tes	21753	testis derived transcript	0.551294147409298	3.02859452887047	12.7551031651152	0.000987052204475359	0.467000459583166	1.46539962074314
ENSMUSG00000022146	Osmr	18414	oncostatin M receptor	-0.788305381076757	3.44432654729356	12.8316545419995	0.000987594373854151	0.467000459583166	-1.72704464896556
ENSMUSG00000063410	Stk24	223255	serine/threonine kinase 24	0.226147522979622	5.70130499042638	12.393244906632	0.00114103393968002	0.522151853816155	1.16970726651411
ENSMUSG00000074457	S100a16	67860	S100 calcium binding protein A16	-0.530143998367252	4.1445470583519	12.0439749034787	0.0013140138582991	0.581011722966639	-1.44407332426604
ENSMUSG00000005481	Ddx39	68278	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39	-0.387528581487391	4.36265772225564	11.9746040447026	0.00135157104595369	0.581011722966639	-1.30815054718018
ENSMUSG00000030303	Far2	330450	fatty acyl CoA reductase 2	-0.480835679943789	3.02124650101111	11.7577867385815	0.00147648499522194	0.616041651241718	-1.3955518045331
