genes	Symbol	Entrezid	Genename	logFC	unshrunk.logFC	logCPM	PValue	FDR	FC
ENSMUSG00000020396	Nefh	380684	neurofilament, heavy polypeptide	-6.13195875793232	-6.13248573073933	6.17039877846345	2.83060368406466e-33	4.01549438621412e-29	-70.1299482315841
ENSMUSG00000014846	Tppp3	67971	tubulin polymerization-promoting protein family member 3	-6.41103325084291	-6.41211392126048	5.2477461561654	3.81425348975796e-28	2.70545000028532e-24	-85.096816189303
ENSMUSG00000030337	Vamp1	22317	vesicle-associated membrane protein 1	-3.77086128299257	-3.77116263917407	6.11915766308522	6.44477731505485e-28	3.04752036637894e-24	-13.6503050120843
ENSMUSG00000046480	Scn4b	399548	sodium channel, type IV, beta	-11.9366703559923	-11.9582353675749	2.49607984691837	2.84173563599994e-27	1.00782154330738e-23	-3920.08808239016
ENSMUSG00000046607	Hrk	12123	harakiri, BCL2 interacting protein (contains only BH3 domain)	11.3452752582179	11.3687807328987	2.47960654052226	1.47209751177701e-25	4.17663506041374e-22	2601.76556733749
ENSMUSG00000049511	Htr1b	15551	5-hydroxytryptamine (serotonin) receptor 1B	-6.76858602148286	-6.77285495148526	3.44041565855866	1.89977655565353e-25	4.45992198324552e-22	-109.030353633928
ENSMUSG00000046275	Tusc5	237858	tumor suppressor candidate 5	-5.80649815671297	-5.8078904247749	4.69968378451933	2.20072281705334e-25	4.45992198324552e-22	-55.9667534618961
ENSMUSG00000028926	Cdk14	18647	cyclin-dependent kinase 14	-3.2591265196122	-3.25926031277924	7.04529260497072	3.69020709738468e-25	5.57212601668463e-22	-9.57403128009966
ENSMUSG00000026247	Ecel1	13599	endothelin converting enzyme-like 1	18.8229820663241	18.8612950631069	3.95528212362007	3.91081275895877e-25	5.57212601668463e-22	463748.1710196
ENSMUSG00000023905	Tnfrsf12a	27279	tumor necrosis factor receptor superfamily, member 12a	8.23883578771554	8.24484691420234	3.37128347318976	3.92790498849897e-25	5.57212601668463e-22	302.090245033945
ENSMUSG00000063632	Sox11	20666	SRY (sex determining region Y)-box 11	10.259751040039	10.2942307955855	1.53363957552201	1.81403747666502e-24	2.33944869490636e-21	1226.00660834646
