genes	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	FC
ENSMUSG00000087006	Gm13889	620695	predicted gene 13889	-1.92148464033804	4.69059464641438	166.848565726846	1.90176359009564e-15	2.69784182890967e-11	-3.78812684563608
ENSMUSG00000032802	Srxn1	76650	sulfiredoxin 1 homolog (S. cerevisiae)	-0.881698513322769	6.58490207089338	105.905851237846	1.60135279736953e-12	1.13583953917421e-08	-1.8425432873416
ENSMUSG00000022454	Nell2	54003	NEL-like 2	0.909444264171202	5.25783582970821	72.9811534271148	2.31740545880904e-10	9.60813405494352e-07	1.87832181686191
ENSMUSG00000047963	Stbd1	52331	starch binding domain 1	-2.05115453585441	2.05322745541363	72.0816073774358	2.7091876652879e-10	9.60813405494352e-07	-4.14437495971349
ENSMUSG00000025432	Avil	11567	advillin	-2.6926479086308	0.976979381654132	60.5826102480262	2.25760041489205e-09	6.40526389713172e-06	-6.46498896997109
ENSMUSG00000031492	Chrnb3	108043	cholinergic receptor, nicotinic, beta polypeptide 3	0.930720002918655	6.28038829303672	58.4056041700947	3.7776394605824e-09	8.93159889797031e-06	1.90622709566741
ENSMUSG00000048349	Pou4f1	18996	POU domain, class 4, transcription factor 1	1.08659819482691	4.17917407905119	52.8001935445641	1.10060719123252e-08	2.23045908783207e-05	2.12372681120149
ENSMUSG00000063632	Sox11	20666	SRY (sex determining region Y)-box 11	-2.23220438426795	1.53363957552201	50.4182957806103	1.83814675448619e-08	3.25949373239264e-05	-4.69851346849461
ENSMUSG00000021062	Rab15	104886	RAB15, member RAS oncogene family	-0.802998149744539	4.94507498777708	48.8621305005186	2.58987091105754e-08	3.99732374220371e-05	-1.74472317393373
ENSMUSG00000030272	Camk1	52163	calcium/calmodulin-dependent protein kinase I	-0.925144345080813	4.23227052296095	48.4836442067686	2.81779482743811e-08	3.99732374220371e-05	-1.898874219293
ENSMUSG00000026628	Atf3	11910	activating transcription factor 3	-1.6693560610328	4.08502126807864	49.7737803528658	3.13504744942995e-08	4.0430711925103e-05	-3.1807259186802
ENSMUSG00000031491	Chrna6	11440	cholinergic receptor, nicotinic, alpha polypeptide 6	0.857622719823799	6.25066827978203	45.6631312692788	6.04540229169813e-08	7.14667307583581e-05	1.81204994413622
ENSMUSG00000031688	Pou4f2	18997	POU domain, class 4, transcription factor 2	1.29871688934415	2.95869540909239	40.4805963764233	1.84491238018998e-07	0.000201322515579808	2.46009987864305
ENSMUSG00000039518	Cdsn	386463	corneodesmosin	-2.85402409786346	0.174163030302324	37.4752726746878	3.93588411549054e-07	0.000398817514731063	-7.23014258071868
ENSMUSG00000096257	Ccer2	100504112	coiled-coil glutamate-rich protein 2	3.31778046092728	-0.825669131477116	37.0202360735388	4.42648471951701e-07	0.000418627414873788	9.97129207841894
ENSMUSG00000037447	Arid5a	214855	AT rich interactive domain 5A (MRF1-like)	-0.896650127022701	3.48336261619576	31.7882251160312	1.80796075114877e-06	0.00160298320098728	-1.86173808834915
ENSMUSG00000007041	Clic1	114584	chloride intracellular channel 1	-0.925930890303189	3.95567075541166	31.0313286888053	2.23661339822601e-06	0.0018663880980726	-1.8999097518292
ENSMUSG00000051648	Kctd19	279499	potassium channel tetramerisation domain containing 19	2.21121483951495	0.163146694376384	28.8227951424986	4.22178153426338e-06	0.00332723293583669	4.630650391793
ENSMUSG00000021260	Hhipl1	214305	hedgehog interacting protein-like 1	-1.29400659788268	1.20780733997197	28.4836074094906	4.66369141917778e-06	0.00338584975309218	-2.45208093419166
ENSMUSG00000041959	S100a10	20194	S100 calcium binding protein A10 (calpactin)	-0.888759904490181	3.61474733624498	28.4045728561184	4.77350874537174e-06	0.00338584975309218	-1.85158387599878
ENSMUSG00000030342	Cd9	12527	CD9 antigen	-0.579144290638454	5.62061397637692	27.2860001294303	6.65722091904988e-06	0.00432344241969558	-1.49396286781277
ENSMUSG00000041548	Hspb8	80888	heat shock protein 8	-1.12425359891972	2.97793866473743	27.253265616185	6.7229563556947e-06	0.00432344241969558	-2.17988737435297
ENSMUSG00000025582	Nptx1	18164	neuronal pentraxin 1	0.453893053979792	6.71041976146118	27.1143318162994	7.00966979085002e-06	0.00432344241969558	1.36973143892492
ENSMUSG00000047261	Gap43	14432	growth associated protein 43	-0.752001393581284	4.95765038632307	26.8934021629738	7.4924686190855e-06	0.00442867332626445	-1.68412753401072
ENSMUSG00000038539	Atf5	107503	activating transcription factor 5	-0.60360738939331	4.67848643583021	26.3975255277254	8.70843754695891e-06	0.00494151580164636	-1.51951128498612
ENSMUSG00000059854	Hydin	244653	HYDIN, axonemal central pair apparatus protein	2.4404333470294	0.196864347364013	25.885531037186	1.0184739775156e-05	0.00546480111596876	5.42804750533258
ENSMUSG00000061911	Myt1l	17933	myelin transcription factor 1-like	0.549925441712104	5.76039355675517	25.8171465347055	1.04010736029294e-05	0.00546480111596876	1.46401003414663
ENSMUSG00000019558	Slc6a8	102857	solute carrier family 6 (neurotransmitter transporter, creatine), member 8	-0.427205327501457	6.4929341693838	24.6596489364779	1.4900873205088e-05	0.00754942097454922	-1.34462635068697
ENSMUSG00000004891	Nes	18008	nestin	-1.15078191845257	2.92740959787741	24.0278224407321	1.81871319402375e-05	0.00889664323117964	-2.22034200919584
ENSMUSG00000027465	Tbc1d20	67231	TBC1 domain family, member 20	-0.342863839495661	6.13366313424324	23.8630256964871	1.91644868018508e-05	0.00897885004988895	-1.26827169512081
ENSMUSG00000025272	Tro	56191	trophinin	0.431586789940608	5.75516618614292	23.7890559977943	1.9621059604297e-05	0.00897885004988895	1.34871618594505
ENSMUSG00000026235	Epha4	13838	Eph receptor A4	0.569967332846799	5.65396660783986	23.2474960859154	2.33343042781833e-05	0.0103443887653222	1.48448995672694
ENSMUSG00000022346	Myc	17869	myelocytomatosis oncogene	-2.22401093118874	-0.0833313640704492	22.4038783305206	3.06700086429114e-05	0.0131843861396467	-4.67190497698103
ENSMUSG00000018417	Myo1b	17912	myosin IB	0.477966959481568	4.74040817432012	22.2632937399677	3.21125359434809e-05	0.0133984833792418	1.39277958294628
ENSMUSG00000025283	Sat1	20229	spermidine/spermine N1-acetyl transferase 1	-0.475745944184671	5.12476013270755	21.9557697026865	3.55236129770701e-05	0.0143982278197919	-1.39063706164098
ENSMUSG00000036437	Npy1r	18166	neuropeptide Y receptor Y1	1.3766736161877	0.906573023971675	21.8279373707454	3.7052253099236e-05	0.0146006461796045	2.59668968465347
ENSMUSG00000040690	Col16a1	107581	collagen, type XVI, alpha 1	-1.65994125925606	1.14912817755625	21.666624290699	3.90810351423814e-05	0.014796030723284	-3.1600365808446
ENSMUSG00000064329	Scn1a	20265	sodium channel, voltage-gated, type I, alpha	0.598609237535619	6.28775891510449	21.7843527385453	3.96340876557726e-05	0.014796030723284	1.51425611512326
ENSMUSG00000017167	Cntnap1	53321	contactin associated protein-like 1	0.378206591843326	6.29279050970247	21.5081787905832	4.11882456177407e-05	0.0149819603162377	1.29972516789439
ENSMUSG00000038486	Sv2a	64051	synaptic vesicle glycoprotein 2 a	0.367515524511825	8.54409545775085	21.2998632837434	4.41429463484469e-05	0.0156552959224767	1.29012917578456
ENSMUSG00000000078	Klf6	23849	Kruppel-like factor 6	-0.524569276209686	5.05340255390998	20.8600305599033	5.11416343723504e-05	0.0176950054928332	-1.43850404334673
ENSMUSG00000036815	Dpp10	269109	dipeptidylpeptidase 10	0.651692804052231	4.12039115874127	20.6747443946395	5.44324360039966e-05	0.0183852032655404	1.57101047930644
ENSMUSG00000000555	Itga5	16402	integrin alpha 5 (fibronectin receptor alpha)	-1.07430493739008	1.83429455484299	20.587304055329	5.60624260081748e-05	0.0184953854733016	-2.10570733835879
ENSMUSG00000022055	Nefl	18039	neurofilament, light polypeptide	0.394082702889104	8.87047775850052	20.4258649100899	5.92088023978391e-05	0.0186949847200129	1.31410695653209
ENSMUSG00000027796	Smad9	55994	SMAD family member 9	0.533820681052426	3.63947717988141	20.4211655630339	5.93031377696729e-05	0.0186949847200129	1.44775821292419
ENSMUSG00000035681	Kcnc2	268345	potassium voltage gated channel, Shaw-related subfamily, member 2	0.383108979524102	5.61951699386203	20.2222888262559	6.34445780478489e-05	0.0195657561779736	1.3041492454719
ENSMUSG00000050022	Amz1	231842	archaelysin family metallopeptidase 1	-1.89110486556037	-0.0488092411066123	19.8656573857458	7.16550927613502e-05	0.0209995988272004	-3.70919178695909
