genes	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	FC
ENSMUSG00000020396	Nefh	380684	neurofilament, heavy polypeptide	-6.13195875793232	6.17039877846345	1912.26180380028	5.18769815618457e-34	7.35926860436343e-30	-70.1299482315841
ENSMUSG00000030337	Vamp1	22317	vesicle-associated membrane protein 1	-3.77086128299257	6.11915766308522	1091.04089539764	1.62492428202284e-29	1.1525587932388e-25	-13.6503050120843
ENSMUSG00000014846	Tppp3	67971	tubulin polymerization-promoting protein family member 3	-6.41103325084291	5.2477461561654	1021.32554431922	8.39578877348366e-29	3.97008865135464e-25	-85.096816189303
ENSMUSG00000046480	Scn4b	399548	sodium channel, type IV, beta	-11.9366703559923	2.49607984691837	845.116016417095	1.70706817050067e-27	6.05411726668063e-24	-3920.08808239016
ENSMUSG00000028926	Cdk14	18647	cyclin-dependent kinase 14	-3.2591265196122	7.04529260497072	805.66272352713	4.05866027740831e-27	1.15152309390629e-23	-9.57403128009966
ENSMUSG00000046275	Tusc5	237858	tumor suppressor candidate 5	-5.80649815671297	4.69968378451933	717.7567051867	3.73043223218342e-26	8.81998527429234e-23	-55.9667534618961
ENSMUSG00000049511	Htr1b	15551	5-hydroxytryptamine (serotonin) receptor 1B	-6.76858602148286	3.44041565855866	702.823273914905	4.76774709383389e-26	9.66218003901822e-23	-109.030353633928
ENSMUSG00000046607	Hrk	12123	harakiri, BCL2 interacting protein (contains only BH3 domain)	11.3452752582179	2.47960654052226	681.100325614194	8.38114026129792e-26	1.48618569683465e-22	2601.76556733749
ENSMUSG00000062380	Tubb3	22152	tubulin, beta 3 class III	-3.78560664126827	6.13127311916119	661.17473531427	1.42768004265519e-25	2.13944401215786e-22	-13.7905361421638
ENSMUSG00000023905	Tnfrsf12a	27279	tumor necrosis factor receptor superfamily, member 12a	8.23883578771554	3.37128347318976	672.709130314662	1.50813760902147e-25	2.13944401215786e-22	302.090245033945
ENSMUSG00000026247	Ecel1	13599	endothelin converting enzyme-like 1	18.8229820663241	3.95528212362007	886.899775907207	3.25732804276835e-25	4.20076869224652e-22	463748.1710196
ENSMUSG00000087006	Gm13889	620695	predicted gene 13889	5.10347914775573	4.69059464641438	623.601770319828	4.06806192192023e-25	4.80912720203004e-22	34.3795593323147
ENSMUSG00000031491	Chrna6	11440	cholinergic receptor, nicotinic, alpha polypeptide 6	-4.41733982429727	6.25066827978203	632.153572879789	7.97514194239259e-25	8.70272027652164e-22	-21.3674053150221
ENSMUSG00000063632	Sox11	20666	SRY (sex determining region Y)-box 11	10.259751040039	1.53363957552201	595.281871503846	9.32378626389079e-25	9.44765942425391e-22	1226.00660834646
ENSMUSG00000005716	Pvalb	19293	parvalbumin	-6.80949595355604	3.10539858627754	584.080873941995	1.30777655485306e-24	1.23680788047637e-21	-112.166336989695
ENSMUSG00000037428	Vgf	381677	VGF nerve growth factor inducible	4.92579828075097	5.86032549841425	628.573571398169	1.68179684074672e-24	1.49112312392706e-21	30.3957619851153
ENSMUSG00000032802	Srxn1	76650	sulfiredoxin 1 homolog (S. cerevisiae)	2.81199178230777	6.58490207089338	570.025903730211	2.01702469682074e-24	1.68314778524112e-21	7.02253437991343
ENSMUSG00000037242	Clic4	29876	chloride intracellular channel 4 (mitochondrial)	3.11052464899519	5.50970185908517	513.172471309062	1.29772091741702e-23	1.02274827413766e-20	8.63696623125366
ENSMUSG00000022594	Lynx1	23936	Ly6/neurotoxin 1	-2.55535645299078	7.57933467527661	499.177667836374	2.11356747724487e-23	1.57805622274714e-20	-5.87812668825044
ENSMUSG00000054459	Vsnl1	26950	visinin-like 1	-3.34068578216691	6.47298649172871	494.810749849037	2.46746132760256e-23	1.7501703196685e-20	-10.1308672946382
ENSMUSG00000029304	Spp1	20750	secreted phosphoprotein 1	5.26455419201341	4.70847347458863	493.468911948184	6.63834890248577e-23	4.48436273955539e-20	38.4404732376393
ENSMUSG00000033595	Lgi3	213469	leucine-rich repeat LGI family, member 3	-4.53821511330622	3.84456696338985	456.057013988024	1.03352922108779e-22	6.52455563945851e-20	-23.2347966487692
ENSMUSG00000050359	Sprr1a	20753	small proline-rich protein 1A	34.5189682352647	2.43541055523685	711.331984568856	1.05783716133897e-22	6.52455563945851e-20	24617551672.8223
ENSMUSG00000032387	Rbpms2	71973	RNA binding protein with multiple splicing 2	-5.07859470018803	4.11158828376662	453.611958522504	1.13552273536046e-22	6.71188563492648e-20	-33.7916455088506
ENSMUSG00000048899	Rimkla	194237	ribosomal modification protein rimK-like family member A	-2.8519235999123	5.71091313154091	445.640535571306	1.54839155798337e-22	8.78619305662081e-20	-7.21962348354607
ENSMUSG00000029674	Limk1	16885	LIM-domain containing, protein kinase	-2.67646556064173	4.87694950726609	421.622722390366	4.06973320058785e-22	2.22050904552074e-19	-6.39287799357224
ENSMUSG00000029088	Kcnip4	80334	Kv channel interacting protein 4	-2.82951481250441	5.34269583098074	411.367747964943	6.24457930596107e-22	3.28094822349495e-19	-7.10835046394259
ENSMUSG00000049723	Mmp12	17381	matrix metallopeptidase 12	7.50542728251923	3.96413425424881	467.943023681465	7.00063268268068e-22	3.54682054416101e-19	181.701596127725
ENSMUSG00000036578	Fxyd7	57780	FXYD domain-containing ion transport regulator 7	-7.5557704315445	2.13817771101372	406.415817012979	7.70579997846945e-22	3.76946477567475e-19	-188.154036715723
ENSMUSG00000035547	Capn5	12337	calpain 5	-3.25574865302195	4.19165304090945	385.26679796221	1.94379979649868e-21	8.93588651207487e-19	-9.55164126039817
ENSMUSG00000022044	Stmn4	56471	stathmin-like 4	4.09616934263068	4.93451292920974	389.152851307961	1.95271734015453e-21	8.93588651207487e-19	17.1029032695193
ENSMUSG00000033615	Cplx1	12889	complexin 1	-3.15898072786381	6.75908398439262	384.795230974754	2.18450578641023e-21	9.68418721437984e-19	-8.9319843778036
ENSMUSG00000026628	Atf3	11910	activating transcription factor 3	6.74350931497121	4.08502126807864	421.483416763799	3.50745811047664e-21	1.50778184106732e-18	107.151580134747
ENSMUSG00000074968	Ano3	228432	anoctamin 3	-4.49908372556034	3.7705742764536	369.877566025194	3.92569784332923e-21	1.63793969427848e-18	-22.6130505929
ENSMUSG00000038539	Atf5	107503	activating transcription factor 5	3.08866615048464	4.67848643583021	367.640243033208	4.35769274759487e-21	1.76623512335374e-18	8.50709255586061
ENSMUSG00000048142	Nat8l	269642	N-acetyltransferase 8-like	-2.20521324381811	5.9102289718743	353.786563305777	8.42782685064408e-21	3.32103199175658e-18	-4.61142694884947
ENSMUSG00000053398	Phgdh	236539	3-phosphoglycerate dehydrogenase	10.0857457293213	3.61818811891617	437.33528991434	1.05769893919569e-20	4.05527490579191e-18	1086.70582044027
ENSMUSG00000032946	Rasgrp2	19395	RAS, guanyl releasing protein 2	-5.07338965517828	2.98456326137919	344.812764976216	1.30841935553454e-20	4.86836103170149e-18	-33.6699495689716
ENSMUSG00000024256	Adcyap1	11516	adenylate cyclase activating polypeptide 1	6.52770700708941	2.71835204890032	344.356130062587	1.33840462594359e-20	4.86836103170149e-18	92.2647080884856
ENSMUSG00000023064	Sncg	20618	synuclein, gamma	-5.15801387231025	5.68270350929476	407.784232492959	1.53952877753729e-20	5.38961101912745e-18	-35.7040016264589
ENSMUSG00000060240	Cend1	57754	cell cycle exit and neuronal differentiation 1	-2.52524285891292	6.35517791063507	341.312456053862	1.55769104599059e-20	5.38961101912745e-18	-5.75670330447892
ENSMUSG00000016346	Kcnq2	16536	potassium voltage-gated channel, subfamily Q, member 2	-1.98057089160961	6.85769040182532	333.877142846363	2.26834791767423e-20	7.66161513336349e-18	-3.94649218298568
ENSMUSG00000021604	Irx4	50916	Iroquois homeobox 4	-7.08970974562815	1.85680750354243	316.60085931316	5.59741390080419e-20	1.84662589760019e-17	-136.211976245899
ENSMUSG00000037447	Arid5a	214855	AT rich interactive domain 5A (MRF1-like)	3.8469107164049	3.48336261619576	311.625665490055	7.32010900800179e-20	2.3600696906253e-17	14.3891624694273
ENSMUSG00000020635	Fkbp1b	14226	FK506 binding protein 1b	-6.44298178076142	1.61018347391115	304.955800366666	1.05530928976814e-19	3.32680390770017e-17	-87.0023087565322
ENSMUSG00000036585	Fgf1	14164	fibroblast growth factor 1	-2.74070293324727	5.64852566645615	302.907745742366	1.18245063877236e-19	3.64657494817927e-17	-6.68395922905828
ENSMUSG00000031586	Rbpms	19663	RNA binding protein gene with multiple splicing	-3.35789198378945	4.55567387760167	301.329575971565	1.29138395378909e-19	3.89778144009616e-17	-10.2524157545737
ENSMUSG00000064329	Scn1a	20265	sodium channel, voltage-gated, type I, alpha	-3.12830311584622	6.28775891510449	312.548123581933	1.42904723513357e-19	4.22343001616768e-17	-8.74405888064565
ENSMUSG00000034336	Ina	226180	internexin neuronal intermediate filament protein, alpha	-2.08807071993346	6.52756619734246	296.714368889008	1.67499428771162e-19	4.77665649049644e-17	-4.25179111224567
ENSMUSG00000031688	Pou4f2	18997	POU domain, class 4, transcription factor 2	-4.82813139211631	2.95869540909239	296.624269394033	1.68358116822799e-19	4.77665649049644e-17	-28.4061497386311
ENSMUSG00000038602	Slc35f1	215085	solute carrier family 35, member F1	-2.52084295542179	5.21798834669501	285.318238401105	3.23425507964366e-19	8.99630246271076e-17	-5.73917336666792
ENSMUSG00000069372	Ctxn3	629147	cortexin 3	-6.38723948855459	2.44609637979626	283.175908047671	3.66962434059952e-19	1.00110174799509e-16	-83.7048602282534
ENSMUSG00000036815	Dpp10	269109	dipeptidylpeptidase 10	-3.31797592209745	4.12039115874127	282.213086279024	3.88500218587555e-19	1.03986115111001e-16	-9.97264311408282
ENSMUSG00000021895	Arhgef3	71704	Rho guanine nucleotide exchange factor (GEF) 3	3.12793253880266	3.34299375958758	274.125390873221	6.31623721987424e-19	1.65929891113215e-16	8.74181313135876
ENSMUSG00000093536	Smim17	100042450	small integral membrane protein 17	-4.15650520270632	3.28094583486411	273.374299301245	6.61207710633383e-19	1.70543501509912e-16	-17.8333421965874
ENSMUSG00000070304	Scn2b	72821	sodium channel, voltage-gated, type II, beta	-1.83852834608505	6.04781945210114	271.76359171533	7.29679451156506e-19	1.84843440966182e-16	-3.57645018292829
ENSMUSG00000039114	Nrn1	68404	neuritin 1	-2.8752754552877	5.3419389618188	268.546383539611	8.89778495378812e-19	2.21445574306032e-16	-7.3374331557651
ENSMUSG00000031492	Chrnb3	108043	cholinergic receptor, nicotinic, beta polypeptide 3	-2.76158378376659	6.28038829303672	271.726009617729	9.95610982561802e-19	2.4351271376934e-16	-6.78140300610115
ENSMUSG00000027313	Chac1	69065	ChaC, cation transport regulator 1	11.9590171882119	2.77581593237631	321.591121520823	1.53850792415713e-18	3.69919888340559e-16	3981.28155932072
ENSMUSG00000000555	Itga5	16402	integrin alpha 5 (fibronectin receptor alpha)	5.18958291556589	1.83429455484299	254.817341326931	2.12530294138244e-18	5.02492458774189e-16	36.4938869670248
ENSMUSG00000005413	Hmox1	15368	heme oxygenase 1	4.99511357217262	2.20796094548872	252.259927481524	2.51086962939102e-18	5.83921255123624e-16	31.8917989052428
ENSMUSG00000024749	Tmc1	13409	transmembrane channel-like gene family 1	12.7208808643917	-0.331191842282802	248.491542431202	3.21875626636098e-18	7.36472199912852e-16	6750.97829118326
ENSMUSG00000038591	Colec10	239447	collectin sub-family member 10	21.3140475337232	-0.661290089548558	243.179123549163	4.59403381909152e-18	1.03445974218464e-15	2607159.71337549
ENSMUSG00000048349	Pou4f1	18996	POU domain, class 4, transcription factor 1	-3.16245717608711	4.17917407905119	235.971323492078	7.52632377363673e-18	1.66825670395017e-15	-8.95353364688351
ENSMUSG00000034683	Ppp1r1c	75276	protein phosphatase 1, regulatory (inhibitor) subunit 1C	-9.57912826164911	0.271964453245608	234.752058414948	8.19235074563033e-18	1.77518739653742e-15	-764.900489885219
ENSMUSG00000045294	Insig1	231070	insulin induced gene 1	-2.03283964398867	6.47850439975737	234.635811849893	8.25901368754194e-18	1.77518739653742e-15	-4.09209501600033
