genes	Symbol	Entrezid	Genename	logFC	unshrunk.logFC	logCPM	PValue	FDR	FC
ENSMUSG00000051648	Kctd19	279499	potassium channel tetramerisation domain containing 19	2.81631963265429	2.84353790306478	0.163146694376384	1.18748792240334e-06	0.0168457036672138	7.04363246984143
ENSMUSG00000063632	Sox11	20666	SRY (sex determining region Y)-box 11	-1.99926679241505	-2.003612443311	1.53363957552201	2.82224470860233e-06	0.0200181817181163	-3.9979676334081
ENSMUSG00000029552	Tes	21753	testis derived transcript	-1.28996176727388	-1.29070087173514	3.02859452887047	1.30364423318263e-05	0.0616449903064295	-2.44521575409187
ENSMUSG00000096257	Ccer2	100504112	coiled-coil glutamate-rich protein 2	2.76659951694254	2.80308027372101	-0.825669131477116	2.53508509822777e-05	0.0899067930086478	6.80502054299087
ENSMUSG00000021062	Rab15	104886	RAB15, member RAS oncogene family	-1.00343891090156	-1.00361613052651	4.94507498777708	7.37183943251728e-05	0.194657587889538	-2.00477302919783
ENSMUSG00000000555	Itga5	16402	integrin alpha 5 (fibronectin receptor alpha)	-1.43533224616975	-1.43748158983467	1.83429455484299	8.23308562905139e-05	0.194657587889538	-2.7044444157129
ENSMUSG00000026628	Atf3	11910	activating transcription factor 3	-1.31692297296118	-1.31742754851608	4.08502126807864	0.00037216536314465	0.754219691652857	-2.49134181217095
ENSMUSG00000037447	Arid5a	214855	AT rich interactive domain 5A (MRF1-like)	-1.06117484493599	-1.06160721012343	3.48336261619576	0.000483958299111259	0.858179053899041	-2.08663005726546
ENSMUSG00000059854	Hydin	244653	HYDIN, axonemal central pair apparatus protein	2.00948226006364	2.02313154351797	0.196864347364013	0.000695871328832356	0.999999999970385	4.02637699510178
ENSMUSG00000024256	Adcyap1	11516	adenylate cyclase activating polypeptide 1	-1.26823391736047	-1.26921385325104	2.71835204890032	0.00113768467798543	0.999999999970385	-2.40866526976461
ENSMUSG00000032515	Csrnp1	215418	cysteine-serine-rich nuclear protein 1	-1.23377976216934	-1.23515775637595	2.22824341232528	0.00120411585390982	0.999999999970385	-2.35182345032021
ENSMUSG00000023067	Cdkn1a	12575	cyclin-dependent kinase inhibitor 1A (P21)	-1.55635090569731	-1.55835380488113	2.92762280098733	0.00127571557034533	0.999999999970385	-2.94108994502004
ENSMUSG00000006235	Epor	13857	erythropoietin receptor	-1.768745464153	-1.78258890241034	-0.319497515204678	0.00141380406027481	0.999999999970385	-3.40757512603957
ENSMUSG00000032802	Srxn1	76650	sulfiredoxin 1 homolog (S. cerevisiae)	-0.808054621634879	-0.808096204564767	6.58490207089338	0.00142831696290473	0.999999999970385	-1.75084894673188
ENSMUSG00000018774	Cd68	12514	CD68 antigen	-1.5644204993033	-1.56943133881268	1.22113212453172	0.001510645871864	0.999999999970385	-2.95758677855781
ENSMUSG00000027313	Chac1	69065	ChaC, cation transport regulator 1	-1.84136368066744	-1.84598240510854	2.77581593237631	0.00184086987586812	0.999999999970385	-3.58348590679692
ENSMUSG00000046607	Hrk	12123	harakiri, BCL2 interacting protein (contains only BH3 domain)	-1.3413096063045	-1.33931844398807	2.47960654052226	0.00290294159432887	0.999999999970385	-2.53381221213998
ENSMUSG00000046999	1110032F04Rik	68725	RIKEN cDNA 1110032F04 gene	1.79812680135818	1.8176813872719	0.299185147175695	0.00310236073141815	0.999999999970385	3.47768388753378
ENSMUSG00000026247	Ecel1	13599	endothelin converting enzyme-like 1	-2.08819111220081	-2.08426601228346	3.95528212362007	0.00313598128453531	0.999999999970385	-4.25214593715087
ENSMUSG00000062438	Adam1b	280667	a disintegrin and metallopeptidase domain 1b	2.06942643627856	2.07799596360317	0.135673799774026	0.00349462501386083	0.999999999970385	4.19719774770367
ENSMUSG00000041548	Hspb8	80888	heat shock protein 8	-1.06676487940607	-1.06750141731748	2.97793866473743	0.00376433382504182	0.999999999970385	-2.09473084144007
ENSMUSG00000072974	Gm4787	214321	predicted gene 4787	1.65878190172449	1.66548667356479	0.589622683189946	0.00404973957184017	0.999999999970385	3.15749817844411
ENSMUSG00000031298	Adgrg2	237175	adhesion G protein-coupled receptor G2	-1.40983889777262	-1.41335444895912	1.12776785097487	0.00493287979451738	0.999999999970385	-2.65707490256903
ENSMUSG00000088088	Rmrp	19782	RNA component of mitochondrial RNAase P	-3.07688454984969	-3.08269591262031	1.9131874417356	0.00521684783131223	0.999999999970385	-8.43790327520872
ENSMUSG00000049723	Mmp12	17381	matrix metallopeptidase 12	-1.09996142469952	-1.10002347703493	3.96413425424881	0.00595715915679227	0.999999999970385	-2.14348961090783
ENSMUSG00000034683	Ppp1r1c	75276	protein phosphatase 1, regulatory (inhibitor) subunit 1C	1.57175344609771	1.59816069167421	0.271964453245608	0.00628865869741007	0.999999999970385	2.97265790373634
ENSMUSG00000021186	Fbln5	23876	fibulin 5	-1.52556673013966	-1.52946179479773	1.40196189932578	0.00704453201393646	0.999999999970385	-2.87899788716693
ENSMUSG00000085440	Sorbs2os	319940	sorbin and SH3 domain containing 2, opposite strand	2.00660650867173	2.0303781679547	-0.698417050340566	0.00793021089787111	0.999999999970385	4.01835913519084
ENSMUSG00000039954	Stk32a	269019	serine/threonine kinase 32A	0.857990476958674	0.85839429165322	3.69514423335027	0.00831562066610177	0.999999999970385	1.81251191234104
ENSMUSG00000000766	Oprm1	18390	opioid receptor, mu 1	1.26879508489167	1.27559923617861	0.185306652127522	0.0085225235991903	0.999999999970385	2.40960235460815
ENSMUSG00000020427	Igfbp3	16009	insulin-like growth factor binding protein 3	-1.34890333836503	-1.35188429915647	1.35457278808164	0.00859597227889928	0.999999999970385	-2.54718428170443
ENSMUSG00000058588	Vmn1r21	171201	vomeronasal 1 receptor 21	1.47181215584203	1.48385763946315	-0.609805277863641	0.00883145929711356	0.999999999970385	2.7737007687906
ENSMUSG00000031492	Chrnb3	108043	cholinergic receptor, nicotinic, beta polypeptide 3	0.813389641138626	0.813453763195811	6.28038829303672	0.00905489572961846	0.999999999970385	1.75733549119907
ENSMUSG00000047986	Palm3	74337	paralemmin 3	-1.14715022568371	-1.1507411233646	0.79161308238942	0.0106209988934936	0.999999999970385	-2.21475977659553
ENSMUSG00000060678	Hist1h4c	319155	histone cluster 1, H4c	-1.72889049335024	-1.73731082740899	0.577326911253257	0.0110300512757651	0.999999999970385	-3.3147280065407
ENSMUSG00000023905	Tnfrsf12a	27279	tumor necrosis factor receptor superfamily, member 12a	-0.987607442716419	-0.988462272952036	3.37128347318976	0.0127104511859127	0.999999999970385	-1.9828938427011
ENSMUSG00000040514	Tex47	70920	testis expressed 47	2.28139588088945	2.3013629029812	-0.204277764614419	0.0129668550828893	0.999999999970385	4.86148099308903
ENSMUSG00000065701	Rny1	19872	RNA, Y1 small cytoplasmic, Ro-associated	-2.5953180320529	-2.61016301126978	0.146084082697002	0.0147216500446651	0.999999999970385	-6.04322238162367
ENSMUSG00000092837	Rpph1	85029	ribonuclease P RNA component H1	-1.91725503535209	-1.92405344654145	0.708740093189882	0.0147235552104845	0.999999999970385	-3.7770373110459
ENSMUSG00000072972	Adam4	11498	a disintegrin and metallopeptidase domain 4	1.40413593486901	1.41150570927871	0.272804769547375	0.0147682764153269	0.999999999970385	2.64659223758796
ENSMUSG00000050777	Tmem37	170706	transmembrane protein 37	-1.88071020182798	-1.90271324695173	-0.75439531540172	0.0149398629818588	0.999999999970385	-3.68256298783321
ENSMUSG00000067235	H2-Q10	15007	histocompatibility 2, Q region locus 10	1.37579666942857	1.38908151292024	-0.345136020541778	0.01519504215098	0.999999999970385	2.59511175821021
ENSMUSG00000066842	Hmcn1	545370	hemicentin 1	1.11006883562168	1.11152879515855	2.06780653861497	0.0154422167377876	0.999999999970385	2.15855946236808
ENSMUSG00000054136	Adm2	223780	adrenomedullin 2	-2.65924202939723	-2.8306396561563	-1.11288958043526	0.0159919108954453	0.999999999970385	-6.31701075903914
