genes	Symbol	Entrezid	Genename	logFC	unshrunk.logFC	logCPM	PValue	FDR	FC
ENSMUSG00000095463	Entpd4	67464	ectonucleoside triphosphate diphosphohydrolase 4	-1.16091171748243	-1.16103230978837	5.86738550585478	4.12751296149817e-20	5.85528988718131e-16	-2.23598687149669
ENSMUSG00000002324	Rec8	56739	REC8 meiotic recombination protein	6.48516519844273	6.5661410406849	1.94270498650845	5.57797350382899e-19	3.9564566062659e-15	89.5837527627916
ENSMUSG00000022066	Entpd4b	100862375	ectonucleoside triphosphate diphosphohydrolase 4B	-0.981442858435278	-0.981528005914338	6.07088332163937	6.03944343650173e-18	2.85585148634045e-14	-1.97443908457501
ENSMUSG00000025432	Avil	11567	advillin	-2.99304259823292	-3.00142463764621	0.976979381654132	1.46664417984178e-16	5.20145358380888e-13	-7.96151284944636
ENSMUSG00000038539	Atf5	107503	activating transcription factor 5	-1.1983338812517	-1.19854278675175	4.67848643583021	5.25366742907279e-16	1.49057052297653e-12	-2.29474505721022
ENSMUSG00000087006	Gm13889	620695	predicted gene 13889	-1.17670784929641	-1.17685182927531	4.69059464641438	4.54339265466167e-13	1.07420946998384e-09	-2.26060330795665
ENSMUSG00000047963	Stbd1	52331	starch binding domain 1	-1.58216534076381	-1.58385198653351	2.05322745541363	2.23257395875409e-11	4.52447059698364e-08	-2.99418910441497
ENSMUSG00000021327	Zkscan3	72739	zinc finger with KRAB and SCAN domains 3	-1.0358234025852	-1.03588382353662	6.64904867619755	4.15169645089994e-11	7.36199573155833e-08	-2.05028348931443
ENSMUSG00000042655	Fam159b	77803	family with sequence similarity 159, member B	5.00000475954086	5.05470645679794	1.0779883961197	9.51586886883264e-11	1.49991239748066e-07	32.0001055701687
ENSMUSG00000025408	Ddit3	13198	DNA-damage inducible transcript 3	-1.29948218754746	-1.29968533101505	4.98946517348715	1.21581618596744e-10	1.72475684141341e-07	-2.46140521997108
ENSMUSG00000060177	Klk1b22	13646	kallikrein 1-related peptidase b22	-10.4718516515303	-144269487.020675	1.72331027593773	4.99470533383435e-10	6.44135362416128e-07	-1420.17367222458
ENSMUSG00000074358	Ccdc61	232933	coiled-coil domain containing 61	1.48793447094934	1.49193754326256	1.15000531954359	3.57999828500069e-09	4.23215463925165e-06	2.80487109756515
ENSMUSG00000019718	L3hypdh	67217	L-3-hydroxyproline dehydratase (trans-)	1.31472988249927	1.31619953514294	2.47111659303609	5.31069174737203e-09	5.79519024063228e-06	2.48755751465405
ENSMUSG00000037300	Ttc13	234875	tetratricopeptide repeat domain 13	-0.89524086231066	-0.895391532479428	5.09243219804554	7.47887098801264e-09	7.09186383790451e-06	-1.85992037865233
ENSMUSG00000035495	Tstd2	272027	thiosulfate sulfurtransferase (rhodanese)-like domain containing 2	-0.756030372660137	-0.756177091125406	4.7759557020229	7.49879864433721e-09	7.09186383790451e-06	-1.68883732909904
ENSMUSG00000044906	4930503L19Rik	269033	RIKEN cDNA 4930503L19 gene	0.988422688731359	0.989293831926562	2.65515320509815	1.2628040843305e-08	1.11963367126953e-05	1.98401466386355
ENSMUSG00000030423	Pop4	66161	processing of precursor 4, ribonuclease P/MRP family, (S. cerevisiae)	0.951247268438679	0.951632134669669	3.63406919614713	1.64351525641371e-08	1.37146514279323e-05	1.93354356237799
ENSMUSG00000023159	Psg29	114872	pregnancy-specific glycoprotein 29	3.36594632081823	3.41429244699962	-1.42309195876596	3.39463934856325e-08	2.67535298881768e-05	10.3098134336025
ENSMUSG00000074489	Bglap3	12095	bone gamma-carboxyglutamate protein 3	-1.96749297037072	-1.97219019015023	1.62975374597183	4.13100582396244e-08	3.08433940098585e-05	-3.91087918877084
ENSMUSG00000074037	Mc1r	17199	melanocortin 1 receptor	-1.07348998002709	-1.07433774083551	2.79202724588416	1.39520691383018e-07	9.89620263979746e-05	-2.10451819092761
ENSMUSG00000020581	Agr2	23795	anterior gradient 2	-1.41728153125814	-1.41984409805884	1.78795755660059	1.52666455858683e-07	0.000103129825848156	-2.67081774605518
ENSMUSG00000036560	Lgi4	243914	leucine-rich repeat LGI family, member 4	-1.04384340460781	-1.0442437104391	3.64506414210524	1.79334191822862e-07	0.000110936478519262	-2.06171283959756
ENSMUSG00000026547	Tagln2	21346	transgelin 2	-1.58036063249985	-1.58145209796337	2.75816637347868	1.79863175380165e-07	0.000110936478519262	-2.99044592980476
ENSMUSG00000035299	Mid1	17318	midline 1	-1.01570237846696	-1.01574987798527	7.00138604233655	2.06589615201131e-07	0.000122111678385135	-2.02188701243032
ENSMUSG00000030785	Cox6a2	12862	cytochrome c oxidase subunit VIa polypeptide 2	-3.3218161831887	-3.38183447625858	-1.37699570778356	2.21176382540933e-07	0.000125504326509027	-9.99922431730172
ENSMUSG00000097842	9330104G04Rik	320950	RIKEN cDNA 9330104G04 gene	2.25355665623546	2.26721206286309	0.297504015082817	3.10827533320161e-07	0.000169592284141531	4.76856987079065
ENSMUSG00000053475	Tnfaip6	21930	tumor necrosis factor alpha induced protein 6	-1.57660059519723	-1.58330846447395	0.295706847897211	3.3959090219847e-07	0.000178423575503241	-2.98266220003814
ENSMUSG00000062040	Zfp27	22689	zinc finger protein 27	0.644494966290792	0.644664640388849	4.21844329510222	3.73262271655342e-07	0.000189110663775096	1.56319197527581
ENSMUSG00000030905	Crym	12971	crystallin, mu	-1.06053891504788	-1.06063820519748	5.47537590141804	4.00901153861067e-07	0.000196109785126658	-2.08571048800864
ENSMUSG00000052031	Tagap1	380608	T cell activation GTPase activating protein 1	1.07641779012996	1.0766693362324	4.45652334924487	5.14037985860061e-07	0.000243071428913694	2.10879344376596
ENSMUSG00000022146	Osmr	18414	oncostatin M receptor	-1.06104292855927	-1.06141540498978	3.44432654729356	5.57646530210348e-07	0.000255186247663355	-2.08643926982617
ENSMUSG00000048337	Npy4r	19065	neuropeptide Y receptor Y4	-4.63518584503871	-4.6595843230173	1.41062801835732	8.57715149286915e-07	0.000380235847118255	-24.8502049466804
ENSMUSG00000039954	Stk32a	269019	serine/threonine kinase 32A	-0.744417077812246	-0.744775552169285	3.69514423335027	8.90230467117442e-07	0.000382691194137213	-1.67529722726165
ENSMUSG00000028807	Zbtb8a	73680	zinc finger and BTB domain containing 8a	1.59982041516079	1.60294368764919	1.5231344235089	1.7192302558355e-06	0.000717323541449482	3.03105580757455
ENSMUSG00000031762	Mt2	17750	metallothionein 2	-1.17095577008876	-1.17127065296406	3.85762897780753	2.28286639742645e-06	0.000925278363254046	-2.25160814177711
ENSMUSG00000074971	Fibin	67606	fin bud initiation factor homolog (zebrafish)	-2.80643219163391	-2.84101859207367	-0.606073129381507	2.50104922830046e-06	0.000985552343129733	-6.9955243155084
ENSMUSG00000040690	Col16a1	107581	collagen, type XVI, alpha 1	-1.38732423624412	-1.39024644662837	1.14912817755625	3.33456642564351e-06	0.0012784907922751	-2.61593054423889
ENSMUSG00000094724	Rnaset2b	68195	ribonuclease T2B	2.02845339523633	2.02990956872132	3.03600976600839	4.18459366002367e-06	0.00156217488581831	4.07967264776109
ENSMUSG00000021091	Serpina3n	20716	serine (or cysteine) peptidase inhibitor, clade A, member 3N	-2.11872136864192	-2.1190191701403	5.09471010741838	4.97943632820307e-06	0.00181123804492022	-4.34308855256022
ENSMUSG00000030111	A2m	232345	alpha-2-macroglobulin	-1.42491397719815	-1.42556526638777	3.54403530153221	6.75698311548582e-06	0.00239636406190704	-2.68498490463555
ENSMUSG00000024114	Prss41	71003	protease, serine 41	-3.1015454756807	-3.12709103173799	0.699905915616624	7.27492763417722e-06	0.00251712496142532	-8.58337765267312
ENSMUSG00000004891	Nes	18008	nestin	-0.890964068606794	-0.891336064415971	2.92740959787741	8.62207612346587e-06	0.00287360825673632	-1.85441490671304
ENSMUSG00000041479	Syt15	319508	synaptotagmin XV	1.52149143638367	1.52227308376512	3.31083221345939	8.74390623005646e-06	0.00287360825673632	2.87087683167911
ENSMUSG00000043659	Npsr1	319239	neuropeptide S receptor 1	1.74458411028845	1.75283675714155	0.406484042079706	8.91292565179742e-06	0.00287360825673632	3.35098240240692
ENSMUSG00000006057	Atp5g1	11951	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)	0.876517330157186	0.876626883431905	5.49874236455323	9.74795441050268e-06	0.00307298847260869	1.83593798814985
ENSMUSG00000024206	Rfx2	19725	regulatory factor X, 2 (influences HLA class II expression)	-0.987599848134663	-0.988059004511494	3.21308837327487	1.11650740448277e-05	0.00344321174782447	-1.98288340445232
ENSMUSG00000074457	S100a16	67860	S100 calcium binding protein A16	-0.716010470465591	-0.716183207602712	4.1445470583519	1.15914604635395e-05	0.00349864804544194	-1.64263332299328
ENSMUSG00000021185	Dglucy	217830	D-glutamate cyclase	0.951323867159485	0.952594807321174	2.08974103860682	1.7193202342545e-05	0.00508130767565299	1.93364622502753
ENSMUSG00000071637	Cebpd	12609	CCAAT/enhancer binding protein (C/EBP), delta	-1.55541710008581	-1.55602417924471	3.23918224962392	1.81209819025413e-05	0.00517258266302427	-2.93918689719458
ENSMUSG00000030341	Tnfrsf1a	21937	tumor necrosis factor receptor superfamily, member 1a	-0.835238919496841	-0.835648617779309	3.0166882849479	1.82312937509667e-05	0.00517258266302427	-1.78415248140192
