genes	Symbol	Entrezid	Genename	logFC	unshrunk.logFC	logCPM	PValue	FDR	FC
ENSMUSG00000020396	Nefh	380684	neurofilament, heavy polypeptide	-1.35710646800059	-1.35721779622149	6.17039877846345	4.36413543945531e-18	6.1909625344113e-14	-2.56170876465314
ENSMUSG00000014846	Tppp3	67971	tubulin polymerization-promoting protein family member 3	-1.6183093028629	-1.61859302933923	5.2477461561654	8.46151703322851e-16	6.00175403166898e-12	-3.07015033837047
ENSMUSG00000046480	Scn4b	399548	sodium channel, type IV, beta	-2.67071829753265	-2.67409294767554	2.49607984691837	2.09696856793827e-14	9.91586536825743e-11	-6.36746135024006
ENSMUSG00000062380	Tubb3	22152	tubulin, beta 3 class III	-1.09302239766822	-1.09311556069119	6.13127311916119	7.31674041789913e-14	2.59488198920793e-10	-2.13320467915435
ENSMUSG00000037428	Vgf	381677	VGF nerve growth factor inducible	1.26672886682767	1.26685318875244	5.86032549841425	2.10580728429704e-12	5.97459642700756e-09	2.40615380852141
ENSMUSG00000029304	Spp1	20750	secreted phosphoprotein 1	1.44062233847935	1.44091694294192	4.70847347458863	4.94483973953144e-12	1.16912494241655e-08	2.71437931005549
ENSMUSG00000030337	Vamp1	22317	vesicle-associated membrane protein 1	-0.799031013620939	-0.799089146994559	6.11915766308522	7.60222456931395e-12	1.54064511057554e-08	-1.73993210834262
ENSMUSG00000005716	Pvalb	19293	parvalbumin	-1.56276155715705	-1.56375323992203	3.10539858627754	2.12328842526972e-11	3.76512120010954e-08	-2.95418783051284
ENSMUSG00000028926	Cdk14	18647	cyclin-dependent kinase 14	-0.758222509204757	-0.758253277685993	7.04529260497072	7.01779534687975e-11	1.10616049767596e-07	-1.69140542285085
ENSMUSG00000036578	Fxyd7	57780	FXYD domain-containing ion transport regulator 7	-1.97014573215599	-1.97370817651802	2.13817771101372	1.14962644432697e-10	1.63086007392225e-07	-3.91807695032965
ENSMUSG00000049511	Htr1b	15551	5-hydroxytryptamine (serotonin) receptor 1B	-1.33405936756985	-1.33475999118939	3.44041565855866	1.6524009218475e-10	2.06728738892684e-07	-2.52111052589849
ENSMUSG00000023905	Tnfrsf12a	27279	tumor necrosis factor receptor superfamily, member 12a	1.65205764246408	1.65339414432519	3.37128347318976	1.7487275248218e-10	2.06728738892684e-07	3.14281563445364
ENSMUSG00000046275	Tusc5	237858	tumor suppressor candidate 5	-1.14762086237007	-1.14787545326805	4.69968378451933	2.72162105486222e-10	2.96991663725195e-07	-2.21548239447996
ENSMUSG00000050359	Sprr1a	20753	small proline-rich protein 1A	7.25053708915124	7.80054218466461	2.43541055523685	2.96947837157671e-10	3.00893001279909e-07	152.275189455792
