genes	Symbol	Entrezid	Genename	logFC	unshrunk.logFC	logCPM	PValue	FDR	FC
ENSMUSG00000052684	Jun	16476	jun proto-oncogene	-2.68076904510845	-2.68147359867814	4.85152559087311	6.47029933771337e-15	9.17876664048018e-11	-6.41197608714456
ENSMUSG00000026247	Ecel1	13599	endothelin converting enzyme-like 1	-2.47286285854775	-2.47342380095675	3.95528212362007	2.48327651736872e-12	1.26860429075758e-08	-5.5514431351753
ENSMUSG00000050359	Sprr1a	20753	small proline-rich protein 1A	-3.27838699863967	-3.28289274453974	2.43541055523685	2.68279491912642e-12	1.26860429075758e-08	-9.70270492508195
ENSMUSG00000096257	Ccer2	100504112	coiled-coil glutamate-rich protein 2	3.34423683592171	3.3953365058376	-0.825669131477116	6.20340176397404e-12	2.20003643559339e-08	10.1558341549041
ENSMUSG00000004891	Nes	18008	nestin	-1.59927781377386	-1.60015757111039	2.92740959787741	9.80499664948937e-12	2.78187364939312e-08	-3.02991603388872
ENSMUSG00000026628	Atf3	11910	activating transcription factor 3	-1.58271538787911	-1.58306021812376	4.08502126807864	2.61844700829046e-11	6.19088154326808e-08	-2.99533089740162
ENSMUSG00000038591	Colec10	239447	collectin sub-family member 10	-2.81834551185325	-2.83849382832306	-0.661290089548558	3.07143392014624e-11	6.2244802273135e-08	-7.05353031496733
ENSMUSG00000046607	Hrk	12123	harakiri, BCL2 interacting protein (contains only BH3 domain)	-1.75167780091853	-1.75307525847498	2.47960654052226	5.34077765351517e-11	9.47053397409578e-08	-3.36749966208398
ENSMUSG00000037447	Arid5a	214855	AT rich interactive domain 5A (MRF1-like)	-1.07477821129852	-1.07517868924543	3.48336261619576	7.24830451409338e-11	1.14249386485476e-07	-2.10639822575658
ENSMUSG00000032802	Srxn1	76650	sulfiredoxin 1 homolog (S. cerevisiae)	-0.705975681193771	-0.706005001038526	6.58490207089338	9.40530381154794e-11	1.33423639870619e-07	-1.63124748930343
ENSMUSG00000041959	S100a10	20194	S100 calcium binding protein A10 (calpactin)	-1.12515184098365	-1.12558927978759	3.61474733624498	1.12990545204122e-10	1.45716715842334e-07	-2.1812450252529
ENSMUSG00000022454	Nell2	54003	NEL-like 2	0.811928967455882	0.812058657694223	5.25783582970821	1.61476814042129e-10	1.90892507000137e-07	1.75555715646546
ENSMUSG00000026728	Vim	22352	vimentin	-1.04842720169843	-1.04847334159231	6.69228150191871	9.77936535718281e-10	1.06715443813073e-06	-2.06827382594593
ENSMUSG00000087006	Gm13889	620695	predicted gene 13889	-0.914632749425832	-0.914733448035109	4.69059464641438	1.56369817695079e-09	1.49935222352783e-06	-1.88508914491209
ENSMUSG00000021062	Rab15	104886	RAB15, member RAS oncogene family	-0.78503434054798	-0.785143088168104	4.94507498777708	1.58538582778214e-09	1.49935222352783e-06	-1.72313333477172
ENSMUSG00000007041	Clic1	114584	chloride intracellular channel 1	-0.960411548202378	-0.96065960964023	3.95567075541166	7.7489229762239e-09	6.78079043079384e-06	-1.94586489984491
ENSMUSG00000039116	Adgrg6	215798	adhesion G protein-coupled receptor G6	-2.24579188079463	-2.25201454697843	1.2128881785799	8.12585910922708e-09	6.78079043079384e-06	-4.74297373998728
ENSMUSG00000047963	Stbd1	52331	starch binding domain 1	-1.23028629590243	-1.23142654334957	2.05322745541363	1.18669829299103e-08	9.35250110242823e-06	-2.34613543158008
ENSMUSG00000032231	Anxa2	12306	annexin A2	-1.07288614376255	-1.07352467049874	3.15142995840233	1.58358623612178e-08	1.18235549187493e-05	-2.10363753461259
ENSMUSG00000074457	S100a16	67860	S100 calcium binding protein A16	-0.883048801737932	-0.883273711440311	4.1445470583519	8.42444577374491e-08	5.79078854484047e-05	-1.84426862045201
ENSMUSG00000063632	Sox11	20666	SRY (sex determining region Y)-box 11	-1.27295653686232	-1.2745051232288	1.53363957552201	8.60107343234421e-08	5.79078854484047e-05	-2.41656288346077
ENSMUSG00000051648	Kctd19	279499	potassium channel tetramerisation domain containing 19	1.98197316595743	1.99638080113108	0.163146694376384	8.98049823674681e-08	5.79078854484047e-05	3.95032996919401
ENSMUSG00000029552	Tes	21753	testis derived transcript	-0.870431077835302	-0.870914909640454	3.02859452887047	1.38368333215126e-07	8.53431815212944e-05	-1.82820908843572
ENSMUSG00000000555	Itga5	16402	integrin alpha 5 (fibronectin receptor alpha)	-1.09175808187002	-1.09303384869917	1.83429455484299	1.56427247590012e-07	9.24615389296629e-05	-2.13133604936176
ENSMUSG00000049723	Mmp12	17381	matrix metallopeptidase 12	-1.1497210328636	-1.15001194389913	3.96413425424881	1.72011314989227e-07	9.7606100577487e-05	-2.21870988118766
ENSMUSG00000032135	Mcam	84004	melanoma cell adhesion molecule	-0.843411020482405	-0.844022630641513	2.58103705846415	3.96213429870371e-07	0.000216180142928503	-1.79428743485551
ENSMUSG00000030272	Camk1	52163	calcium/calmodulin-dependent protein kinase I	-0.710423572790805	-0.710585784891151	4.23227052296095	5.77244360523147e-07	0.000303288462903013	-1.63628445691012
ENSMUSG00000000078	Klf6	23849	Kruppel-like factor 6	-0.650197240703513	-0.650290068875203	5.05340255390998	7.2095512130624e-07	0.000365266762530368	-1.5693827421725
ENSMUSG00000048349	Pou4f1	18996	POU domain, class 4, transcription factor 1	0.77605295193843	0.776396220261627	4.17917407905119	9.69202208317551e-07	0.000474106983696303	1.71243942043719
ENSMUSG00000032515	Csrnp1	215418	cysteine-serine-rich nuclear protein 1	-1.03968490808271	-1.04064288196184	2.22824341232528	1.1290113841068e-06	0.000496266030689404	-2.05577861179743
ENSMUSG00000031492	Chrnb3	108043	cholinergic receptor, nicotinic, beta polypeptide 3	0.668876128125428	0.668936318768321	6.28038829303672	1.13138900379463e-06	0.000496266030689404	1.58983399060074
ENSMUSG00000021260	Hhipl1	214305	hedgehog interacting protein-like 1	-1.01098143488983	-1.01272356683051	1.20780733997197	1.13683976504449e-06	0.000496266030689404	-2.01528158729774
ENSMUSG00000030341	Tnfrsf1a	21937	tumor necrosis factor receptor superfamily, member 1a	-0.959950385193585	-0.960437968322066	3.0166882849479	1.16838822884471e-06	0.000496266030689404	-1.94524299606113
ENSMUSG00000023905	Tnfrsf12a	27279	tumor necrosis factor receptor superfamily, member 12a	-0.949764515432606	-0.95005439494641	3.37128347318976	1.18941527163681e-06	0.000496266030689404	-1.93155735277242
ENSMUSG00000031841	Cdh13	12554	cadherin 13	-0.809644644433375	-0.810060866221875	3.36574959075999	1.33729110183017e-06	0.000531061364115967	-1.75277965579849
ENSMUSG00000020875	Hoxb9	15417	homeobox B9	-3.05613223998687	-3.09831247993361	-0.800308979371932	1.34768145412201e-06	0.000531061364115967	-8.31739783390338
ENSMUSG00000059336	Slc14a1	108052	solute carrier family 14 (urea transporter), member 1	-0.965307905871014	-0.965589162700343	4.03328424098431	1.55430540320885e-06	0.000595929093241099	-1.95248018338733
