genes	Symbol	Entrezid	Genename	logFC	unshrunk.logFC	logCPM	PValue	FDR	FC
ENSMUSG00000020396	Nefh	380684	neurofilament, heavy polypeptide	-1.5222435878223	-1.52237630801062	6.17039877846345	7.82458309741012e-18	1.1099953581986e-13	-2.87237395828031
ENSMUSG00000014846	Tppp3	67971	tubulin polymerization-promoting protein family member 3	-1.71660752467996	-1.71689872275426	5.2477461561654	1.97990084741141e-15	1.40434367106891e-11	-3.28662652328075
ENSMUSG00000046480	Scn4b	399548	sodium channel, type IV, beta	-2.71389483959739	-2.71862886444829	2.49607984691837	2.78633582218287e-14	1.31756533244954e-10	-6.56090503703814
ENSMUSG00000026247	Ecel1	13599	endothelin converting enzyme-like 1	3.62192816157323	3.6297880410882	3.95528212362007	2.30693403288477e-12	8.18154154762583e-09	12.3114447025226
ENSMUSG00000062380	Tubb3	22152	tubulin, beta 3 class III	-1.16157661318247	-1.16167965847767	6.13127311916119	5.37314636505436e-11	1.52446908669322e-07	-2.23701760956287
ENSMUSG00000036578	Fxyd7	57780	FXYD domain-containing ion transport regulator 7	-1.94822356526406	-1.95122729666652	2.13817771101372	2.4491313433023e-10	5.79056287268108e-07	-3.85899069522032
ENSMUSG00000087006	Gm13889	620695	predicted gene 13889	1.31937243735729	1.31969478394073	4.69059464641438	3.09325343961113e-10	6.26869904204622e-07	2.49557530318598
ENSMUSG00000063632	Sox11	20666	SRY (sex determining region Y)-box 11	2.11587052501003	2.1247908959186	1.53363957552201	5.65115726238667e-10	1.00209146155272e-06	4.33451484791601
ENSMUSG00000053398	Phgdh	236539	3-phosphoglycerate dehydrogenase	2.3027060276894	2.30436969007747	3.61818811891617	1.21855452435652e-09	1.92071272028017e-06	4.93382323099276
ENSMUSG00000025432	Avil	11567	advillin	1.96974103797732	1.97620357923054	0.976979381654132	3.11839505571632e-09	4.20260899194189e-06	3.91697803440105
ENSMUSG00000005716	Pvalb	19293	parvalbumin	-1.49265196216411	-1.49369611027466	3.10539858627754	3.2587550339321e-09	4.20260899194189e-06	-2.81405780138932
ENSMUSG00000046607	Hrk	12123	harakiri, BCL2 interacting protein (contains only BH3 domain)	2.08109785213895	2.0875764843529	2.47960654052226	3.78316029763758e-09	4.4723259985239e-06	4.23129083599513
ENSMUSG00000027313	Chac1	69065	ChaC, cation transport regulator 1	3.00512526466355	3.01098769912245	2.77581593237631	4.59672818705636e-09	5.01609123550627e-06	8.02847104465195
ENSMUSG00000050359	Sprr1a	20753	small proline-rich protein 1A	5.60108075190375	5.86429030005119	2.43541055523685	9.17055974221189e-09	9.29239717878699e-06	48.5392782627569
ENSMUSG00000037428	Vgf	381677	VGF nerve growth factor inducible	1.19584328600367	1.19596178195236	5.86032549841425	1.01210428035103e-08	9.57180754737316e-06	2.29078694373124
ENSMUSG00000020635	Fkbp1b	14226	FK506 binding protein 1b	-1.67339305954087	-1.67681874917348	1.61018347391115	2.48787789815134e-08	2.092605652681e-05	-3.18963879886313
ENSMUSG00000039114	Nrn1	68404	neuritin 1	-1.11065184593763	-1.11082378519137	5.3419389618188	2.50770450412922e-08	2.092605652681e-05	-2.15943193833327
ENSMUSG00000023064	Sncg	20618	synuclein, gamma	-1.33874058396913	-1.33888843599209	5.68270350929476	3.59766900939864e-08	2.83536292040717e-05	-2.52930424079176
ENSMUSG00000023905	Tnfrsf12a	27279	tumor necrosis factor receptor superfamily, member 12a	1.48444673086115	1.48552680299991	3.37128347318976	4.68675294254614e-08	3.49927774962945e-05	2.79809846319728
ENSMUSG00000024749	Tmc1	13409	transmembrane channel-like gene family 1	3.13308237073641	3.20938233212325	-0.331191842282802	7.33581144008118e-08	5.20329105444958e-05	8.77307359342425
ENSMUSG00000030785	Cox6a2	12862	cytochrome c oxidase subunit VIa polypeptide 2	5.10485221926622	5.48076308188291	-1.37699570778356	1.14503285885974e-07	7.73496958846868e-05	34.4122953319495
ENSMUSG00000029304	Spp1	20750	secreted phosphoprotein 1	1.21363559700462	1.21392586705185	4.70847347458863	2.19686427527603e-07	0.000141551557550458	2.31921343670824
ENSMUSG00000021604	Irx4	50916	Iroquois homeobox 4	-1.62180629155257	-1.62464269891941	1.85680750354243	2.29499917077437e-07	0.000141551557550458	-3.07760118779409
ENSMUSG00000038591	Colec10	239447	collectin sub-family member 10	4.55358074951696	5.21984537810431	-0.661290089548558	2.49324226356761e-07	0.000147371394795709	23.4835848013319
ENSMUSG00000046275	Tusc5	237858	tumor suppressor candidate 5	-1.13269001158183	-1.13293399841855	4.69968378451933	3.62506581200792e-07	0.000205700734436577	-2.19267199239209
ENSMUSG00000049511	Htr1b	15551	5-hydroxytryptamine (serotonin) receptor 1B	-1.19321234310534	-1.19384776274435	3.44041565855866	8.42872236611663e-07	0.000459884059560502	-2.28661320128204
ENSMUSG00000033595	Lgi3	213469	leucine-rich repeat LGI family, member 3	-1.04694587538583	-1.04734719566979	3.84456696338985	4.48883689835499e-06	0.00234587933568125	-2.06615125951473
ENSMUSG00000032387	Rbpms2	71973	RNA binding protein with multiple splicing 2	-1.10203004661073	-1.10238970686855	4.11158828376662	4.63024259122197e-06	0.00234587933568125	-2.14656527824293
ENSMUSG00000031026	Trim66	330627	tripartite motif-containing 66	1.03250861583589	1.03272720551984	4.63289772882933	5.53010481015045e-06	0.00270517471851015	2.0455780937371
ENSMUSG00000069372	Ctxn3	629147	cortexin 3	-1.3447318926955	-1.34616398721648	2.44609637979626	1.26044852067056e-05	0.0059602409047442	-2.53982992475549
ENSMUSG00000048065	Cyb5r2	320635	cytochrome b5 reductase 2	2.99309079582323	3.06185266174726	-0.712756420421953	1.47473640453759e-05	0.00674858407573236	7.96177883230034
ENSMUSG00000032946	Rasgrp2	19395	RAS, guanyl releasing protein 2	-1.09616334301726	-1.09697619126787	2.98456326137919	3.4772536899568e-05	0.0154151002642897	-2.13785401815936
ENSMUSG00000054459	Vsnl1	26950	visinin-like 1	-0.86311897354575	-0.863171595723117	6.47298649172871	3.96487156432047e-05	0.0170441418216516	-1.81896650063139
ENSMUSG00000022763	Aifm3	72168	apoptosis-inducing factor, mitochondrion-associated 3	-1.28883200484622	-1.2918819763306	1.58554433800409	5.58560430646563e-05	0.0233051125563298	-2.44330167562058
ENSMUSG00000030337	Vamp1	22317	vesicle-associated membrane protein 1	-0.786091289480334	-0.786152615133126	6.11915766308522	6.84739672349177e-05	0.027753477119844	-1.72439620128063
ENSMUSG00000040703	Cyp2s1	74134	cytochrome P450, family 2, subfamily s, polypeptide 1	-1.10914857776282	-1.11088293608669	1.91804824322288	7.49953195306677e-05	0.0295523223017237	-2.1571830121545
ENSMUSG00000049723	Mmp12	17381	matrix metallopeptidase 12	1.18992681763189	1.19060133566196	3.96413425424881	8.78606535214049e-05	0.0336862494825581	2.28141170156457
ENSMUSG00000093536	Smim17	100042450	small integral membrane protein 17	-1.01630475030705	-1.01688470874915	3.28094583486411	9.27859507758249e-05	0.0346384604659435	-2.02273139191671
ENSMUSG00000074968	Ano3	228432	anoctamin 3	-0.986875968361509	-0.987321818276596	3.7705742764536	0.0001002619591498	0.0364696449358735	-1.98188873190783
ENSMUSG00000023067	Cdkn1a	12575	cyclin-dependent kinase inhibitor 1A (P21)	1.40704296194008	1.40829561897356	2.92762280098733	0.000122778176623553	0.0435432803395432	2.65193049112071
ENSMUSG00000039518	Cdsn	386463	corneodesmosin	1.65559257144939	1.67031405554247	0.174163030302324	0.0001262993545873	0.043699576687206	3.15052568504794
ENSMUSG00000035547	Capn5	12337	calpain 5	-0.857981152203668	-0.858234093244291	4.19165304090945	0.000146088195577144	0.0493430272013659	-1.81250019733931
ENSMUSG00000096257	Ccer2	100504112	coiled-coil glutamate-rich protein 2	1.53210755786353	1.54245213810944	-0.825669131477116	0.000151386695785523	0.0495085501081118	2.89208019555229
ENSMUSG00000021613	Hapln1	12950	hyaluronan and proteoglycan link protein 1	-1.47572526496524	-1.48129619561192	0.906238598871226	0.000153558170362112	0.0495085501081118	-2.78123425750016
ENSMUSG00000040666	Sh3bgr	50795	SH3-binding domain glutamic acid-rich protein	-1.19901229262264	-1.20242772600788	1.20529007332033	0.000197118066458107	0.062140375350549	-2.29582438942044
ENSMUSG00000036357	Gpr101	245424	G protein-coupled receptor 101	-1.96593245206762	-1.99036351288817	-0.436841680558784	0.000293618627035015	0.0905494313721461	-3.90665119958361
ENSMUSG00000033730	Egr3	13655	early growth response 3	1.72490019243762	1.7398383157997	-0.490174442552254	0.000312508576525036	0.0943243971613651	3.30557258079726
ENSMUSG00000028926	Cdk14	18647	cyclin-dependent kinase 14	-0.747941087049435	-0.74797087526374	7.04529260497072	0.000560509269882141	0.165653843803085	-1.67939440583711
ENSMUSG00000051029	Serpinb1b	282663	serine (or cysteine) peptidase inhibitor, clade B, member 1b	-1.96041585912321	-1.98387490311605	-0.73667666391087	0.000596595883634476	0.172720596025279	-3.8917414285952
ENSMUSG00000024256	Adcyap1	11516	adenylate cyclase activating polypeptide 1	1.07832484873273	1.07959062438436	2.71835204890032	0.000709651888547266	0.199100321417802	2.11158284260069
ENSMUSG00000031491	Chrna6	11440	cholinergic receptor, nicotinic, alpha polypeptide 6	-0.82539533390098	-0.825450327868381	6.25066827978203	0.000715784322029319	0.199100321417802	-1.77202054886536
ENSMUSG00000033615	Cplx1	12889	complexin 1	-0.80366839266983	-0.803708174388839	6.75908398439262	0.000811732207937832	0.221446790419348	-1.74553392049368
ENSMUSG00000059854	Hydin	244653	HYDIN, axonemal central pair apparatus protein	-1.43092258964711	-1.43792515254949	0.196864347364013	0.000915638631096324	0.245080181523254	-2.69619079070947
ENSMUSG00000026628	Atf3	11910	activating transcription factor 3	1.02754718401044	1.02808199705225	4.08502126807864	0.000988278101237538	0.258329926710777	2.03855542800067
ENSMUSG00000020875	Hoxb9	15417	homeobox B9	4.94777124519889	144269481.449789	-0.800308979371932	0.00100156111441511	0.258329926710777	30.8622479776652
