genes	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	FC
ENSMUSG00000087006	Gm13889	620695	predicted gene 13889	2.2677851708819	4.69059464641438	518.321765701263	1.08790787960012e-23	1.01925899232221e-19	4.81583235461527
ENSMUSG00000020396	Nefh	380684	neurofilament, heavy polypeptide	-1.5249536193693	6.17039877846345	510.21767626214	1.43699279898803e-23	1.01925899232221e-19	-2.87777464209884
ENSMUSG00000032802	Srxn1	76650	sulfiredoxin 1 homolog (S. cerevisiae)	1.12492975337233	6.58490207089338	388.40875233176	1.68926168030342e-21	7.98795539892811e-18	2.18090927154244
ENSMUSG00000030337	Vamp1	22317	vesicle-associated membrane protein 1	-1.06140457854572	6.11915766308522	367.900970063736	4.30486989860334e-21	1.52672210953968e-17	-2.08696235703142
ENSMUSG00000026247	Ecel1	13599	endothelin converting enzyme-like 1	6.1998506727294	3.95528212362007	438.243891949286	1.80755879483854e-20	5.12840581271592e-17	73.5090857110252
ENSMUSG00000031491	Chrna6	11440	cholinergic receptor, nicotinic, alpha polypeptide 6	-1.52064121959404	6.25066827978203	312.177236680431	1.34304036577034e-19	3.13679584719783e-16	-2.86918544956251
ENSMUSG00000046275	Tusc5	237858	tumor suppressor candidate 5	-1.8165001614864	4.69968378451933	296.967434779197	1.79685826541078e-19	3.13679584719783e-16	-3.52225695810516
ENSMUSG00000046607	Hrk	12123	harakiri, BCL2 interacting protein (contains only BH3 domain)	3.52945742891934	2.47960654052226	293.07339722396	2.06174857471527e-19	3.13679584719783e-16	11.5470900991916
ENSMUSG00000063632	Sox11	20666	SRY (sex determining region Y)-box 11	3.5363408303833	1.53363957552201	292.684789101307	2.10825963714848e-19	3.13679584719783e-16	11.6023153354531
ENSMUSG00000028926	Cdk14	18647	cyclin-dependent kinase 14	-0.95138383551447	7.04529260497072	291.85594347368	2.211191207668e-19	3.13679584719783e-16	-1.93372660236993
ENSMUSG00000049511	Htr1b	15551	5-hydroxytryptamine (serotonin) receptor 1B	-2.04118356362882	3.44041565855866	265.687467680992	1.06317059702174e-18	1.37110346266822e-15	-4.11583048258502
ENSMUSG00000046480	Scn4b	399548	sodium channel, type IV, beta	-3.27306260683519	2.49607984691837	263.414786582935	1.22628780928014e-18	1.44967657187068e-15	-9.66696224310661
ENSMUSG00000023905	Tnfrsf12a	27279	tumor necrosis factor receptor superfamily, member 12a	2.4626663292098	3.37128347318976	264.052219080298	1.47164590571129e-18	1.60590529372464e-15	5.51234555282135
ENSMUSG00000025432	Avil	11567	advillin	3.28380621990193	0.976979381654132	242.453751650078	4.82523170565816e-18	4.88933835546191e-15	9.73921990765331
