genes	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	FC
ENSMUSG00000020396	Nefh	380684	neurofilament, heavy polypeptide	-1.72765508274012	6.17039877846345	638.376335928334	2.67641277490744e-25	3.79675916248369e-21	-3.31189074905123
ENSMUSG00000030337	Vamp1	22317	vesicle-associated membrane protein 1	-1.12433440134557	6.11915766308522	408.925673899798	6.92482310406186e-22	4.91177702771108e-18	-2.18000946884673
ENSMUSG00000032802	Srxn1	76650	sulfiredoxin 1 homolog (S. cerevisiae)	1.05128586168444	6.58490207089338	339.177392234632	1.73389062987036e-20	8.14161364464207e-17	2.07237611579106
ENSMUSG00000046607	Hrk	12123	harakiri, BCL2 interacting protein (contains only BH3 domain)	3.53801479173207	2.47960654052226	333.642655028515	2.29567563644215e-20	8.14161364464207e-17	11.6157853334949
ENSMUSG00000014846	Tppp3	67971	tubulin polymerization-promoting protein family member 3	-1.75184815162929	5.2477461561654	319.77181836526	6.07022273873506e-20	1.72224359543391e-16	-3.36789731357242
ENSMUSG00000049511	Htr1b	15551	5-hydroxytryptamine (serotonin) receptor 1B	-2.20013074717885	3.44041565855866	301.816223181132	1.25670872021373e-19	2.97127831749199e-16	-4.59520985137749
ENSMUSG00000026247	Ecel1	13599	endothelin converting enzyme-like 1	5.54469717211114	3.95528212362007	374.340440826821	1.95797221171853e-19	3.96797054220557e-16	46.6788518956743
ENSMUSG00000063632	Sox11	20666	SRY (sex determining region Y)-box 11	3.30340323853039	1.53363957552201	287.17602153574	2.90072445181325e-19	5.14370963417784e-16	9.8724163492922
ENSMUSG00000050359	Sprr1a	20753	small proline-rich protein 1A	10.2268249750601	2.43541055523685	404.012554759788	3.75095751232017e-19	5.56285621922689e-16	1198.34281944458
ENSMUSG00000023905	Tnfrsf12a	27279	tumor necrosis factor receptor superfamily, member 12a	2.6396650851805	3.37128347318976	286.018984793258	3.92137051968623e-19	5.56285621922689e-16	6.23186977030289
ENSMUSG00000031491	Chrna6	11440	cholinergic receptor, nicotinic, alpha polypeptide 6	-1.40828477103201	6.25066827978203	267.809388821296	1.66455648337729e-18	2.10143041931139e-15	-2.65421414014307
ENSMUSG00000046275	Tusc5	237858	tumor suppressor candidate 5	-1.70968712127467	4.69968378451933	258.030973218255	1.866487397078e-18	2.10143041931139e-15	-3.27089879419234
ENSMUSG00000046480	Scn4b	399548	sodium channel, type IV, beta	-3.27899461202708	2.49607984691837	256.340547881361	1.92574337029805e-18	2.10143041931139e-15	-9.70679223037026
ENSMUSG00000037242	Clic4	29876	chloride intracellular channel 4 (mitochondrial)	1.02009367211857	5.50970185908517	236.636916706015	7.1870279637302e-18	7.28251276381976e-15	2.02805063372247
ENSMUSG00000037447	Arid5a	214855	AT rich interactive domain 5A (MRF1-like)	1.59648516215981	3.48336261619576	233.122193139057	9.18110341400311e-18	8.68287553540321e-15	3.02405664198454
